Year,Field,Transect,Location,Sample,Abundance
2016,1,1,1,4,0
2016,1,2,2,4,0
2016,1,3,3,4,1.353846154
2016,1,4,4,4,2.913669065
2016,1,1,1,7,0
2016,1,2,2,7,0.333333333
2016,1,3,3,7,0
2016,1,4,4,7,1.318681319
2016,1,1,1,9,0
2016,1,2,2,9,0
2016,1,3,3,9,0.141176471
2016,1,4,4,9,1.23655914
2016,2,5,1,2,0
2016,2,6,2,2,4.105263158
2016,2,7,3,2,1.2
2016,2,8,4,2,0.739495798
2016,2,5,1,5,0.095238095
2016,2,6,2,5,0.167938931
2016,2,7,3,5,0.068410463
2016,2,8,4,5,0.352941176
2016,2,5,1,8,0
2016,2,6,2,8,0.264150943
2016,2,7,3,8,0.282258065
2016,2,8,4,8,0.131868132
2016,3,9,1,1,0
2016,3,10,2,1,1.583333333
2016,3,11,3,1,2.29787234
2016,3,12,4,1,4.0625
2016,3,9,1,3,0
2016,3,10,2,3,1.82
2016,3,11,3,3,2.951456311
2016,3,12,4,3,4.918918919
2016,3,9,1,6,0.057471264
2016,3,10,2,6,0.611111111
2016,3,11,3,6,1.2
2016,3,12,4,6,4.78125
