Date dd/mm/yy,Time,sample,Field,Descriptive,Transect,temp.10cm,RH.10cm,Wind.10cm,temp.1.5m,RH.1.5m,Wind.1.5m,unknown,1-3 instar,4-5 instar,adult,unknown,1st-3rd,4th-5th,Adult,Total
12/12/2016,9:00,1,3,1,9,28.7,40,1.6,26.2,41.2,1,0,5,3,4,0,5,3,4,12
12/12/2016,12:00,1,3,2,10,32,33.2,1,32,33.5,3,0,7,6,6,0,7,6,6,19
12/12/2016,11:00,1,3,3,11,33,30.5,1.6,32.5,31,3,3,9,5,10,3,9,5,10,27
12/12/2016,10:00,1,3,4,12,36.9,29.5,0.5,35.5,28.7,2,0,7,1,5,0,7,1,5,13
13/12/2016,9:57,2,2,1,5,31.8,34.1,0.7,32,34.2,1,2,8,2,1,2,8,2,1,13
13/12/2016,9:05,2,2,2,6,30.5,38.8,1.1,29.6,39,2.9,0,15,7,4,0,15,7,4,26
13/12/2016,10:40,2,2,3,7,35,29,0.5,33.5,29.9,2.6,5,10,2,5,5,10,2,5,22
13/12/2016,11:30,2,2,4,8,35.2,28.3,1,36,28,3.2,2,7,3,10,2,7,3,10,22
14/12/2016,9:00,3,3,1,9,35.1,23.6,0.3,34.9,23.5,0.4,1,7,2,1,1,7,2,1,11
14/12/2016,9:40,3,3,2,10,30.6,30.3,0.4,30.9,28.8,1,1,6,4,2,1,6,4,2,13
14/12/2016,10:30,3,3,3,11,30.2,34,0.5,30,35,1.5,0,7,4,8,0,7,4,8,19
14/12/2016,11:10,3,3,4,12,34.7,23.3,0.5,34.5,23.3,2.1,1,7,4,1,1,7,4,1,13
19/12/2016,12:44,4,1,1,1,35,37.9,0,34.3,40.5,0.1,0,4,0,0,0,4,0,0,4
19/12/2016,11:53,4,1,2,2,28.5,45.4,0.5,28.7,45.2,1.3,4,4,1,4,4,4,1,4,13
19/12/2016,11:01,4,1,3,3,33.3,41,0.2,29.4,38,1.5,1,6,2,7,1,6,2,7,16
19/12/2016,1:50,4,1,4,4,38,28.5,0.7,34.5,27.5,1.2,0,9,11,10,0,9,11,10,30
20/12/16,11:07,5,2,1,5,31.2,47.2,0.5,31.1,46.3,1.3,0,3,3,0,0,3,3,0,6
20/12/16,10:27,5,2,2,6,31,48.4,1,30.2,47.8,2,1,5,3,13,1,5,3,13,22
20/12/16,8:45,5,2,3,7,28,57.1,0.4,26.6,58.3,1.4,0,11,3,3,0,11,3,3,17
20/12/16,9:30,5,2,4,8,32,50.2,0.5,30.8,50.7,2,0,5,2,5,0,5,2,5,12
21/12/16,11:00,6,3,1,9,31.3,31,0.5,31.2,22.4,1.4,0,3,1,1,0,3,1,1,5
21/12/16,11:50,6,3,2,10,35.3,19.3,0.1,36,17.8,2,2,3,3,3,2,3,3,3,11
21/12/16,12:40,6,3,3,11,34.8,19.5,0.3,32.7,18.7,1,0,5,2,7,0,5,2,7,14
21/12/16,1:30,6,3,4,12,34,23.5,0.3,33.3,19.3,2.2,0,5,5,7,0,5,5,7,17
26/12/16,1:45,7,1,1,1,34.7,38,0.4,34.5,37.7,1,0,2,2,1,0,2,2,1,5
26/12/16,2:17,7,1,2,2,38.2,33.5,0.1,37.5,34.4,2,0,3,1,2,0,3,1,2,6
26/12/16,1:02,7,1,3,3,35,41.3,0.1,34.5,36.9,2,0,3,2,5,0,3,2,5,10
26/12/16,12:20,7,1,4,4,33,43.3,0.7,32.6,41.5,1.5,0,6,5,13,0,6,5,13,24
26/12/16,10:00,8,2,1,5,28.7,53.5,1,29.1,49.9,3,0,1,1,2,0,1,1,2,4
26/12/16,8:40,8,2,2,6,26.5,57.3,0.5,26,57.2,3.5,0,4,1,2,0,4,1,2,7
26/12/16,9:30,8,2,3,7,28.4,52,1,27,53,3,0,7,4,3,0,7,4,3,14
26/12/16,10:53,8,2,4,8,32,48.1,0.2,29.5,47.3,2.4,0,3,1,2,0,3,1,2,6
27/12/16,11:20,9,1,1,1,30.3,50.7,0.5,30.1,49.9,2,2,6,1,0,2,6,1,0,9
27/12/16,8:50,9,1,2,2,26.9,57.3,0.5,26.9,56.3,1.5,1,1,0,1,1,1,0,1,3
27/12/16,9:40,9,1,3,3,31.8,47.7,0.4,31.9,45.5,2,0,5,2,5,0,5,2,5,12
27/12/16,10:30,9,1,4,4,33.1,47.1,0.7,30.8,46.1,2,0,3,6,14,0,3,6,14,23
28/12/16,11:00,10,2,1,5,30.7,47,2,30.5,47,4,0,4,0,0,0,4,0,0,4
28/12/16,10:40,10,2,2,6,31.5,45.4,0.9,31.6,44.1,3,0,1,2,1,0,1,2,1,4
28/12/16,10:20,10,2,3,7,31,45.1,1.5,30.8,45,3.8,0,5,1,5,0,5,1,5,11
28/12/16,10:00,10,2,4,8,29.9,52.2,1.3,29.7,52.2,3,0,2,3,3,0,2,3,3,8
