Date ,Paddock,Transect ,Distance,Groundcover,Species 1,H1 ,Species 2,H2,Species 3,H3,,,,,,,
12/22/2016,1,1,1,L,Austrostipa bigeniculata,0.1,ISC,,,,,,,,,,
12/22/2016,1,1,2,L,ISC,,,,,,,,key-paddock,,,key- ground cover,
12/22/2016,1,1,3,L,ISC,,,,,,,,1,formans,,L,1
12/22/2016,1,1,4,L,Enteropogon acicularis ,0.05,unknown grass,0.2,Eucalyptus sp.,14,,,2,bottom 2,,B,2
12/22/2016,1,1,5,L,Eucalyptus sp.,10,,,,,,,3,Back areo,,CWD,3
12/22/2016,1,1,6,L,Eucalyptus sp.,10,,,,,,,,,,C,4
12/22/2016,1,1,7,L,unknown herb,0.1,Eucalyptus sp.,10,,,,,,,,D,5
12/22/2016,1,1,8,L,Enteropogon acicularis ,0.2,Eucalyptus sp.,14,,,,,,,,,
12/22/2016,1,1,9,L,unknown grass,0.2,ISC,,,,,,,,,,
12/22/2016,1,1,10,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,11,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,12,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,13,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,14,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,15,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,16,L,Sclerolaena birchii ,0.01,ISC,,,,,,,,,,
12/22/2016,1,1,17,L,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,18,L,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,19,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,20,L,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,21,CDW,Casurina pauper ,2,,,,,,,,,,,
12/22/2016,1,1,22,L,Casurina pauper ,3,Casurina pauper ,20,,,,,,,,,
12/22/2016,1,1,23,CWD,Casurina pauper ,8,,,,,,,,,,,
12/22/2016,1,1,24,CWD,Casurina pauper ,5,,,,,,,,,,,
12/22/2016,1,1,25,L,Casurina pauper ,10,,,,,,,,,,,
12/22/2016,1,1,26,L,Casurina pauper ,15,,,,,,,,,,,
12/22/2016,1,1,27,L,Casurina pauper ,15,,,,,,,,,,,
12/22/2016,1,1,28,L,Lepidium sp.,0.2,Eucalyptus sp.,8,Casurina pauper ,15,,,,,,,
12/22/2016,1,1,29,L,Enteropogon acicularis ,0.05,Sclerolaena birchii ,0.1,Eucalyptus sp.,10,,,,,,,
12/22/2016,1,1,30,B,Eucalyptus sp.,8,,,,,,,,,,,
12/22/2016,1,1,31,B,Eucalyptus sp.,8,,,,,,,,,,,
12/22/2016,1,1,32,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,33,B,ISC,,,,,,,,,,,,
12/22/2016,1,1,34,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,35,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,36,L,Eucalyptus sp.,15,,,,,,,,,,,
12/22/2016,1,1,37,L,ISC,,,,,,,,,,,,
12/22/2016,1,1,38,B,Eucalyptus sp.,10,,,,,,,,,,,
12/22/2016,1,1,39,B,Eucalyptus sp.,16,,,,,,,,,,,
12/22/2016,1,1,40,B,Eucalyptus sp.,12,,,,,,,,,,,
