Date ,Paddock,Transect ,Distance,GroundCover,Species 1,H1 ,Species 2,H2,Species 3,H3
12/22/2016,1,1,1,1,Austrostipa bigeniculata,0.1,ISC,,,
12/22/2016,1,1,2,1,ISC,,,,,
12/22/2016,1,1,3,1,ISC,,,,,
12/22/2016,1,1,4,1,Enteropogon acicularis ,0.05,unknown grass,0.2,Eucalyptus sp.,14
12/22/2016,1,1,5,1,Eucalyptus sp.,10,,,,
12/22/2016,1,1,6,1,Eucalyptus sp.,10,,,,
12/22/2016,1,1,7,1,unknown herb,0.1,Eucalyptus sp.,10,,
12/22/2016,1,1,8,1,Enteropogon acicularis ,0.2,Eucalyptus sp.,14,,
12/22/2016,1,1,9,1,unknown grass,0.2,ISC,,,
12/22/2016,1,1,10,1,ISC,,,,,
12/22/2016,1,1,11,2,ISC,,,,,
12/22/2016,1,1,12,1,ISC,,,,,
12/22/2016,1,1,13,2,ISC,,,,,
12/22/2016,1,1,14,1,ISC,,,,,
12/22/2016,1,1,15,1,ISC,,,,,
12/22/2016,1,1,16,1,Sclerolaena birchii ,0.01,ISC,,,
12/22/2016,1,1,17,1,Casurina pauper ,5,,,,
12/22/2016,1,1,18,1,Casurina pauper ,5,,,,
12/22/2016,1,1,19,1,Casurina pauper ,8,,,,
12/22/2016,1,1,20,1,Casurina pauper ,8,,,,
12/22/2016,1,1,21,3,Casurina pauper ,2,,,,
12/22/2016,1,1,22,1,Casurina pauper ,3,Casurina pauper ,20,,
12/22/2016,1,1,23,3,Casurina pauper ,8,,,,
12/22/2016,1,1,24,3,Casurina pauper ,5,,,,
12/22/2016,1,1,25,1,Casurina pauper ,10,,,,
12/22/2016,1,1,26,1,Casurina pauper ,15,,,,
12/22/2016,1,1,27,1,Casurina pauper ,15,,,,
12/22/2016,1,1,28,1,Lepidium sp.,0.2,Eucalyptus sp.,8,Casurina pauper ,15
12/22/2016,1,1,29,1,Enteropogon acicularis ,0.05,Sclerolaena birchii ,0.1,Eucalyptus sp.,10
12/22/2016,1,1,30,2,Eucalyptus sp.,8,,,,
12/22/2016,1,1,31,2,Eucalyptus sp.,8,,,,
12/22/2016,1,1,32,1,ISC,,,,,
12/22/2016,1,1,33,2,ISC,,,,,
12/22/2016,1,1,34,1,ISC,,,,,
12/22/2016,1,1,35,1,ISC,,,,,
12/22/2016,1,1,36,1,Eucalyptus sp.,15,,,,
12/22/2016,1,1,37,1,ISC,,,,,
12/22/2016,1,1,38,2,Eucalyptus sp.,10,,,,
12/22/2016,1,1,39,2,Eucalyptus sp.,16,,,,
12/22/2016,1,1,40,2,Eucalyptus sp.,12,,,,
12/22/2016,1,1,41,1,Juncus subsecundus,0.05,Eucalyptus sp.,14,,
12/22/2016,1,1,42,1,Enteropogon acicularis ,0.1,Sclerolaena birchii ,0.1,Eucalyptus sp.,15
12/22/2016,1,1,43,3,Eucalyptus sp.,15,,,,
12/22/2016,1,1,44,1,ISC,,,,,
12/22/2016,1,1,45,1,ISC,,,,,
12/22/2016,1,1,46,2,ISC,,,,,
12/22/2016,1,1,47,2,Sclerolaena birchii ,0.05,ISC,,,
12/22/2016,1,1,48,1,ISC,,,,,
12/22/2016,1,1,49,1,ISC,,,,,
12/22/2016,1,1,50,1,Eucalyptus sp.,8,,,,
12/22/2016,1,2,1,1,Eucalyptus sp.,14,,,,
12/22/2016,1,2,2,1,Eucalyptus sp.,14,,,,
12/22/2016,1,2,3,1,Eucalyptus sp.,16,,,,
12/22/2016,1,2,4,1,ISC,,,,,
12/22/2016,1,2,5,1,Eucalyptus sp.,16,,,,
12/22/2016,1,2,6,1,Enteropogon acicularis ,0.01,ISC,,,
12/22/2016,1,2,7,1,Casurina pauper ,8,,,,
12/22/2016,1,2,8,1,Casurina pauper ,8,,,,
12/22/2016,1,2,9,1,Enteropogon acicularis ,0.05,Casurina pauper ,10,,
12/22/2016,1,2,10,1,Enteropogon acicularis ,0.05,Casurina pauper ,6,,
12/22/2016,1,2,11,1,Casurina pauper ,6,,,,
12/22/2016,1,2,12,1,Oxalis sp.,0.1,Casurina pauper ,15,,
12/22/2016,1,2,13,1,Enteropogon acicularis ,0.05,Casurina pauper ,15,,
12/22/2016,1,2,14,1,Austrostipa aristiglumis,0.2,Casurina pauper ,15,,
12/22/2016,1,2,15,2,ISC,,,,,
12/22/2016,1,2,16,2,ISC,,,,,
12/22/2016,1,2,17,1,Enteropogon acicularis ,0.05,ISC,,,
12/22/2016,1,2,18,2,ISC,,,,,
12/22/2016,1,2,19,2,ISC,,,,,
12/22/2016,1,2,20,1,Enteropogon acicularis ,0.01,Austrostipa aristiglumis,0.1,,
12/22/2016,1,2,21,1,Enchylaena tomentosa,0.1,ISC,,,
12/22/2016,1,2,22,1,ISC,,,,,
12/22/2016,1,2,23,1,ISC,,,,,
12/22/2016,1,2,24,2,ISC,,,,,
12/22/2016,1,2,25,2,ISC,,,,,
12/22/2016,1,2,26,2,ISC,,,,,
12/22/2016,1,2,27,1,ISC,,,,,
12/22/2016,1,2,28,2,Enchylaena tomentosa,0.05,ISC,,,
12/22/2016,1,2,29,1,ISC,,,,,
12/22/2016,1,2,30,1,ISC,,,,,
12/22/2016,1,2,31,1,Eucalyptus sp.,15,,,,
12/22/2016,1,2,32,1,Austrostipa bigeniculata,0.3,Sclerolaena birchii ,0.05,Eucalyptus sp.,12
12/22/2016,1,2,33,1,Eucalyptus sp.,12,,,,
12/22/2016,1,2,34,1,Enteropogon acicularis ,0.1,Eucalyptus sp.,12,,
12/22/2016,1,2,35,2,Eucalyptus sp.,12,,,,
12/22/2016,1,2,36,1,Eucalyptus sp.,12,,,,
12/22/2016,1,2,37,1,Unknown grass,0.05,Eucalyptus sp.,20,,
12/22/2016,1,2,38,1,ISC,,,,,
12/22/2016,1,2,39,1,ISC,,,,,
12/22/2016,1,2,40,2,ISC,,,,,
12/22/2016,1,2,41,2,ISC,,,,,
12/22/2016,1,2,42,1,Enteropogon acicularis ,0.1,ISC,,,
12/22/2016,1,2,43,1,ISC,,,,,
12/22/2016,1,2,44,1,Rytidosperma caesitosum,0.05,ISC,,,
12/22/2016,1,2,45,1,Unknown grass,0.05,ISC,,,
12/22/2016,1,2,46,1,Unknown grass,0.05,ISC,,,
12/22/2016,1,2,47,2,ISC,,,,,
12/22/2016,1,2,48,2,ISC,,,,,
12/22/2016,1,2,49,2,ISC,,,,,
12/22/2016,1,2,50,2,ISC,,,,,
12/22/2016,1,3,1,2,Enchylaena tomentosa,0.1,,,,
12/22/2016,1,3,2,2,Austrostipa bigeniculata,0.2,ISC,,,
12/22/2016,1,3,3,1,,,,,,
12/22/2016,1,3,4,2,,,,,,
12/22/2016,1,3,5,2,,,,,,
12/22/2016,1,3,6,2,,,,,,
12/22/2016,1,3,7,1,,,,,,
12/22/2016,1,3,8,1,Austrostipa bigeniculata,0.1,Austrostipa bigeniculata,0.3,,
12/22/2016,1,3,9,1,,,,,,
12/22/2016,1,3,10,1,Austrostipa bigeniculata,0.1,,,,
12/22/2016,1,3,11,1,,,,,,
12/22/2016,1,3,12,1,Rytidosperma caesitosum,0.05,Austrostipa bigeniculata,0.2,,
12/22/2016,1,3,13,1,,,,,,
12/22/2016,1,3,14,1,Enteropogon acicularis ,0.1,Austrostipa bigeniculata,0.05,,
