Date.Time,location,position,depth,Temp,Humdity
12/9/16 10:04,bottom 3,Grassland,above ground,21.136,51.568
12/9/16 10:14,bottom 3,Grassland,above ground,20.635,50.35
12/9/16 10:24,bottom 3,Grassland,above ground,20.635,49.739
12/9/16 10:34,bottom 3,Grassland,above ground,20.635,56.39
12/9/16 10:44,bottom 3,Grassland,above ground,21.136,52.175
12/9/16 10:54,bottom 3,Grassland,above ground,20.135,51.568
12/9/16 11:04,bottom 3,Grassland,above ground,19.635,53.386
12/9/16 11:14,bottom 3,Grassland,above ground,20.135,52.175
12/9/16 11:24,bottom 3,Grassland,above ground,20.135,51.568
12/9/16 11:34,bottom 3,Grassland,above ground,20.135,51.568
12/9/16 11:44,bottom 3,Grassland,above ground,20.135,50.96
12/9/16 11:54,bottom 3,Grassland,above ground,20.635,49.739
12/9/16 12:04,bottom 3,Grassland,above ground,20.635,49.739
12/9/16 12:14,bottom 3,Grassland,above ground,20.635,49.127
12/9/16 12:24,bottom 3,Grassland,above ground,20.635,49.127
12/9/16 12:34,bottom 3,Grassland,above ground,20.635,48.514
12/9/16 12:44,bottom 3,Grassland,above ground,21.136,47.899
12/9/16 12:54,bottom 3,Grassland,above ground,21.136,47.283
12/9/16 13:04,bottom 3,Grassland,above ground,21.136,46.666
12/9/16 13:14,bottom 3,Grassland,above ground,21.136,46.048
12/9/16 13:24,bottom 3,Grassland,above ground,21.136,46.048
12/9/16 13:34,bottom 3,Grassland,above ground,21.136,46.048
12/9/16 13:44,bottom 3,Grassland,above ground,23.136,46.666
12/9/16 13:54,bottom 3,Grassland,above ground,24.637,45.428
12/9/16 14:04,bottom 3,Grassland,above ground,25.137,45.428
12/9/16 14:14,bottom 3,Grassland,above ground,25.637,46.666
12/9/16 14:24,bottom 3,Grassland,above ground,26.137,46.048
12/9/16 14:34,bottom 3,Grassland,above ground,27.137,47.283
12/9/16 14:44,bottom 3,Grassland,above ground,27.636,46.666
12/9/16 14:54,bottom 3,Grassland,above ground,27.636,41.683
12/9/16 15:04,bottom 3,Grassland,above ground,27.137,38.529
12/9/16 15:14,bottom 3,Grassland,above ground,27.137,36.62
12/9/16 15:24,bottom 3,Grassland,above ground,26.637,38.529
12/9/16 15:34,bottom 3,Grassland,above ground,32.634,22.948
12/9/16 15:44,bottom 3,Grassland,above ground,31.135,21.617
12/9/16 15:54,bottom 3,Grassland,above ground,43.119,13.525
12/9/16 16:04,bottom 3,Grassland,above ground,37.129,14.886
12/9/16 16:14,bottom 3,Grassland,above ground,29.636,22.283
12/9/16 16:24,bottom 3,Grassland,above ground,30.635,20.281
12/9/16 16:34,bottom 3,Grassland,above ground,30.135,20.281
12/9/16 16:44,bottom 3,Grassland,above ground,31.135,19.611
12/9/16 16:54,bottom 3,Grassland,above ground,30.135,19.611
12/9/16 17:04,bottom 3,Grassland,above ground,30.135,18.939
12/9/16 17:14,bottom 3,Grassland,above ground,31.635,20.281
12/9/16 17:24,bottom 3,Grassland,above ground,30.635,20.281
12/9/16 17:34,bottom 3,Grassland,above ground,30.135,19.611
