1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000002575EE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:02:01 MST 2016
Mission Sample Count:  2740
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:02:01 MST 2016
Total Mission Samples:  2740
Total Device Samples:  12866
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:02:01 AM,%RH,48.358
12/9/16 10:12:01 AM,%RH,48.358
12/9/16 10:22:01 AM,%RH,47.108
12/9/16 10:32:01 AM,%RH,52.682
12/9/16 10:42:01 AM,%RH,52.069
12/9/16 10:52:01 AM,%RH,50.221
12/9/16 11:02:01 AM,%RH,52.069
12/9/16 11:12:01 AM,%RH,51.455
12/9/16 11:22:01 AM,%RH,50.221
12/9/16 11:32:01 AM,%RH,49.602
12/9/16 11:42:01 AM,%RH,49.602
12/9/16 11:52:01 AM,%RH,48.981
12/9/16 12:02:01 PM,%RH,48.358
12/9/16 12:12:01 PM,%RH,47.734
12/9/16 12:22:01 PM,%RH,47.734
12/9/16 12:32:01 PM,%RH,47.108
12/9/16 12:42:01 PM,%RH,46.48
12/9/16 12:52:01 PM,%RH,45.851
12/9/16 1:02:01 PM,%RH,45.851
12/9/16 1:12:01 PM,%RH,44.587
12/9/16 1:22:01 PM,%RH,44.587
12/9/16 1:32:01 PM,%RH,44.587
12/9/16 1:42:01 PM,%RH,47.108
12/9/16 1:52:01 PM,%RH,43.953
12/9/16 2:02:01 PM,%RH,44.587
12/9/16 2:12:01 PM,%RH,45.22
12/9/16 2:22:01 PM,%RH,46.48
12/9/16 2:32:01 PM,%RH,47.108
12/9/16 2:42:01 PM,%RH,48.358
12/9/16 2:52:01 PM,%RH,45.22
12/9/16 3:02:01 PM,%RH,38.816
12/9/16 3:12:01 PM,%RH,38.166
12/9/16 3:22:01 PM,%RH,38.166
12/9/16 3:32:01 PM,%RH,33.571
12/9/16 3:42:01 PM,%RH,21.374
12/9/16 3:52:01 PM,%RH,19.985
12/9/16 4:02:01 PM,%RH,18.589
12/9/16 4:12:01 PM,%RH,21.374
12/9/16 4:22:01 PM,%RH,22.066
12/9/16 4:32:01 PM,%RH,18.589
12/9/16 4:42:01 PM,%RH,17.186
12/9/16 4:52:01 PM,%RH,17.888
12/9/16 5:02:01 PM,%RH,17.888
12/9/16 5:12:01 PM,%RH,19.985
12/9/16 5:22:01 PM,%RH,18.589
12/9/16 5:32:01 PM,%RH,19.287
12/9/16 5:42:01 PM,%RH,19.287
12/9/16 5:52:01 PM,%RH,17.888
12/9/16 6:02:01 PM,%RH,20.68
12/9/16 6:12:01 PM,%RH,22.066
12/9/16 6:22:01 PM,%RH,21.374
12/9/16 6:32:01 PM,%RH,22.066
12/9/16 6:42:01 PM,%RH,23.444
12/9/16 6:52:01 PM,%RH,23.444
12/9/16 7:02:01 PM,%RH,29.566
12/9/16 7:12:01 PM,%RH,30.238
12/9/16 7:22:01 PM,%RH,31.576
12/9/16 7:32:01 PM,%RH,34.892
12/9/16 7:42:01 PM,%RH,38.166
12/9/16 7:52:01 PM,%RH,40.755
12/9/16 8:02:01 PM,%RH,46.48
12/9/16 8:12:01 PM,%RH,52.682
12/9/16 8:22:01 PM,%RH,56.321
12/9/16 8:32:01 PM,%RH,58.714
12/9/16 8:42:01 PM,%RH,63.998
12/9/16 8:52:01 PM,%RH,65.729
12/9/16 9:02:01 PM,%RH,68.013
12/9/16 9:12:01 PM,%RH,69.145
12/9/16 9:22:01 PM,%RH,69.709
12/9/16 9:32:01 PM,%RH,71.389
12/9/16 9:42:01 PM,%RH,73.606
12/9/16 9:52:01 PM,%RH,74.156
12/9/16 10:02:01 PM,%RH,73.606
12/9/16 10:12:01 PM,%RH,75.796
12/9/16 10:22:01 PM,%RH,75.796
12/9/16 10:32:01 PM,%RH,75.251
12/9/16 10:42:01 PM,%RH,76.339
12/9/16 10:52:01 PM,%RH,79.029
12/9/16 11:02:01 PM,%RH,81.151
12/9/16 11:12:01 PM,%RH,79.562
12/9/16 11:22:01 PM,%RH,83.766
12/9/16 11:32:01 PM,%RH,87.355
12/9/16 11:42:01 PM,%RH,82.202
12/9/16 11:52:01 PM,%RH,85.827
12/10/16 12:02:01 AM,%RH,85.827
