1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000002575EE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:02:01 MST 2016
Mission Sample Count:  2740
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:02:01 MST 2016
Total Mission Samples:  2740
Total Device Samples:  12866
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:02:01 AM,C,22.606
12/9/16 10:12:01 AM,C,21.605
12/9/16 10:22:01 AM,C,21.605
12/9/16 10:32:01 AM,C,21.605
12/9/16 10:42:01 AM,C,21.105
12/9/16 10:52:01 AM,C,21.105
12/9/16 11:02:01 AM,C,20.604
12/9/16 11:12:01 AM,C,20.604
12/9/16 11:22:01 AM,C,20.604
12/9/16 11:32:01 AM,C,21.105
12/9/16 11:42:01 AM,C,21.105
12/9/16 11:52:01 AM,C,21.105
12/9/16 12:02:01 PM,C,21.105
12/9/16 12:12:01 PM,C,21.105
12/9/16 12:22:01 PM,C,21.605
12/9/16 12:32:01 PM,C,21.605
12/9/16 12:42:01 PM,C,21.605
12/9/16 12:52:01 PM,C,21.605
12/9/16 1:02:01 PM,C,21.605
12/9/16 1:12:01 PM,C,21.605
12/9/16 1:22:01 PM,C,21.605
12/9/16 1:32:01 PM,C,21.605
12/9/16 1:42:01 PM,C,22.106
12/9/16 1:52:01 PM,C,25.107
12/9/16 2:02:01 PM,C,25.607
12/9/16 2:12:01 PM,C,25.607
12/9/16 2:22:01 PM,C,26.107
12/9/16 2:32:01 PM,C,26.607
12/9/16 2:42:01 PM,C,27.107
12/9/16 2:52:01 PM,C,27.607
12/9/16 3:02:01 PM,C,27.607
12/9/16 3:12:01 PM,C,27.607
12/9/16 3:22:01 PM,C,27.107
12/9/16 3:32:01 PM,C,31.104
12/9/16 3:42:01 PM,C,31.603
12/9/16 3:52:01 PM,C,41.08
12/9/16 4:02:01 PM,C,32.602
12/9/16 4:12:01 PM,C,30.105
12/9/16 4:22:01 PM,C,29.606
12/9/16 4:32:01 PM,C,30.605
12/9/16 4:42:01 PM,C,31.603
12/9/16 4:52:01 PM,C,32.103
12/9/16 5:02:01 PM,C,31.104
12/9/16 5:12:01 PM,C,30.105
12/9/16 5:22:01 PM,C,31.603
12/9/16 5:32:01 PM,C,30.105
12/9/16 5:42:01 PM,C,29.606
12/9/16 5:52:01 PM,C,30.605
12/9/16 6:02:01 PM,C,29.106
12/9/16 6:12:01 PM,C,28.107
12/9/16 6:22:01 PM,C,30.105
12/9/16 6:32:01 PM,C,27.607
12/9/16 6:42:01 PM,C,27.607
12/9/16 6:52:01 PM,C,26.107
12/9/16 7:02:01 PM,C,22.106
12/9/16 7:12:01 PM,C,21.605
12/9/16 7:22:01 PM,C,20.604
12/9/16 7:32:01 PM,C,20.104
12/9/16 7:42:01 PM,C,19.102
