1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9300000025748041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:06:01 MST 2016
Mission Sample Count:  2740
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:06:01 MST 2016
Total Mission Samples:  2740
Total Device Samples:  378922
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:06:01 AM,%RH,48.855
12/9/16 10:16:01 AM,%RH,47.602
12/9/16 10:26:01 AM,%RH,50.101
12/9/16 10:36:01 AM,%RH,49.479
12/9/16 10:46:01 AM,%RH,51.956
12/9/16 10:56:01 AM,%RH,52.571
12/9/16 11:06:01 AM,%RH,51.956
12/9/16 11:16:01 AM,%RH,51.34
12/9/16 11:26:01 AM,%RH,51.956
12/9/16 11:36:01 AM,%RH,50.721
12/9/16 11:46:01 AM,%RH,50.101
12/9/16 11:56:01 AM,%RH,48.855
12/9/16 12:06:01 PM,%RH,48.855
12/9/16 12:16:01 PM,%RH,48.855
12/9/16 12:26:01 PM,%RH,47.602
12/9/16 12:36:01 PM,%RH,47.602
12/9/16 12:46:01 PM,%RH,46.341
12/9/16 12:56:01 PM,%RH,46.341
12/9/16 1:06:01 PM,%RH,45.708
12/9/16 1:16:01 PM,%RH,45.073
12/9/16 1:26:01 PM,%RH,45.073
12/9/16 1:36:01 PM,%RH,44.436
12/9/16 1:46:01 PM,%RH,44.436
12/9/16 1:56:01 PM,%RH,43.157
12/9/16 2:06:01 PM,%RH,44.436
12/9/16 2:16:01 PM,%RH,46.341
12/9/16 2:26:01 PM,%RH,46.973
12/9/16 2:36:01 PM,%RH,47.602
12/9/16 2:46:01 PM,%RH,46.973
12/9/16 2:56:01 PM,%RH,41.224
12/9/16 3:06:01 PM,%RH,37.965
12/9/16 3:16:01 PM,%RH,37.308
12/9/16 3:26:01 PM,%RH,34.66
12/9/16 3:36:01 PM,%RH,24.464
12/9/16 3:46:01 PM,%RH,25.848
12/9/16 3:56:01 PM,%RH,18.855
12/9/16 4:06:01 PM,%RH,78.827
12/9/16 4:16:01 PM,%RH,86.537
