Date/Time,Unit,Value
12/11/2016 16:26,C,29.18
12/11/2016 16:36,C,29.18
12/11/2016 16:46,C,29.18
12/11/2016 16:56,C,29.18
12/11/2016 17:06,C,29.18
12/11/2016 17:16,C,29.18
12/11/2016 17:26,C,29.679
12/11/2016 17:36,C,29.679
12/11/2016 17:46,C,30.179
12/11/2016 17:56,C,30.179
12/11/2016 18:06,C,30.179
12/11/2016 18:16,C,30.179
12/11/2016 18:26,C,30.179
12/11/2016 18:36,C,30.179
12/11/2016 18:46,C,30.179
12/11/2016 18:56,C,30.179
12/11/2016 19:06,C,30.179
12/11/2016 19:16,C,30.179
12/11/2016 19:26,C,30.179
12/11/2016 19:36,C,30.179
12/11/2016 19:46,C,30.179
12/11/2016 19:56,C,30.179
12/11/2016 20:06,C,30.179
12/11/2016 20:16,C,30.179
12/11/2016 20:26,C,30.179
12/11/2016 20:36,C,30.179
12/11/2016 20:46,C,30.179
12/11/2016 20:56,C,30.179
12/11/2016 21:06,C,30.179
12/11/2016 21:16,C,30.179
12/11/2016 21:26,C,30.179
12/11/2016 21:36,C,30.179
12/11/2016 21:46,C,30.179
12/11/2016 21:56,C,30.179
12/11/2016 22:06,C,30.179
12/11/2016 22:16,C,30.179
12/11/2016 22:26,C,29.679
12/11/2016 22:36,C,29.679
12/11/2016 22:46,C,29.679
12/11/2016 22:56,C,29.679
12/11/2016 23:06,C,29.679
12/11/2016 23:16,C,29.679
12/11/2016 23:26,C,29.679
12/11/2016 23:36,C,29.679
12/11/2016 23:46,C,29.18
12/11/2016 23:56,C,29.18
12/12/2016 0:06,C,29.18
12/12/2016 0:16,C,29.18
12/12/2016 0:26,C,29.18
12/12/2016 0:36,C,29.18
12/12/2016 0:46,C,29.18
12/12/2016 0:56,C,28.68
12/12/2016 1:06,C,28.68
12/12/2016 1:16,C,28.68
12/12/2016 1:26,C,28.68
12/12/2016 1:36,C,28.68
12/12/2016 1:46,C,28.68
12/12/2016 1:56,C,28.68
12/12/2016 2:06,C,28.68
12/12/2016 2:16,C,28.68
12/12/2016 2:26,C,28.181
12/12/2016 2:36,C,28.181
12/12/2016 2:46,C,28.181
12/12/2016 2:56,C,28.181
12/12/2016 3:06,C,28.181
12/12/2016 3:16,C,28.181
12/12/2016 3:26,C,28.181
12/12/2016 3:36,C,28.181
12/12/2016 3:46,C,28.181
12/12/2016 3:56,C,28.181
12/12/2016 4:06,C,28.181
12/12/2016 4:16,C,28.181
12/12/2016 4:26,C,28.181
12/12/2016 4:36,C,28.181
