1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 760000002D725841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:00:01 MST 2016
Mission Sample Count:  2741
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:00:01 MST 2016
Total Mission Samples:  2741
Total Device Samples:  42928
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:00:01 AM,C,21.636
12/9/16 10:10:01 AM,C,20.635
12/9/16 10:20:01 AM,C,20.135
12/9/16 10:30:01 AM,C,20.635
12/9/16 10:40:01 AM,C,20.635
12/9/16 10:50:01 AM,C,21.135
12/9/16 11:00:01 AM,C,20.635
12/9/16 11:10:01 AM,C,20.135
12/9/16 11:20:01 AM,C,20.135
12/9/16 11:30:01 AM,C,20.135
12/9/16 11:40:01 AM,C,20.135
12/9/16 11:50:01 AM,C,20.635
12/9/16 12:00:01 PM,C,20.635
12/9/16 12:10:01 PM,C,20.635
12/9/16 12:20:01 PM,C,20.635
12/9/16 12:30:01 PM,C,20.635
12/9/16 12:40:01 PM,C,21.135
12/9/16 12:50:01 PM,C,21.135
12/9/16 1:00:01 PM,C,21.135
12/9/16 1:10:01 PM,C,21.135
12/9/16 1:20:01 PM,C,21.135
12/9/16 1:30:01 PM,C,21.135
12/9/16 1:40:01 PM,C,21.636
12/9/16 1:50:01 PM,C,24.137
12/9/16 2:00:01 PM,C,25.137
12/9/16 2:10:01 PM,C,25.637
12/9/16 2:20:01 PM,C,26.137
12/9/16 2:30:01 PM,C,26.636
12/9/16 2:40:01 PM,C,27.136
12/9/16 2:50:01 PM,C,27.636
12/9/16 3:00:01 PM,C,27.636
12/9/16 3:10:01 PM,C,27.136
12/9/16 3:20:01 PM,C,27.136
12/9/16 3:30:01 PM,C,29.634
12/9/16 3:40:01 PM,C,32.631
12/9/16 3:50:01 PM,C,32.131
12/9/16 4:00:01 PM,C,27.636
12/9/16 4:10:01 PM,C,25.637
12/9/16 4:20:01 PM,C,25.137
12/9/16 4:30:01 PM,C,27.636
12/9/16 4:40:01 PM,C,26.137
12/9/16 4:50:01 PM,C,25.637
12/9/16 5:00:01 PM,C,25.637
12/9/16 5:10:01 PM,C,25.637
12/9/16 5:20:01 PM,C,24.637
12/9/16 5:30:01 PM,C,24.637
12/9/16 5:40:01 PM,C,24.637
12/9/16 5:50:01 PM,C,24.637
12/9/16 6:00:01 PM,C,23.637
12/9/16 6:10:01 PM,C,24.137
12/9/16 6:20:01 PM,C,23.637
12/9/16 6:30:01 PM,C,23.136
12/9/16 6:40:01 PM,C,22.636
12/9/16 6:50:01 PM,C,22.636
12/9/16 7:00:01 PM,C,22.636
12/9/16 7:10:01 PM,C,22.136
12/9/16 7:20:01 PM,C,21.636
12/9/16 7:30:01 PM,C,21.135
12/9/16 7:40:01 PM,C,20.635
12/9/16 7:50:01 PM,C,20.135
12/9/16 8:00:01 PM,C,19.634
12/9/16 8:10:01 PM,C,18.633
12/9/16 8:20:01 PM,C,17.632
12/9/16 8:30:01 PM,C,17.131
12/9/16 8:40:01 PM,C,16.129
12/9/16 8:50:01 PM,C,16.129
12/9/16 9:00:01 PM,C,15.629
12/9/16 9:10:01 PM,C,15.128
12/9/16 9:20:01 PM,C,15.629
12/9/16 9:30:01 PM,C,14.627
12/9/16 9:40:01 PM,C,14.627
12/9/16 9:50:01 PM,C,14.627
12/9/16 10:00:01 PM,C,14.627
12/9/16 10:10:01 PM,C,14.126
12/9/16 10:20:01 PM,C,14.126
12/9/16 10:30:01 PM,C,13.625
12/9/16 10:40:01 PM,C,13.123
12/9/16 10:50:01 PM,C,13.123
12/9/16 11:00:01 PM,C,12.622
