1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3D0000002D6FEC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:03:01 MST 2016
Mission Sample Count:  2741
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:03:01 MST 2016
Total Mission Samples:  2741
Total Device Samples:  43016
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:03:01 AM,%RH,54.688
12/9/16 10:13:01 AM,%RH,51.643
12/9/16 10:23:01 AM,%RH,56.495
12/9/16 10:33:01 AM,%RH,55.292
12/9/16 10:43:01 AM,%RH,53.475
12/9/16 10:53:01 AM,%RH,52.866
12/9/16 11:03:01 AM,%RH,54.688
12/9/16 11:13:01 AM,%RH,53.475
12/9/16 11:23:01 AM,%RH,52.866
12/9/16 11:33:01 AM,%RH,52.256
12/9/16 11:43:01 AM,%RH,52.256
12/9/16 11:53:01 AM,%RH,51.643
12/9/16 12:03:01 PM,%RH,50.414
12/9/16 12:13:01 PM,%RH,49.797
12/9/16 12:23:01 PM,%RH,49.797
12/9/16 12:33:01 PM,%RH,49.178
12/9/16 12:43:01 PM,%RH,49.178
12/9/16 12:53:01 PM,%RH,48.557
12/9/16 1:03:01 PM,%RH,48.557
12/9/16 1:13:01 PM,%RH,47.311
12/9/16 1:23:01 PM,%RH,47.311
12/9/16 1:33:01 PM,%RH,47.311
12/9/16 1:43:01 PM,%RH,48.557
12/9/16 1:53:01 PM,%RH,46.059
12/9/16 2:03:01 PM,%RH,47.311
12/9/16 2:13:01 PM,%RH,49.797
12/9/16 2:23:01 PM,%RH,49.178
12/9/16 2:33:01 PM,%RH,50.414
12/9/16 2:43:01 PM,%RH,49.797
12/9/16 2:53:01 PM,%RH,44.168
12/9/16 3:03:01 PM,%RH,39.698
12/9/16 3:13:01 PM,%RH,39.698
12/9/16 3:23:01 PM,%RH,40.342
12/9/16 3:33:01 PM,%RH,25.125
12/9/16 3:43:01 PM,%RH,21.702
12/9/16 3:53:01 PM,%RH,49.797
12/9/16 4:03:01 PM,%RH,66.456
12/9/16 4:13:01 PM,%RH,72.649
12/9/16 4:23:01 PM,%RH,73.753
12/9/16 4:33:01 PM,%RH,76.486
12/9/16 4:43:01 PM,%RH,76.486
12/9/16 4:53:01 PM,%RH,77.567
12/9/16 5:03:01 PM,%RH,76.486
12/9/16 5:13:01 PM,%RH,77.567
12/9/16 5:23:01 PM,%RH,79.177
12/9/16 5:33:01 PM,%RH,79.71
12/9/16 5:43:01 PM,%RH,79.71
12/9/16 5:53:01 PM,%RH,80.242
12/9/16 6:03:01 PM,%RH,79.71
12/9/16 6:13:01 PM,%RH,81.3
12/9/16 6:23:01 PM,%RH,81.3
12/9/16 6:33:01 PM,%RH,82.876
12/9/16 6:43:01 PM,%RH,82.352
12/9/16 6:53:01 PM,%RH,81.827
12/9/16 7:03:01 PM,%RH,83.398
12/9/16 7:13:01 PM,%RH,83.398
12/9/16 7:23:01 PM,%RH,83.398
12/9/16 7:33:01 PM,%RH,83.918
12/9/16 7:43:01 PM,%RH,83.918
12/9/16 7:53:01 PM,%RH,84.436
12/9/16 8:03:01 PM,%RH,83.918
12/9/16 8:13:01 PM,%RH,83.918
12/9/16 8:23:01 PM,%RH,84.953
12/9/16 8:33:01 PM,%RH,84.953
12/9/16 8:43:01 PM,%RH,85.468
12/9/16 8:53:01 PM,%RH,84.953
12/9/16 9:03:01 PM,%RH,85.468
12/9/16 9:13:01 PM,%RH,85.982
12/9/16 9:23:01 PM,%RH,85.468
12/9/16 9:33:01 PM,%RH,85.982
12/9/16 9:43:01 PM,%RH,85.982
12/9/16 9:53:01 PM,%RH,86.494
