1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E3000000216B1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:04:01 MST 2016
Mission Sample Count:  2737
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:04:01 MST 2016
Total Mission Samples:  2737
Total Device Samples:  46835
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:04:01 AM,%RH,51.568
12/9/16 10:14:01 AM,%RH,50.35
12/9/16 10:24:01 AM,%RH,49.739
12/9/16 10:34:01 AM,%RH,56.39
12/9/16 10:44:01 AM,%RH,52.175
12/9/16 10:54:01 AM,%RH,51.568
12/9/16 11:04:01 AM,%RH,53.386
12/9/16 11:14:01 AM,%RH,52.175
12/9/16 11:24:01 AM,%RH,51.568
12/9/16 11:34:01 AM,%RH,51.568
12/9/16 11:44:01 AM,%RH,50.96
12/9/16 11:54:01 AM,%RH,49.739
12/9/16 12:04:01 PM,%RH,49.739
12/9/16 12:14:01 PM,%RH,49.127
12/9/16 12:24:01 PM,%RH,49.127
12/9/16 12:34:01 PM,%RH,48.514
12/9/16 12:44:01 PM,%RH,47.899
12/9/16 12:54:01 PM,%RH,47.283
12/9/16 1:04:01 PM,%RH,46.666
12/9/16 1:14:01 PM,%RH,46.048
12/9/16 1:24:01 PM,%RH,46.048
12/9/16 1:34:01 PM,%RH,46.048
12/9/16 1:44:01 PM,%RH,46.666
12/9/16 1:54:01 PM,%RH,45.428
12/9/16 2:04:01 PM,%RH,45.428
12/9/16 2:14:01 PM,%RH,46.666
12/9/16 2:24:01 PM,%RH,46.048
12/9/16 2:34:01 PM,%RH,47.283
12/9/16 2:44:01 PM,%RH,46.666
12/9/16 2:54:01 PM,%RH,41.683
12/9/16 3:04:01 PM,%RH,38.529
12/9/16 3:14:01 PM,%RH,36.62
12/9/16 3:24:01 PM,%RH,38.529
12/9/16 3:34:01 PM,%RH,22.948
12/9/16 3:44:01 PM,%RH,21.617
12/9/16 3:54:01 PM,%RH,13.525
12/9/16 4:04:01 PM,%RH,14.886
12/9/16 4:14:01 PM,%RH,22.283
12/9/16 4:24:01 PM,%RH,20.281
12/9/16 4:34:01 PM,%RH,20.281
