1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E3000000216B1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:04:01 MST 2016
Mission Sample Count:  2737
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:04:01 MST 2016
Total Mission Samples:  2737
Total Device Samples:  46835
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:04:01 AM,C,21.136
12/9/16 10:14:01 AM,C,20.635
12/9/16 10:24:01 AM,C,20.635
12/9/16 10:34:01 AM,C,20.635
12/9/16 10:44:01 AM,C,21.136
12/9/16 10:54:01 AM,C,20.135
12/9/16 11:04:01 AM,C,19.635
12/9/16 11:14:01 AM,C,20.135
12/9/16 11:24:01 AM,C,20.135
12/9/16 11:34:01 AM,C,20.135
12/9/16 11:44:01 AM,C,20.135
12/9/16 11:54:01 AM,C,20.635
12/9/16 12:04:01 PM,C,20.635
12/9/16 12:14:01 PM,C,20.635
12/9/16 12:24:01 PM,C,20.635
12/9/16 12:34:01 PM,C,20.635
12/9/16 12:44:01 PM,C,21.136
12/9/16 12:54:01 PM,C,21.136
12/9/16 1:04:01 PM,C,21.136
12/9/16 1:14:01 PM,C,21.136
12/9/16 1:24:01 PM,C,21.136
12/9/16 1:34:01 PM,C,21.136
12/9/16 1:44:01 PM,C,23.136
12/9/16 1:54:01 PM,C,24.637
12/9/16 2:04:01 PM,C,25.137
12/9/16 2:14:01 PM,C,25.637
12/9/16 2:24:01 PM,C,26.137
12/9/16 2:34:01 PM,C,27.137
12/9/16 2:44:01 PM,C,27.636
12/9/16 2:54:01 PM,C,27.636
12/9/16 3:04:01 PM,C,27.137
12/9/16 3:14:01 PM,C,27.137
12/9/16 3:24:01 PM,C,26.637
12/9/16 3:34:01 PM,C,32.634
12/9/16 3:44:01 PM,C,31.135
12/9/16 3:54:01 PM,C,43.119
12/9/16 4:04:01 PM,C,37.129
12/9/16 4:14:01 PM,C,29.636
12/9/16 4:24:01 PM,C,30.635
12/9/16 4:34:01 PM,C,30.135
12/9/16 4:44:01 PM,C,31.135
12/9/16 4:54:01 PM,C,30.135
12/9/16 5:04:01 PM,C,30.135
12/9/16 5:14:01 PM,C,31.635
12/9/16 5:24:01 PM,C,30.635
12/9/16 5:34:01 PM,C,30.135
12/9/16 5:44:01 PM,C,31.135
12/9/16 5:54:01 PM,C,29.136
12/9/16 6:04:01 PM,C,29.636
12/9/16 6:14:01 PM,C,27.636
12/9/16 6:24:01 PM,C,27.636
