1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EB00000023E30C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:03:01 MST 2016
Mission Sample Count:  2738
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:03:01 MST 2016
Total Mission Samples:  2738
Total Device Samples:  17606
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:03:01 AM,%RH,50.977
12/9/16 10:13:01 AM,%RH,47.253
12/9/16 10:23:01 AM,%RH,48.5
12/9/16 10:33:01 AM,%RH,55.858
12/9/16 10:43:01 AM,%RH,52.819
12/9/16 10:53:01 AM,%RH,50.36
12/9/16 11:03:01 AM,%RH,52.206
12/9/16 11:13:01 AM,%RH,51.592
12/9/16 11:23:01 AM,%RH,50.977
12/9/16 11:33:01 AM,%RH,50.977
12/9/16 11:43:01 AM,%RH,50.36
12/9/16 11:53:01 AM,%RH,49.122
12/9/16 12:03:01 PM,%RH,49.122
12/9/16 12:13:01 PM,%RH,48.5
12/9/16 12:23:01 PM,%RH,47.253
12/9/16 12:33:01 PM,%RH,47.253
12/9/16 12:43:01 PM,%RH,46.627
12/9/16 12:53:01 PM,%RH,45.999
12/9/16 1:03:01 PM,%RH,45.999
12/9/16 1:13:01 PM,%RH,45.37
12/9/16 1:23:01 PM,%RH,44.74
12/9/16 1:33:01 PM,%RH,44.74
12/9/16 1:43:01 PM,%RH,46.627
12/9/16 1:53:01 PM,%RH,42.839
12/9/16 2:03:01 PM,%RH,44.107
12/9/16 2:13:01 PM,%RH,45.999
12/9/16 2:23:01 PM,%RH,46.627
12/9/16 2:33:01 PM,%RH,47.253
12/9/16 2:43:01 PM,%RH,47.877
12/9/16 2:53:01 PM,%RH,40.924
12/9/16 3:03:01 PM,%RH,38.35
12/9/16 3:13:01 PM,%RH,37.703
12/9/16 3:23:01 PM,%RH,38.996
12/9/16 3:33:01 PM,%RH,27.139
12/9/16 3:43:01 PM,%RH,19.651
12/9/16 3:53:01 PM,%RH,14.089
12/9/16 4:03:01 PM,%RH,12.683
12/9/16 4:13:01 PM,%RH,69.347
12/9/16 4:23:01 PM,%RH,86.778
12/9/16 4:33:01 PM,%RH,88.847
12/9/16 4:43:01 PM,%RH,87.816
12/9/16 4:53:01 PM,%RH,87.297
12/9/16 5:03:01 PM,%RH,86.778
12/9/16 5:13:01 PM,%RH,85.734
12/9/16 5:23:01 PM,%RH,89.361
12/9/16 5:33:01 PM,%RH,88.847
12/9/16 5:43:01 PM,%RH,89.361
12/9/16 5:53:01 PM,%RH,90.383
12/9/16 6:03:01 PM,%RH,91.906
12/9/16 6:13:01 PM,%RH,91.906
12/9/16 6:23:01 PM,%RH,92.913
12/9/16 6:33:01 PM,%RH,93.914
12/9/16 6:43:01 PM,%RH,94.909
12/9/16 6:53:01 PM,%RH,96.391
12/9/16 7:03:01 PM,%RH,96.881
12/9/16 7:13:01 PM,%RH,97.858
12/9/16 7:23:01 PM,%RH,97.858
12/9/16 7:33:01 PM,%RH,97.858
12/9/16 7:43:01 PM,%RH,99.312
12/9/16 7:53:01 PM,%RH,99.312
12/9/16 8:03:01 PM,%RH,99.794
12/9/16 8:13:01 PM,%RH,100.753
12/9/16 8:23:01 PM,%RH,99.794
12/9/16 8:33:01 PM,%RH,100.753
12/9/16 8:43:01 PM,%RH,100.753
12/9/16 8:53:01 PM,%RH,101.23
12/9/16 9:03:01 PM,%RH,101.705
12/9/16 9:13:01 PM,%RH,102.179
