1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EB00000023E30C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:03:01 MST 2016
Mission Sample Count:  2738
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:03:01 MST 2016
Total Mission Samples:  2738
Total Device Samples:  17606
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:03:01 AM,C,22.148
12/9/16 10:13:01 AM,C,21.647
12/9/16 10:23:01 AM,C,21.147
12/9/16 10:33:01 AM,C,21.147
12/9/16 10:43:01 AM,C,21.147
12/9/16 10:53:01 AM,C,20.647
12/9/16 11:03:01 AM,C,20.146
12/9/16 11:13:01 AM,C,20.146
12/9/16 11:23:01 AM,C,20.146
12/9/16 11:33:01 AM,C,20.647
12/9/16 11:43:01 AM,C,20.647
12/9/16 11:53:01 AM,C,20.647
12/9/16 12:03:01 PM,C,20.647
12/9/16 12:13:01 PM,C,21.147
12/9/16 12:23:01 PM,C,21.147
12/9/16 12:33:01 PM,C,21.147
12/9/16 12:43:01 PM,C,21.147
12/9/16 12:53:01 PM,C,21.147
12/9/16 1:03:01 PM,C,21.147
12/9/16 1:13:01 PM,C,21.647
12/9/16 1:23:01 PM,C,21.647
12/9/16 1:33:01 PM,C,21.647
12/9/16 1:43:01 PM,C,22.648
12/9/16 1:53:01 PM,C,25.149
12/9/16 2:03:01 PM,C,25.149
12/9/16 2:13:01 PM,C,25.648
12/9/16 2:23:01 PM,C,26.148
12/9/16 2:33:01 PM,C,26.648
12/9/16 2:43:01 PM,C,27.148
12/9/16 2:53:01 PM,C,27.648
12/9/16 3:03:01 PM,C,27.648
12/9/16 3:13:01 PM,C,27.648
12/9/16 3:23:01 PM,C,27.148
12/9/16 3:33:01 PM,C,31.643
12/9/16 3:43:01 PM,C,32.641
12/9/16 3:53:01 PM,C,47.589
12/9/16 4:03:01 PM,C,39.623
12/9/16 4:13:01 PM,C,32.641
12/9/16 4:23:01 PM,C,30.145
12/9/16 4:33:01 PM,C,29.646
12/9/16 4:43:01 PM,C,30.145
12/9/16 4:53:01 PM,C,30.145
12/9/16 5:03:01 PM,C,30.145
12/9/16 5:13:01 PM,C,30.145
12/9/16 5:23:01 PM,C,29.146
12/9/16 5:33:01 PM,C,29.146
12/9/16 5:43:01 PM,C,28.647
12/9/16 5:53:01 PM,C,28.147
12/9/16 6:03:01 PM,C,27.648
12/9/16 6:13:01 PM,C,27.148
12/9/16 6:23:01 PM,C,26.648
12/9/16 6:33:01 PM,C,26.148
12/9/16 6:43:01 PM,C,25.149
12/9/16 6:53:01 PM,C,24.649
12/9/16 7:03:01 PM,C,24.148
12/9/16 7:13:01 PM,C,23.648
12/9/16 7:23:01 PM,C,23.648
12/9/16 7:33:01 PM,C,23.148
12/9/16 7:43:01 PM,C,22.648
12/9/16 7:53:01 PM,C,22.648
12/9/16 8:03:01 PM,C,22.148
12/9/16 8:13:01 PM,C,21.647
12/9/16 8:23:01 PM,C,21.147
12/9/16 8:33:01 PM,C,20.647
12/9/16 8:43:01 PM,C,20.647
12/9/16 8:53:01 PM,C,20.146
12/9/16 9:03:01 PM,C,20.146
12/9/16 9:13:01 PM,C,19.646
12/9/16 9:23:01 PM,C,19.646
12/9/16 9:33:01 PM,C,19.145
12/9/16 9:43:01 PM,C,19.145
12/9/16 9:53:01 PM,C,19.145
12/9/16 10:03:01 PM,C,18.644
12/9/16 10:13:01 PM,C,18.644
12/9/16 10:23:01 PM,C,18.644
12/9/16 10:33:01 PM,C,18.644
12/9/16 10:43:01 PM,C,18.144
12/9/16 10:53:01 PM,C,18.144
12/9/16 11:03:01 PM,C,18.144
12/9/16 11:13:01 PM,C,17.643
12/9/16 11:23:01 PM,C,17.643
12/9/16 11:33:01 PM,C,17.643
12/9/16 11:43:01 PM,C,17.643
12/9/16 11:53:01 PM,C,17.142
12/10/16 12:03:01 AM,C,17.142
12/10/16 12:13:01 AM,C,17.142
12/10/16 12:23:01 AM,C,17.142
12/10/16 12:33:01 AM,C,16.641
12/10/16 12:43:01 AM,C,16.641
12/10/16 12:53:01 AM,C,16.641
12/10/16 1:03:01 AM,C,16.641
12/10/16 1:13:01 AM,C,16.641
12/10/16 1:23:01 AM,C,16.641
12/10/16 1:33:01 AM,C,16.14
12/10/16 1:43:01 AM,C,16.14
12/10/16 1:53:01 AM,C,16.14
12/10/16 2:03:01 AM,C,16.14
12/10/16 2:13:01 AM,C,16.14
12/10/16 2:23:01 AM,C,15.639
12/10/16 2:33:01 AM,C,15.639
12/10/16 2:43:01 AM,C,15.639
12/10/16 2:53:01 AM,C,15.639
12/10/16 3:03:01 AM,C,15.639
12/10/16 3:13:01 AM,C,15.639
12/10/16 3:23:01 AM,C,15.639
12/10/16 3:33:01 AM,C,15.639
12/10/16 3:43:01 AM,C,15.639
12/10/16 3:53:01 AM,C,15.138
12/10/16 4:03:01 AM,C,15.138
12/10/16 4:13:01 AM,C,15.138
12/10/16 4:23:01 AM,C,15.138
12/10/16 4:33:01 AM,C,15.138
12/10/16 4:43:01 AM,C,15.138
12/10/16 4:53:01 AM,C,15.138
12/10/16 5:03:01 AM,C,14.637
12/10/16 5:13:01 AM,C,14.637
12/10/16 5:23:01 AM,C,14.637
12/10/16 5:33:01 AM,C,14.637
12/10/16 5:43:01 AM,C,14.637
12/10/16 5:53:01 AM,C,14.637
12/10/16 6:03:01 AM,C,14.637
12/10/16 6:13:01 AM,C,14.637
12/10/16 6:23:01 AM,C,14.637
12/10/16 6:33:01 AM,C,15.138
12/10/16 6:43:01 AM,C,15.639
12/10/16 6:53:01 AM,C,15.639
12/10/16 7:03:01 AM,C,16.14
12/10/16 7:13:01 AM,C,16.14
12/10/16 7:23:01 AM,C,16.641
12/10/16 7:33:01 AM,C,16.641
12/10/16 7:43:01 AM,C,16.641
12/10/16 7:53:01 AM,C,17.142
12/10/16 8:03:01 AM,C,17.142
12/10/16 8:13:01 AM,C,17.643
12/10/16 8:23:01 AM,C,18.144
12/10/16 8:33:01 AM,C,18.144
12/10/16 8:43:01 AM,C,18.644
12/10/16 8:53:01 AM,C,19.145
12/10/16 9:03:01 AM,C,20.146
12/10/16 9:13:01 AM,C,20.647
12/10/16 9:23:01 AM,C,21.647
