1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FD00000025793741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:04:01 MST 2016
Mission Sample Count:  2741
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:04:01 MST 2016
Total Mission Samples:  2741
Total Device Samples:  372348
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:04:01 AM,%RH,50.046
12/9/16 10:14:01 AM,%RH,48.783
12/9/16 10:24:01 AM,%RH,48.783
12/9/16 10:34:01 AM,%RH,50.046
12/9/16 10:44:01 AM,%RH,51.928
12/9/16 10:54:01 AM,%RH,50.675
12/9/16 11:04:01 AM,%RH,51.928
12/9/16 11:14:01 AM,%RH,51.928
12/9/16 11:24:01 AM,%RH,51.928
12/9/16 11:34:01 AM,%RH,50.675
12/9/16 11:44:01 AM,%RH,50.675
12/9/16 11:54:01 AM,%RH,50.046
12/9/16 12:04:01 PM,%RH,49.416
12/9/16 12:14:01 PM,%RH,48.783
12/9/16 12:24:01 PM,%RH,48.149
12/9/16 12:34:01 PM,%RH,48.149
12/9/16 12:44:01 PM,%RH,47.513
12/9/16 12:54:01 PM,%RH,46.876
12/9/16 1:04:01 PM,%RH,46.876
12/9/16 1:14:01 PM,%RH,46.876
12/9/16 1:24:01 PM,%RH,46.236
12/9/16 1:34:01 PM,%RH,46.236
12/9/16 1:44:01 PM,%RH,47.513
12/9/16 1:54:01 PM,%RH,41.711
12/9/16 2:04:01 PM,%RH,43.013
12/9/16 2:14:01 PM,%RH,42.363
12/9/16 2:24:01 PM,%RH,41.711
12/9/16 2:34:01 PM,%RH,41.058
12/9/16 2:44:01 PM,%RH,40.403
12/9/16 2:54:01 PM,%RH,37.765
12/9/16 3:04:01 PM,%RH,37.101
12/9/16 3:14:01 PM,%RH,37.765
12/9/16 3:24:01 PM,%RH,38.427
12/9/16 3:34:01 PM,%RH,62.884
12/9/16 3:44:01 PM,%RH,71.014
12/9/16 3:54:01 PM,%RH,73.273
12/9/16 4:04:01 PM,%RH,74.392
12/9/16 4:14:01 PM,%RH,73.833
12/9/16 4:24:01 PM,%RH,74.949
12/9/16 4:34:01 PM,%RH,74.392
12/9/16 4:44:01 PM,%RH,74.392
12/9/16 4:54:01 PM,%RH,74.392
12/9/16 5:04:01 PM,%RH,75.504
12/9/16 5:14:01 PM,%RH,76.61
12/9/16 5:24:01 PM,%RH,78.799
12/9/16 5:34:01 PM,%RH,80.423
12/9/16 5:44:01 PM,%RH,80.96
12/9/16 5:54:01 PM,%RH,82.03
12/9/16 6:04:01 PM,%RH,82.563
12/9/16 6:14:01 PM,%RH,83.093
12/9/16 6:24:01 PM,%RH,83.622
12/9/16 6:34:01 PM,%RH,84.15
12/9/16 6:44:01 PM,%RH,84.15
12/9/16 6:54:01 PM,%RH,84.15
12/9/16 7:04:01 PM,%RH,85.199
12/9/16 7:14:01 PM,%RH,84.675
12/9/16 7:24:01 PM,%RH,85.199
12/9/16 7:34:01 PM,%RH,85.199
12/9/16 7:44:01 PM,%RH,85.721
12/9/16 7:54:01 PM,%RH,85.721
12/9/16 8:04:01 PM,%RH,86.241
12/9/16 8:14:01 PM,%RH,86.241
12/9/16 8:24:01 PM,%RH,86.241
12/9/16 8:34:01 PM,%RH,86.241
12/9/16 8:44:01 PM,%RH,86.759
12/9/16 8:54:01 PM,%RH,87.276
12/9/16 9:04:01 PM,%RH,87.276
12/9/16 9:14:01 PM,%RH,87.791
12/9/16 9:24:01 PM,%RH,87.276
12/9/16 9:34:01 PM,%RH,88.815
12/9/16 9:44:01 PM,%RH,87.791
12/9/16 9:54:01 PM,%RH,87.791
12/9/16 10:04:01 PM,%RH,87.791
12/9/16 10:14:01 PM,%RH,87.791
12/9/16 10:24:01 PM,%RH,88.304
12/9/16 10:34:01 PM,%RH,88.304
12/9/16 10:44:01 PM,%RH,88.304
12/9/16 10:54:01 PM,%RH,87.791
12/9/16 11:04:01 PM,%RH,88.304
12/9/16 11:14:01 PM,%RH,88.304
12/9/16 11:24:01 PM,%RH,88.304
12/9/16 11:34:01 PM,%RH,88.815
12/9/16 11:44:01 PM,%RH,88.815
12/9/16 11:54:01 PM,%RH,88.815
12/10/16 12:04:01 AM,%RH,88.815
12/10/16 12:14:01 AM,%RH,89.325
12/10/16 12:24:01 AM,%RH,89.325
12/10/16 12:34:01 AM,%RH,88.304
12/10/16 12:44:01 AM,%RH,89.325
12/10/16 12:54:01 AM,%RH,89.325
12/10/16 1:04:01 AM,%RH,89.325
12/10/16 1:14:01 AM,%RH,89.325
12/10/16 1:24:01 AM,%RH,89.833
12/10/16 1:34:01 AM,%RH,89.325
12/10/16 1:44:01 AM,%RH,89.833
12/10/16 1:54:01 AM,%RH,89.325
12/10/16 2:04:01 AM,%RH,88.815
12/10/16 2:14:01 AM,%RH,89.833
12/10/16 2:24:01 AM,%RH,89.325
12/10/16 2:34:01 AM,%RH,89.833
12/10/16 2:44:01 AM,%RH,89.833
12/10/16 2:54:01 AM,%RH,89.325
12/10/16 3:04:01 AM,%RH,90.843
12/10/16 3:14:01 AM,%RH,90.339
12/10/16 3:24:01 AM,%RH,90.339
12/10/16 3:34:01 AM,%RH,90.339
12/10/16 3:44:01 AM,%RH,90.339
12/10/16 3:54:01 AM,%RH,90.339
12/10/16 4:04:01 AM,%RH,90.843
12/10/16 4:14:01 AM,%RH,90.843
12/10/16 4:24:01 AM,%RH,90.843
12/10/16 4:34:01 AM,%RH,90.339
12/10/16 4:44:01 AM,%RH,90.339
12/10/16 4:54:01 AM,%RH,90.843
12/10/16 5:04:01 AM,%RH,90.339
12/10/16 5:14:01 AM,%RH,90.843
12/10/16 5:24:01 AM,%RH,91.346
12/10/16 5:34:01 AM,%RH,90.843
12/10/16 5:44:01 AM,%RH,91.346
12/10/16 5:54:01 AM,%RH,90.843
12/10/16 6:04:01 AM,%RH,90.843
12/10/16 6:14:01 AM,%RH,91.346
12/10/16 6:24:01 AM,%RH,91.346
12/10/16 6:34:01 AM,%RH,91.346
12/10/16 6:44:01 AM,%RH,90.843
12/10/16 6:54:01 AM,%RH,90.843
12/10/16 7:04:01 AM,%RH,91.346
12/10/16 7:14:01 AM,%RH,91.346
12/10/16 7:24:01 AM,%RH,90.843
12/10/16 7:34:01 AM,%RH,90.843
12/10/16 7:44:01 AM,%RH,90.339
12/10/16 7:54:01 AM,%RH,90.339
12/10/16 8:04:01 AM,%RH,90.843
12/10/16 8:14:01 AM,%RH,89.833
12/10/16 8:24:01 AM,%RH,89.833
12/10/16 8:34:01 AM,%RH,89.325
12/10/16 8:44:01 AM,%RH,89.325
12/10/16 8:54:01 AM,%RH,88.815
12/10/16 9:04:01 AM,%RH,88.304
12/10/16 9:14:01 AM,%RH,88.815
12/10/16 9:24:01 AM,%RH,88.304
12/10/16 9:34:01 AM,%RH,88.304
12/10/16 9:44:01 AM,%RH,87.791
12/10/16 9:54:01 AM,%RH,86.241
12/10/16 10:04:01 AM,%RH,84.675
12/10/16 10:14:01 AM,%RH,84.675
12/10/16 10:24:01 AM,%RH,83.093
12/10/16 10:34:01 AM,%RH,83.093
12/10/16 10:44:01 AM,%RH,82.03
12/10/16 10:54:01 AM,%RH,81.496
12/10/16 11:04:01 AM,%RH,82.03
