1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BD00000021835E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Dec 09 10:04:01 MST 2016
Mission Sample Count:  2741
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Dec 09 10:04:01 MST 2016
Total Mission Samples:  2741
Total Device Samples:  46790
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/9/16 10:04:01 AM,C,21.102
12/9/16 10:14:01 AM,C,20.602
12/9/16 10:24:01 AM,C,20.602
12/9/16 10:34:01 AM,C,21.102
12/9/16 10:44:01 AM,C,21.102
12/9/16 10:54:01 AM,C,20.602
12/9/16 11:04:01 AM,C,20.102
12/9/16 11:14:01 AM,C,20.102
12/9/16 11:24:01 AM,C,20.102
12/9/16 11:34:01 AM,C,20.102
12/9/16 11:44:01 AM,C,20.602
12/9/16 11:54:01 AM,C,20.602
12/9/16 12:04:01 PM,C,20.602
12/9/16 12:14:01 PM,C,20.602
12/9/16 12:24:01 PM,C,21.102
12/9/16 12:34:01 PM,C,21.102
12/9/16 12:44:01 PM,C,21.102
12/9/16 12:54:01 PM,C,21.102
12/9/16 1:04:01 PM,C,21.102
12/9/16 1:14:01 PM,C,21.102
12/9/16 1:24:01 PM,C,21.102
12/9/16 1:34:01 PM,C,21.102
12/9/16 1:44:01 PM,C,23.103
12/9/16 1:54:01 PM,C,25.604
12/9/16 2:04:01 PM,C,25.604
12/9/16 2:14:01 PM,C,26.104
12/9/16 2:24:01 PM,C,26.603
12/9/16 2:34:01 PM,C,27.103
12/9/16 2:44:01 PM,C,28.103
12/9/16 2:54:01 PM,C,28.103
12/9/16 3:04:01 PM,C,27.103
12/9/16 3:14:01 PM,C,26.603
12/9/16 3:24:01 PM,C,26.603
12/9/16 3:34:01 PM,C,34.098
12/9/16 3:44:01 PM,C,29.103
12/9/16 3:54:01 PM,C,29.602
12/9/16 4:04:01 PM,C,37.593
12/9/16 4:14:01 PM,C,39.59
12/9/16 4:24:01 PM,C,41.087
12/9/16 4:34:01 PM,C,41.586
12/9/16 4:44:01 PM,C,42.084
12/9/16 4:54:01 PM,C,40.588
12/9/16 5:04:01 PM,C,34.098
12/9/16 5:14:01 PM,C,31.101
12/9/16 5:24:01 PM,C,29.103
12/9/16 5:34:01 PM,C,28.103
12/9/16 5:44:01 PM,C,27.603
12/9/16 5:54:01 PM,C,27.103
12/9/16 6:04:01 PM,C,26.603
12/9/16 6:14:01 PM,C,26.104
12/9/16 6:24:01 PM,C,25.604
12/9/16 6:34:01 PM,C,25.104
12/9/16 6:44:01 PM,C,25.104
12/9/16 6:54:01 PM,C,24.604
12/9/16 7:04:01 PM,C,24.104
12/9/16 7:14:01 PM,C,24.104
12/9/16 7:24:01 PM,C,23.603
12/9/16 7:34:01 PM,C,23.603
12/9/16 7:44:01 PM,C,23.103
12/9/16 7:54:01 PM,C,22.603
12/9/16 8:04:01 PM,C,22.603
12/9/16 8:14:01 PM,C,22.103
12/9/16 8:24:01 PM,C,21.603
12/9/16 8:34:01 PM,C,21.603
12/9/16 8:44:01 PM,C,21.102
12/9/16 8:54:01 PM,C,21.102
12/9/16 9:04:01 PM,C,20.602
12/9/16 9:14:01 PM,C,20.602
12/9/16 9:24:01 PM,C,20.602
12/9/16 9:34:01 PM,C,20.102
12/9/16 9:44:01 PM,C,20.102
12/9/16 9:54:01 PM,C,20.102
12/9/16 10:04:01 PM,C,19.601
12/9/16 10:14:01 PM,C,19.601
12/9/16 10:24:01 PM,C,19.601
12/9/16 10:34:01 PM,C,19.101
12/9/16 10:44:01 PM,C,19.101
12/9/16 10:54:01 PM,C,19.101
12/9/16 11:04:01 PM,C,19.101
12/9/16 11:14:01 PM,C,18.601
12/9/16 11:24:01 PM,C,18.601
12/9/16 11:34:01 PM,C,18.601
12/9/16 11:44:01 PM,C,18.1
12/9/16 11:54:01 PM,C,18.1
12/10/16 12:04:01 AM,C,18.1
12/10/16 12:14:01 AM,C,18.1
12/10/16 12:24:01 AM,C,17.6
12/10/16 12:34:01 AM,C,17.6
12/10/16 12:44:01 AM,C,17.6
12/10/16 12:54:01 AM,C,17.6
12/10/16 1:04:01 AM,C,17.099
12/10/16 1:14:01 AM,C,17.099
12/10/16 1:24:01 AM,C,17.099
12/10/16 1:34:01 AM,C,17.099
12/10/16 1:44:01 AM,C,17.099
12/10/16 1:54:01 AM,C,16.599
12/10/16 2:04:01 AM,C,16.599
12/10/16 2:14:01 AM,C,16.599
12/10/16 2:24:01 AM,C,16.599
12/10/16 2:34:01 AM,C,16.599
12/10/16 2:44:01 AM,C,16.599
12/10/16 2:54:01 AM,C,16.098
12/10/16 3:04:01 AM,C,16.098
12/10/16 3:14:01 AM,C,16.098
12/10/16 3:24:01 AM,C,16.098
12/10/16 3:34:01 AM,C,16.098
12/10/16 3:44:01 AM,C,16.098
12/10/16 3:54:01 AM,C,15.597
12/10/16 4:04:01 AM,C,15.597
12/10/16 4:14:01 AM,C,15.597
12/10/16 4:24:01 AM,C,15.597
12/10/16 4:34:01 AM,C,15.597
12/10/16 4:44:01 AM,C,15.597
12/10/16 4:54:01 AM,C,15.097
12/10/16 5:04:01 AM,C,15.097
12/10/16 5:14:01 AM,C,15.097
12/10/16 5:24:01 AM,C,15.097
12/10/16 5:34:01 AM,C,15.097
12/10/16 5:44:01 AM,C,15.097
12/10/16 5:54:01 AM,C,14.596
12/10/16 6:04:01 AM,C,14.596
12/10/16 6:14:01 AM,C,15.097
12/10/16 6:24:01 AM,C,15.097
12/10/16 6:34:01 AM,C,15.097
12/10/16 6:44:01 AM,C,15.097
12/10/16 6:54:01 AM,C,15.597
12/10/16 7:04:01 AM,C,16.098
12/10/16 7:14:01 AM,C,16.098
12/10/16 7:24:01 AM,C,16.098
12/10/16 7:34:01 AM,C,16.599
12/10/16 7:44:01 AM,C,17.099
12/10/16 7:54:01 AM,C,18.1
12/10/16 8:04:01 AM,C,18.601
12/10/16 8:14:01 AM,C,18.601
12/10/16 8:24:01 AM,C,19.101
12/10/16 8:34:01 AM,C,20.602
12/10/16 8:44:01 AM,C,20.102
12/10/16 8:54:01 AM,C,20.102
12/10/16 9:04:01 AM,C,20.102
12/10/16 9:14:01 AM,C,20.102
12/10/16 9:24:01 AM,C,21.102
12/10/16 9:34:01 AM,C,30.102
12/10/16 9:44:01 AM,C,34.098
12/10/16 9:54:01 AM,C,31.601
12/10/16 10:04:01 AM,C,30.602
12/10/16 10:14:01 AM,C,38.092
12/10/16 10:24:01 AM,C,37.593
12/10/16 10:34:01 AM,C,33.599
12/10/16 10:44:01 AM,C,37.094
12/10/16 10:54:01 AM,C,39.091
12/10/16 11:04:01 AM,C,33.099
12/10/16 11:14:01 AM,C,32.1
12/10/16 11:24:01 AM,C,31.601
12/10/16 11:34:01 AM,C,29.602
12/10/16 11:44:01 AM,C,35.596
12/10/16 11:54:01 AM,C,42.583
12/10/16 12:04:01 PM,C,38.592
12/10/16 12:14:01 PM,C,41.087
12/10/16 12:24:01 PM,C,48.068
12/10/16 12:34:01 PM,C,49.564
12/10/16 12:44:01 PM,C,44.578
12/10/16 12:54:01 PM,C,51.058
12/10/16 1:04:01 PM,C,53.549
12/10/16 1:14:01 PM,C,53.051
12/10/16 1:24:01 PM,C,46.573
12/10/16 1:34:01 PM,C,39.091
12/10/16 1:44:01 PM,C,36.595
12/10/16 1:54:01 PM,C,34.598
12/10/16 2:04:01 PM,C,33.599
12/10/16 2:14:01 PM,C,32.1
12/10/16 2:24:01 PM,C,35.596
12/10/16 2:34:01 PM,C,34.598
12/10/16 2:44:01 PM,C,32.6
12/10/16 2:54:01 PM,C,32.6
12/10/16 3:04:01 PM,C,34.598
12/10/16 3:14:01 PM,C,36.096
12/10/16 3:24:01 PM,C,37.593
12/10/16 3:34:01 PM,C,41.087
12/10/16 3:44:01 PM,C,38.092
12/10/16 3:54:01 PM,C,36.595
12/10/16 4:04:01 PM,C,44.578
12/10/16 4:14:01 PM,C,46.573
12/10/16 4:24:01 PM,C,47.57
12/10/16 4:34:01 PM,C,48.567
12/10/16 4:44:01 PM,C,48.567
12/10/16 4:54:01 PM,C,47.57
12/10/16 5:04:01 PM,C,41.087
12/10/16 5:14:01 PM,C,36.595
12/10/16 5:24:01 PM,C,34.598
12/10/16 5:34:01 PM,C,33.599
12/10/16 5:44:01 PM,C,32.6
12/10/16 5:54:01 PM,C,32.1
12/10/16 6:04:01 PM,C,31.601
12/10/16 6:14:01 PM,C,31.101
12/10/16 6:24:01 PM,C,30.602
12/10/16 6:34:01 PM,C,30.602
12/10/16 6:44:01 PM,C,30.102
12/10/16 6:54:01 PM,C,29.602
12/10/16 7:04:01 PM,C,29.103
12/10/16 7:14:01 PM,C,28.603
12/10/16 7:24:01 PM,C,28.603
12/10/16 7:34:01 PM,C,28.103
12/10/16 7:44:01 PM,C,27.603
12/10/16 7:54:01 PM,C,27.103
12/10/16 8:04:01 PM,C,26.603
12/10/16 8:14:01 PM,C,26.104
12/10/16 8:24:01 PM,C,25.604
12/10/16 8:34:01 PM,C,25.104
12/10/16 8:44:01 PM,C,25.104
12/10/16 8:54:01 PM,C,24.604
12/10/16 9:04:01 PM,C,24.604
12/10/16 9:14:01 PM,C,24.104
12/10/16 9:24:01 PM,C,24.104
12/10/16 9:34:01 PM,C,23.603
12/10/16 9:44:01 PM,C,23.603
12/10/16 9:54:01 PM,C,23.103
12/10/16 10:04:01 PM,C,23.103
12/10/16 10:14:01 PM,C,23.103
12/10/16 10:24:01 PM,C,22.603
12/10/16 10:34:01 PM,C,22.603
12/10/16 10:44:01 PM,C,22.603
12/10/16 10:54:01 PM,C,22.103
12/10/16 11:04:01 PM,C,22.103
12/10/16 11:14:01 PM,C,22.103
12/10/16 11:24:01 PM,C,22.103
12/10/16 11:34:01 PM,C,21.603
12/10/16 11:44:01 PM,C,21.603
12/10/16 11:54:01 PM,C,21.102
12/11/16 12:04:01 AM,C,21.102
12/11/16 12:14:01 AM,C,21.102
12/11/16 12:24:01 AM,C,21.102
12/11/16 12:34:01 AM,C,20.602
12/11/16 12:44:01 AM,C,20.602
12/11/16 12:54:01 AM,C,20.602
12/11/16 1:04:01 AM,C,20.602
12/11/16 1:14:01 AM,C,20.102
12/11/16 1:24:01 AM,C,20.102
12/11/16 1:34:01 AM,C,20.102
12/11/16 1:44:01 AM,C,19.601
12/11/16 1:54:01 AM,C,19.601
12/11/16 2:04:01 AM,C,19.601
12/11/16 2:14:01 AM,C,19.601
12/11/16 2:24:01 AM,C,19.601
12/11/16 2:34:01 AM,C,19.101
12/11/16 2:44:01 AM,C,19.101
12/11/16 2:54:01 AM,C,19.101
12/11/16 3:04:01 AM,C,19.101
12/11/16 3:14:01 AM,C,19.101
12/11/16 3:24:01 AM,C,18.601
12/11/16 3:34:01 AM,C,18.601
12/11/16 3:44:01 AM,C,18.601
12/11/16 3:54:01 AM,C,18.601
12/11/16 4:04:01 AM,C,18.1
12/11/16 4:14:01 AM,C,18.1
12/11/16 4:24:01 AM,C,18.1
12/11/16 4:34:01 AM,C,18.1
12/11/16 4:44:01 AM,C,18.1
12/11/16 4:54:01 AM,C,18.1
12/11/16 5:04:01 AM,C,18.1
12/11/16 5:14:01 AM,C,17.6
12/11/16 5:24:01 AM,C,17.6
12/11/16 5:34:01 AM,C,17.6
12/11/16 5:44:01 AM,C,17.6
12/11/16 5:54:01 AM,C,17.6
12/11/16 6:04:01 AM,C,17.6
12/11/16 6:14:01 AM,C,17.6
12/11/16 6:24:01 AM,C,18.1
12/11/16 6:34:01 AM,C,18.1
12/11/16 6:44:01 AM,C,18.601
12/11/16 6:54:01 AM,C,18.601
12/11/16 7:04:01 AM,C,19.101
12/11/16 7:14:01 AM,C,19.601
12/11/16 7:24:01 AM,C,19.601
12/11/16 7:34:01 AM,C,20.102
12/11/16 7:44:01 AM,C,20.602
12/11/16 7:54:01 AM,C,22.103
12/11/16 8:04:01 AM,C,22.603
12/11/16 8:14:01 AM,C,22.603
12/11/16 8:24:01 AM,C,22.603
12/11/16 8:34:01 AM,C,24.604
12/11/16 8:44:01 AM,C,24.104
12/11/16 8:54:01 AM,C,24.104
12/11/16 9:04:01 AM,C,24.104
12/11/16 9:14:01 AM,C,24.604
12/11/16 9:24:01 AM,C,25.104
12/11/16 9:34:01 AM,C,33.099
12/11/16 9:44:01 AM,C,34.598
12/11/16 9:54:01 AM,C,33.099
12/11/16 10:04:01 AM,C,31.601
12/11/16 10:14:01 AM,C,39.091
12/11/16 10:24:01 AM,C,40.089
12/11/16 10:34:01 AM,C,36.096
12/11/16 10:44:01 AM,C,36.595
12/11/16 10:54:01 AM,C,43.082
12/11/16 11:04:01 AM,C,38.592
12/11/16 11:14:01 AM,C,37.094
12/11/16 11:24:01 AM,C,37.094
12/11/16 11:34:01 AM,C,35.596
12/11/16 11:44:01 AM,C,37.593
12/11/16 11:54:01 AM,C,41.586
12/11/16 12:04:01 PM,C,41.087
12/11/16 12:14:01 PM,C,39.59
12/11/16 12:24:01 PM,C,46.074
12/11/16 12:34:01 PM,C,47.57
12/11/16 12:44:01 PM,C,41.586
12/11/16 12:54:01 PM,C,43.581
12/11/16 1:04:01 PM,C,49.065
12/11/16 1:14:01 PM,C,53.549
12/11/16 1:24:01 PM,C,48.068
12/11/16 1:34:01 PM,C,41.586
12/11/16 1:44:01 PM,C,40.089
12/11/16 1:54:01 PM,C,38.092
12/11/16 2:04:01 PM,C,37.593
12/11/16 2:14:01 PM,C,37.094
12/11/16 2:24:01 PM,C,37.593
12/11/16 2:34:01 PM,C,37.094
12/11/16 2:44:01 PM,C,37.094
12/11/16 2:54:01 PM,C,37.094
12/11/16 3:04:01 PM,C,36.595
12/11/16 3:14:01 PM,C,38.592
12/11/16 3:24:01 PM,C,39.59
12/11/16 3:34:01 PM,C,43.581
12/11/16 3:44:01 PM,C,39.59
12/11/16 3:54:01 PM,C,36.096
12/11/16 4:04:01 PM,C,44.578
12/11/16 4:14:01 PM,C,48.068
12/11/16 4:24:01 PM,C,49.065
12/11/16 4:34:01 PM,C,42.583
12/11/16 4:44:01 PM,C,46.573
12/11/16 4:54:01 PM,C,48.068
12/11/16 5:04:01 PM,C,42.084
12/11/16 5:14:01 PM,C,39.091
12/11/16 5:24:01 PM,C,37.094
12/11/16 5:34:01 PM,C,35.596
12/11/16 5:44:01 PM,C,34.598
12/11/16 5:54:01 PM,C,35.097
12/11/16 6:04:01 PM,C,34.598
12/11/16 6:14:01 PM,C,34.098
12/11/16 6:24:01 PM,C,33.599
12/11/16 6:34:01 PM,C,33.099
12/11/16 6:44:01 PM,C,32.6
12/11/16 6:54:01 PM,C,32.1
12/11/16 7:04:01 PM,C,32.1
12/11/16 7:14:01 PM,C,31.601
12/11/16 7:24:01 PM,C,31.101
12/11/16 7:34:01 PM,C,30.602
12/11/16 7:44:01 PM,C,30.602
12/11/16 7:54:01 PM,C,30.102
12/11/16 8:04:01 PM,C,29.602
12/11/16 8:14:01 PM,C,29.602
12/11/16 8:24:01 PM,C,29.103
12/11/16 8:34:01 PM,C,29.103
12/11/16 8:44:01 PM,C,28.603
12/11/16 8:54:01 PM,C,28.603
12/11/16 9:04:01 PM,C,28.603
12/11/16 9:14:01 PM,C,28.103
12/11/16 9:24:01 PM,C,28.103
12/11/16 9:34:01 PM,C,27.603
12/11/16 9:44:01 PM,C,27.603
12/11/16 9:54:01 PM,C,27.603
12/11/16 10:04:01 PM,C,27.103
12/11/16 10:14:01 PM,C,26.603
12/11/16 10:24:01 PM,C,26.603
12/11/16 10:34:01 PM,C,26.104
12/11/16 10:44:01 PM,C,26.104
12/11/16 10:54:01 PM,C,25.604
12/11/16 11:04:01 PM,C,25.604
