Time,Tree,Edge,20 meters,Grass
12/13/16 0:04,26.174,25.637,25.107,23.637
12/13/16 0:14,25.674,25.137,24.607,23.136
12/13/16 0:24,25.674,25.137,24.607,23.637
12/13/16 0:34,25.674,25.137,24.607,23.136
12/13/16 0:44,25.674,25.137,24.607,23.637
12/13/16 0:54,24.674,24.637,23.607,22.636
12/13/16 1:04,24.674,24.137,23.107,22.636
12/13/16 1:14,24.674,24.137,22.606,22.136
12/13/16 1:24,24.174,23.637,22.106,22.136
12/13/16 1:34,24.174,23.637,22.606,21.636
12/13/16 1:44,24.174,23.637,22.106,21.636
12/13/16 1:54,24.174,23.637,22.606,22.136
12/13/16 2:04,24.174,24.137,23.107,22.136
12/13/16 2:14,24.174,24.137,23.107,22.636
12/13/16 2:24,24.174,23.637,22.606,22.636
12/13/16 2:34,24.174,23.637,22.606,22.636
12/13/16 2:44,24.174,23.637,22.606,22.636
12/13/16 2:54,24.174,23.637,22.606,22.136
12/13/16 3:04,24.174,23.637,23.107,22.136
12/13/16 3:14,24.174,23.637,23.107,22.136
12/13/16 3:24,24.174,23.637,23.107,22.636
12/13/16 3:34,24.174,24.137,23.607,23.136
12/13/16 3:44,23.674,23.637,23.107,22.136
12/13/16 3:54,23.674,23.136,22.606,21.636
12/13/16 4:04,23.173,22.636,21.605,21.636
12/13/16 4:14,23.173,22.636,21.605,21.136
12/13/16 4:24,23.173,22.136,22.106,20.635
12/13/16 4:34,23.173,22.636,21.605,21.136
12/13/16 4:44,22.673,22.136,21.105,21.136
12/13/16 4:54,22.673,22.136,21.605,20.635
12/13/16 5:04,22.673,22.636,22.106,22.136
12/13/16 5:14,23.674,23.136,23.107,22.136
12/13/16 5:24,23.674,23.637,23.607,23.136
12/13/16 5:34,24.174,24.137,24.107,23.136
12/13/16 5:44,24.174,24.137,23.607,22.636
12/13/16 5:54,23.674,23.637,23.607,22.636
12/13/16 6:04,23.674,23.136,23.107,22.136
12/13/16 6:14,23.674,23.136,23.107,23.136
12/13/16 6:24,23.173,23.136,23.107,22.636
12/13/16 6:34,22.673,22.136,22.106,23.637
12/13/16 6:44,23.674,23.136,23.107,26.137
12/13/16 6:54,23.674,23.136,23.607,27.137
12/13/16 7:04,25.174,23.637,24.607,27.137
12/13/16 7:14,24.674,24.137,28.107,28.136
12/13/16 7:24,24.674,24.637,29.606,29.636
12/13/16 7:34,25.674,25.137,30.105,29.636
12/13/16 7:44,26.174,25.637,31.104,31.135
12/13/16 7:54,26.674,26.636,31.603,30.635
12/13/16 8:04,27.174,27.136,32.602,32.134
12/13/16 8:14,27.673,27.636,33.101,32.134
12/13/16 8:24,28.173,28.136,34.099,32.134
12/13/16 8:34,29.172,28.635,35.097,33.133
12/13/16 8:44,28.672,30.134,34.598,33.633
12/13/16 8:54,30.17,30.134,35.596,34.632
12/13/16 9:04,29.671,30.134,35.097,33.633
12/13/16 9:14,30.17,30.134,36.594,34.132
