Date dd/mm/yy,Time,lat,long,lat,long,Trial,sample,Field,Descriptive,Transect,temp.10cm,RH.10cm,Wind.10cm,temp.1.5m,RH.1.5m,Wind.1.5m,unknown,1-3 instar,4-5 instar,adult,total,,,,
11/10/2017,2:45,S 31 56.803,E 147 58.094,S 31 56.828,E 147 58.105,1,1,1,1,1,33.9,25,0.1,33.6,23,2.5,,,,,0,Descriptive Column legend,,Field Legend,
11/10/2017,2:00,S 31 56.795,E 147 58.075,S 31 56.820,E 147 58.084,2,1,1,2,2,37.5,23.5,0.6,37.1,22.7,1.2,,,1,,1,1,forest,1,Foremans
11/10/2017,1:52,S 31 56.798,E 147 58.061,S 31 56.824,E 147 58.069,3,1,1,3,3,36.2,26.4,0.4,36.4,23.6,2,2,1,1,2,6,2,edge,2,Bottom 3
11/10/2017,3:00,S 31 56.685,,S 31 56.659,E 147 58.218,4,1,1,4,4,34.6,23.7,2,35.5,23.3,3.4,1,2,3,2,8,3,20 m,3,Back Aero
10/10/2017,2:00,S 31 58.314,E 147 57.896,S 31 58.328,E 147 57.871,5,1,2,1,5,31.4,28.1,0,30.6,28.7,0,,2,,,2,4,grassland,,
10/10/2017,1:00,S 31 58.302,E 147 57.903,S 31 58.302,E 147 57.868,6,1,2,2,6,35.2,24.5,0.5,36,23.3,0.6,,2,2,,4,,,,
10/10/2017,12:00,S 31 58.292,E 147 57.903,S 31 58.289,E 147 57.870,7,1,2,3,7,38.5,16.1,0,37.9,15,0,,3,,4,7,,,,
10/10/2017,11:00,S 31 58.172,E 147 57.992,S 31 58.171,E 147 58.009,8,1,2,4,8,27.8,36.2,0.1,27.5,35.6,1.5,,3,1,2,6,,,,
16/10/2017,12:00,S 31 59.278,E 148 00.047,S 31 59.258,E 148 00.070,9,1,3,1,9,28.2,30.5,1.2,26.4,29.4,2.5,1,,,1,2,,,,
16/10/2017,11:35,S 31 59.231,E 148 00.044,S 31 59.240,E 148 00.060,10,1,3,2,10,25.9,34.2,0.7,25.1,30.8,0.9,1,,1,,2,,,,
16/10/2017,11:05,S 31 59.252,E 148 00.025,S 31 59.231,E 148 00.044,11,1,3,3,11,27.2,36,0.3,26,33.6,2.5,,2,,,2,,,,
16/10/2017,10:20,S 31 56.544,E 147 58.141,S 31 59.181,E 148 00.114,12,1,3,4,12,24.2,40.3,2.5,24.1,41.6,3.5,,3,,3,6,,,,
27/10/17,2:00,S 31 56.803,E 147 58.094,S 31 56.828,E 147 58.105,13,2,1,1,1,34.8,32,0.2,35.5,31.9,0.4,,1,,1,2,,,,
27/10/17,1:30,S 31 56.795,E 147 58.075,S 31 56.820,E 147 58.084,14,2,1,2,2,33.6,28,0.4,36,23.5,0.4,2,1,,,3,,,,
27/10/17,1:00,S 31 56.798,E 147 58.061,S 31 56.824,E 147 58.069,15,2,1,3,3,29.6,38.1,0.6,30.2,37.4,0.4,,3,1,,4,,,,
27/10/17,12:30,S 31 56.685,,S 31 56.659,E 147 58.218,16,2,1,4,4,27,47.4,0.5,27.1,44.2,9,2,7,1,3,13,,,,
28/10/17,12:20,S 31 58.314,E 147 57.896,S 31 58.328,E 147 57.871,17,2,2,1,5,31.5,42.1,1.2,31.1,39.2,1.3,1,,2,1,4,,,,
28/10/17,11:53,S 31 58.302,E 147 57.903,S 31 58.302,E 147 57.868,18,2,2,2,6,30,50,1.3,30.8,48.4,1.3,,1,,1,2,,,,
28/10/17,11:23,S 31 58.292,E 147 57.903,S 31 58.289,E 147 57.870,19,2,2,3,7,28.6,51.5,0.8,27.4,49.8,1,2,5,2,3,12,,,,
28/10/17,11:00,S 31 58.172,E 147 57.992,S 31 58.171,E 147 58.009,20,2,2,4,8,27.7,58.7,0.6,25.6,56.5,2.3,1,7,3,3,14,,,,
26/10/17,1:10,S 31 59.278,E 148 00.047,S 31 59.258,E 148 00.070,21,2,3,1,9,31.9,22.2,0.7,32,20.4,0.5,1,1,,,2,,,,
26/10/17,12:50,S 31 59.231,E 148 00.044,S 31 59.240,E 148 00.060,22,2,3,2,10,31.9,21.4,1,30.6,22.5,2,2,1,1,,4,,,,
26/10/17,12:20,S 31 59.252,E 148 00.025,S 31 59.231,E 148 00.044,23,2,3,3,11,32.8,25.4,1.7,32.1,22.2,2,,1,1,1,3,,,,
26/10/17,11:05,S 31 56.544,E 147 58.141,S 31 59.181,E 148 00.114,24,2,3,4,12,32.1,28.6,3,31,28.1,1.6,1,4,3,3,11,,,,
