"","Field","Location","Transect","family","amount"
"1",1,"Tree stand",1,"Sample",1
"2",1,"Tree stand",1,"Sample",2
"3",1,"Tree stand",1,"Sample",3
"4",1,"Tree stand",1,"Sample",4
"5",1,"Tree stand",1,"Sample",5
"6",1,"Edge",2,"Sample",1
"7",1,"Edge",2,"Sample",2
"8",1,"Edge",2,"Sample",3
"9",1,"Edge",2,"Sample",4
"10",1,"20 Meters",3,"Sample",1
"11",1,"20 Meters",3,"Sample",2
"12",1,"20 Meters",3,"Sample",3
"13",1,"20 Meters",3,"Sample",4
"14",1,"20 Meters",3,"Sample",5
"15",1,"Grassland",4,"Sample",1
"16",1,"Grassland",4,"Sample",2
"17",1,"Grassland",4,"Sample",3
"18",1,"Grassland",4,"Sample",4
"19",1,"Grassland",4,"Sample",5
"20",2,"Tree stand",5,"Sample",1
"21",2,"Tree stand",5,"Sample",2
"22",2,"Tree stand",5,"Sample",3
"23",2,"Tree stand",5,"Sample",4
"24",2,"Tree stand",5,"Sample",5
"25",2,"Edge",6,"Sample",1
"26",2,"Edge",6,"Sample",2
"27",2,"Edge",6,"Sample",3
"28",2,"Edge",6,"Sample",4
"29",2,"Edge",6,"Sample",5
"30",2,"20 Meters",7,"Sample",1
"31",2,"20 Meters",7,"Sample",2
"32",2,"20 Meters",7,"Sample",3
"33",2,"20 Meters",7,"Sample",4
"34",2,"20 Meters",7,"Sample",5
"35",2,"Grassland",8,"Sample",1
"36",2,"Grassland",8,"Sample",2
"37",2,"Grassland",8,"Sample",3
"38",2,"Grassland",8,"Sample",4
"39",2,"Grassland",8,"Sample",5
"40",3,"Tree stand",9,"Sample",1
"41",3,"Tree stand",9,"Sample",2
"42",3,"Tree stand",9,"Sample",3
"43",3,"Tree stand",9,"Sample",4
"44",3,"Tree stand",9,"Sample",5
"45",3,"Edge",10,"Sample",1
"46",3,"Edge",10,"Sample",2
"47",3,"Edge",10,"Sample",3
"48",3,"Edge",10,"Sample",4
"49",3,"Edge",10,"Sample",5
"50",3,"20 Meters",11,"Sample",1
"51",3,"20 Meters",11,"Sample",2
"52",3,"20 Meters",11,"Sample",3
