Year	Date 	Paddock	Transect 	Distance	Groundcover	Species 1	H1 	Species 2	H2	Species 3	H3
2016	12/22/2016	Formans 	1	1	L	Austrostipa bigeniculata	0.1	ISC			
2016	12/22/2016	Formans 	1	2	L	ISC					
2016	12/22/2016	Formans 	1	3	L	ISC					
2016	12/22/2016	Formans 	1	4	L	Enteropogon acicularis 	0.05	unknown grass	0.2	Eucalyptus sp.	14
2016	12/22/2016	Formans 	1	5	L	Eucalyptus sp.	10				
2016	12/22/2016	Formans 	1	6	L	Eucalyptus sp.	10				
2016	12/22/2016	Formans 	1	7	L	unknown herb	0.1	Eucalyptus sp.	10		
2016	12/22/2016	Formans 	1	8	L	Enteropogon acicularis 	0.2	Eucalyptus sp.	14		
2016	12/22/2016	Formans 	1	9	L	unknown grass	0.2	ISC			
2016	12/22/2016	Formans 	1	10	L	ISC					
2016	12/22/2016	Formans 	1	11	B	ISC					
2016	12/22/2016	Formans 	1	12	L	ISC					
2016	12/22/2016	Formans 	1	13	B	ISC					
2016	12/22/2016	Formans 	1	14	L	ISC					
2016	12/22/2016	Formans 	1	15	L	ISC					
2016	12/22/2016	Formans 	1	16	L	Sclerolaena birchii 	0.01	ISC			
2016	12/22/2016	Formans 	1	17	L	Casurina pauper 	5				
2016	12/22/2016	Formans 	1	18	L	Casurina pauper 	5				
2016	12/22/2016	Formans 	1	19	L	Casurina pauper 	8				
2016	12/22/2016	Formans 	1	20	L	Casurina pauper 	8				
2016	12/22/2016	Formans 	1	21	CWD	Casurina pauper 	2				
2016	12/22/2016	Formans 	1	22	L	Casurina pauper 	3	Casurina pauper 	20		
2016	12/22/2016	Formans 	1	23	CWD	Casurina pauper 	8				
2016	12/22/2016	Formans 	1	24	CWD	Casurina pauper 	5				
2016	12/22/2016	Formans 	1	25	L	Casurina pauper 	10				
2016	12/22/2016	Formans 	1	26	L	Casurina pauper 	15				
2016	12/22/2016	Formans 	1	27	L	Casurina pauper 	15				
2016	12/22/2016	Formans 	1	28	L	Lepidium sp.	0.2	Eucalyptus sp.	8	Casurina pauper 	15
2016	12/22/2016	Formans 	1	29	L	Enteropogon acicularis 	0.05	Sclerolaena birchii 	0.1	Eucalyptus sp.	10
2016	12/22/2016	Formans 	1	30	B	Eucalyptus sp.	8				
2016	12/22/2016	Formans 	1	31	B	Eucalyptus sp.	8				
2016	12/22/2016	Formans 	1	32	L	ISC					
2016	12/22/2016	Formans 	1	33	B	ISC					
2016	12/22/2016	Formans 	1	34	L	ISC					
2016	12/22/2016	Formans 	1	35	L	ISC					
2016	12/22/2016	Formans 	1	36	L	Eucalyptus sp.	15				
2016	12/22/2016	Formans 	1	37	L	ISC					
2016	12/22/2016	Formans 	1	38	B	Eucalyptus sp.	10				
2016	12/22/2016	Formans 	1	39	B	Eucalyptus sp.	16				
2016	12/22/2016	Formans 	1	40	B	Eucalyptus sp.	12				
2016	12/22/2016	Formans 	1	41	L	Juncus subsecundus	0.05	Eucalyptus sp.	14		
2016	12/22/2016	Formans 	1	42	L	Enteropogon acicularis 	0.1	Sclerolaena birchii 	0.1	Eucalyptus sp.	15
2016	12/22/2016	Formans 	1	43	CWD	Eucalyptus sp.	15				
2016	12/22/2016	Formans 	1	44	L	ISC					
2016	12/22/2016	Formans 	1	45	L	ISC					
2016	12/22/2016	Formans 	1	46	B	ISC					
2016	12/22/2016	Formans 	1	47	B	Sclerolaena birchii 	0.05	ISC			
2016	12/22/2016	Formans 	1	48	L	ISC					
2016	12/22/2016	Formans 	1	49	L	ISC					
2016	12/22/2016	Formans 	1	50	L	Eucalyptus sp.	8				
2016	12/22/2016	Formans 	2	1	L	Eucalyptus sp.	14				
2016	12/22/2016	Formans 	2	2	L	Eucalyptus sp.	14				
2016	12/22/2016	Formans 	2	3	L	Eucalyptus sp.	16				
2016	12/22/2016	Formans 	2	4	L	ISC					
2016	12/22/2016	Formans 	2	5	L	Eucalyptus sp.	16				
2016	12/22/2016	Formans 	2	6	L	Enteropogon acicularis 	0.01	ISC			
2016	12/22/2016	Formans 	2	7	L	Casurina pauper 	8				
2016	12/22/2016	Formans 	2	8	L	Casurina pauper 	8				
2016	12/22/2016	Formans 	2	9	L	Enteropogon acicularis 	0.05	Casurina pauper 	10		
2016	12/22/2016	Formans 	2	10	L	Enteropogon acicularis 	0.05	Casurina pauper 	6		
2016	12/22/2016	Formans 	2	11	L	Casurina pauper 	6				
2016	12/22/2016	Formans 	2	12	L	Oxalis sp.	0.1	Casurina pauper 	15		
2016	12/22/2016	Formans 	2	13	L	Enteropogon acicularis 	0.05	Casurina pauper 	15		
2016	12/22/2016	Formans 	2	14	L	Austrostipa aristiglumis	0.2	Casurina pauper 	15		
2016	12/22/2016	Formans 	2	15	B	ISC					
2016	12/22/2016	Formans 	2	16	B	ISC					
2016	12/22/2016	Formans 	2	17	L	Enteropogon acicularis 	0.05	ISC			
2016	12/22/2016	Formans 	2	18	B	ISC					
2016	12/22/2016	Formans 	2	19	B	ISC					
2016	12/22/2016	Formans 	2	20	L	Enteropogon acicularis 	0.01	Austrostipa aristiglumis	0.1		
2016	12/22/2016	Formans 	2	21	L	Enchylaena tomentosa	0.1	ISC			
2016	12/22/2016	Formans 	2	22	L	ISC					
2016	12/22/2016	Formans 	2	23	L	ISC					
2016	12/22/2016	Formans 	2	24	B	ISC					
2016	12/22/2016	Formans 	2	25	B	ISC					
2016	12/22/2016	Formans 	2	26	B	ISC					
2016	12/22/2016	Formans 	2	27	L	ISC					
2016	12/22/2016	Formans 	2	28	B	Enchylaena tomentosa	0.05	ISC			
2016	12/22/2016	Formans 	2	29	L	ISC					
2016	12/22/2016	Formans 	2	30	L	ISC					
2016	12/22/2016	Formans 	2	31	L	Eucalyptus sp.	15				
2016	12/22/2016	Formans 	2	32	L	Austrostipa bigeniculata	0.3	Sclerolaena birchii 	0.05	Eucalyptus sp.	12
2016	12/22/2016	Formans 	2	33	L	Eucalyptus sp.	12				
2016	12/22/2016	Formans 	2	34	L	Enteropogon acicularis 	0.1	Eucalyptus sp.	12		
2016	12/22/2016	Formans 	2	35	B	Eucalyptus sp.	12				
2016	12/22/2016	Formans 	2	36	L	Eucalyptus sp.	12				
2016	12/22/2016	Formans 	2	37	L	Unknown grass	0.05	Eucalyptus sp.	20		
2016	12/22/2016	Formans 	2	38	L	ISC					
2016	12/22/2016	Formans 	2	39	L	ISC					
2016	12/22/2016	Formans 	2	40	B	ISC					
2016	12/22/2016	Formans 	2	41	B	ISC					
2016	12/22/2016	Formans 	2	42	L	Enteropogon acicularis 	0.1	ISC			
2016	12/22/2016	Formans 	2	43	L	ISC					
2016	12/22/2016	Formans 	2	44	L	Rytidosperma caesitosum	0.05	ISC			
2016	12/22/2016	Formans 	2	45	L	Unknown grass	0.05	ISC			
2016	12/22/2016	Formans 	2	46	L	Unknown grass	0.05	ISC			
2016	12/22/2016	Formans 	2	47	B	ISC					
2016	12/22/2016	Formans 	2	48	B	ISC					
2016	12/22/2016	Formans 	2	49	B	ISC					
2016	12/22/2016	Formans 	2	50	B	ISC					
2016	12/22/2016	Formans 	3	1	B	Enchylaena tomentosa	0.1				
2016	12/22/2016	Formans 	3	2	B	Austrostipa bigeniculata	0.2	ISC			
2016	12/22/2016	Formans 	3	3	L						
2016	12/22/2016	Formans 	3	4	B						
2016	12/22/2016	Formans 	3	5	B						
2016	12/22/2016	Formans 	3	6	B						
2016	12/22/2016	Formans 	3	7	L						
2016	12/22/2016	Formans 	3	8	L	Austrostipa bigeniculata	0.1	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	9	L						
2016	12/22/2016	Formans 	3	10	L	Austrostipa bigeniculata	0.1				
2016	12/22/2016	Formans 	3	11	L						
2016	12/22/2016	Formans 	3	12	L	Rytidosperma caesitosum	0.05	Austrostipa bigeniculata	0.2		
2016	12/22/2016	Formans 	3	13	L						
2016	12/22/2016	Formans 	3	14	L	Enteropogon acicularis 	0.1	Austrostipa bigeniculata	0.05		
2016	12/22/2016	Formans 	3	15	L	Enteropogon acicularis 	0.05	Austrostipa bigeniculata	0.1		
2016	12/22/2016	Formans 	3	16	L	Austrostipa bigeniculata	0.2	Austrostipa bigeniculata	0.9		
2016	12/22/2016	Formans 	3	17	L	Austrostipa bigeniculata	0.2				
2016	12/22/2016	Formans 	3	18	L	Austrostipa bigeniculata	0.1	Austrostipa bigeniculata	0.4		
2016	12/22/2016	Formans 	3	19	L	Enteropogon acicularis 	0.1	Austrostipa bigeniculata	0.4		
2016	12/22/2016	Formans 	3	20	L	Austrostipa bigeniculata	0.1	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	21	L	Enteropogon acicularis 	0.1	Austrostipa bigeniculata	0.3	Austrostipa bigeniculata	0.5
2016	12/22/2016	Formans 	3	22	L	Austrostipa bigeniculata	0.1				
2016	12/22/2016	Formans 	3	23	L						
2016	12/22/2016	Formans 	3	24	L	Austrostipa bigeniculata	0.2	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	25	L	Enteropogon acicularis 	0.1	Austrostipa bigeniculata	0.4		
2016	12/22/2016	Formans 	3	26	L	Austrostipa bigeniculata	0.2	Austrostipa bigeniculata	0.5		
2016	12/22/2016	Formans 	3	27	B	Austrostipa bigeniculata	0.3				
2016	12/22/2016	Formans 	3	28	L	Austrostipa bigeniculata	0.2	Austrostipa bigeniculata	0.5		
2016	12/22/2016	Formans 	3	29	L						
2016	12/22/2016	Formans 	3	30	L	Rytidosperma caesitosum	0.2	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	31	L	Enteropogon acicularis 	0.05				
2016	12/22/2016	Formans 	3	32	L	Enteropogon acicularis 	0.2	Austrostipa bigeniculata	0.4		
2016	12/22/2016	Formans 	3	33	L	Enteropogon acicularis 	0.1	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	34	L	Austrostipa bigeniculata	0.2	Austrostipa bigeniculata	0.4		
2016	12/22/2016	Formans 	3	35	B	Austrostipa bigeniculata	0.1	Austrostipa bigeniculata	0.5		
2016	12/22/2016	Formans 	3	36	L	Enteropogon acicularis 	0.05	Austrostipa bigeniculata	0.2		
2016	12/22/2016	Formans 	3	37	L	Austrostipa bigeniculata	0.1				
2016	12/22/2016	Formans 	3	38	L	Austrostipa bigeniculata	0.1	Austrostipa bigeniculata	0.3		
2016	12/22/2016	Formans 	3	39	L	Rytidosperma caesitosum	0.05	Austrostipa bigeniculata	0.1		
2016	12/22/2016	Formans 	3	40	L	Enteropogon acicularis 	0.05	Austrostipa bigeniculata	0.2		
2016	12/22/2016	Formans 	3	41	L	Austrostipa bigeniculata	0.05				
2016	12/22/2016	Formans 	3	42	L	Enteropogon acicularis 	0.05				
2016	12/22/2016	Formans 	3	43	L	Enteropogon acicularis 	0.01	Austrostipa bigeniculata	0.05	Austrostipa bigeniculata	0.6
2016	12/22/2016	Formans 	3	44	L						
2016	12/22/2016	Formans 	3	45	L	Austrostipa bigeniculata	0.2	Enteropogon acicularis 	0.2		
2016	12/22/2016	Formans 	3	46	C	Enteropogon acicularis 	0.05				
2016	12/22/2016	Formans 	3	47	L	Enteropogon acicularis 	0.05				
2016	12/22/2016	Formans 	3	48	B						
