1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BB00000050E91541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  13777
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,%RH,55.962
10/12/17 10:56:01 AM,%RH,53.492
10/12/17 11:26:01 AM,%RH,49.103
10/12/17 11:56:01 AM,%RH,78.574
10/12/17 12:26:01 PM,%RH,80.202
10/12/17 12:56:01 PM,%RH,80.202
10/12/17 1:26:01 PM,%RH,76.377
10/12/17 1:56:01 PM,%RH,76.377
10/12/17 2:26:01 PM,%RH,69.62
10/12/17 2:56:01 PM,%RH,73.592
10/12/17 3:26:01 PM,%RH,71.333
10/12/17 3:56:01 PM,%RH,74.712
10/12/17 4:26:01 PM,%RH,78.574
10/12/17 4:56:01 PM,%RH,80.202
10/12/17 5:26:01 PM,%RH,79.661
10/12/17 5:56:01 PM,%RH,87.079
10/12/17 6:26:01 PM,%RH,91.163
10/12/17 6:56:01 PM,%RH,99.469
10/12/17 7:26:01 PM,%RH,99.942
10/12/17 7:56:01 PM,%RH,101.35
10/12/17 8:26:01 PM,%RH,102.279
10/12/17 8:56:01 PM,%RH,102.742
10/12/17 9:26:01 PM,%RH,102.279
10/12/17 9:56:01 PM,%RH,101.815
10/12/17 10:26:01 PM,%RH,101.815
10/12/17 10:56:01 PM,%RH,102.279
10/12/17 11:26:01 PM,%RH,101.815
10/12/17 11:56:01 PM,%RH,103.202
10/13/17 12:26:01 AM,%RH,102.742
10/13/17 12:56:01 AM,%RH,102.279
10/13/17 1:26:01 AM,%RH,101.815
10/13/17 1:56:01 AM,%RH,101.35
10/13/17 2:26:01 AM,%RH,101.815
10/13/17 2:56:01 AM,%RH,101.35
10/13/17 3:26:01 AM,%RH,97.56
10/13/17 3:56:01 AM,%RH,98.04
10/13/17 4:26:01 AM,%RH,98.04
10/13/17 4:56:01 AM,%RH,97.56
10/13/17 5:26:01 AM,%RH,98.518
10/13/17 5:56:01 AM,%RH,98.518
10/13/17 6:26:01 AM,%RH,97.56
10/13/17 6:56:01 AM,%RH,97.56
10/13/17 7:26:01 AM,%RH,97.078
10/13/17 7:56:01 AM,%RH,98.518
10/13/17 8:26:01 AM,%RH,97.56
10/13/17 8:56:01 AM,%RH,96.595
10/13/17 9:26:01 AM,%RH,96.11
10/13/17 9:56:01 AM,%RH,95.623
