1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BB00000050E91541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  13777
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,C,23.605
10/12/17 10:56:01 AM,C,23.605
10/12/17 11:26:01 AM,C,23.605
10/12/17 11:56:01 AM,C,30.103
10/12/17 12:26:01 PM,C,28.604
10/12/17 12:56:01 PM,C,31.601
10/12/17 1:26:01 PM,C,33.598
10/12/17 1:56:01 PM,C,31.102
10/12/17 2:26:01 PM,C,33.099
10/12/17 2:56:01 PM,C,33.099
10/12/17 3:26:01 PM,C,34.097
10/12/17 3:56:01 PM,C,32.6
10/12/17 4:26:01 PM,C,32.6
10/12/17 4:56:01 PM,C,32.1
10/12/17 5:26:01 PM,C,30.602
10/12/17 5:56:01 PM,C,28.604
10/12/17 6:26:01 PM,C,25.105
10/12/17 6:56:01 PM,C,22.104
10/12/17 7:26:01 PM,C,20.602
10/12/17 7:56:01 PM,C,19.1
10/12/17 8:26:01 PM,C,18.599
10/12/17 8:56:01 PM,C,17.597
10/12/17 9:26:01 PM,C,17.096
10/12/17 9:56:01 PM,C,16.595
10/12/17 10:26:01 PM,C,16.094
10/12/17 10:56:01 PM,C,15.593
10/12/17 11:26:01 PM,C,15.092
10/12/17 11:56:01 PM,C,14.59
10/13/17 12:26:01 AM,C,14.59
10/13/17 12:56:01 AM,C,14.089
10/13/17 1:26:01 AM,C,13.588
10/13/17 1:56:01 AM,C,13.086
10/13/17 2:26:01 AM,C,13.086
10/13/17 2:56:01 AM,C,12.584
10/13/17 3:26:01 AM,C,12.083
10/13/17 3:56:01 AM,C,12.083
10/13/17 4:26:01 AM,C,11.581
10/13/17 4:56:01 AM,C,11.581
10/13/17 5:26:01 AM,C,11.079
