1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D000000050E9B441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  13923
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,C,24.152
10/12/17 10:56:01 AM,C,23.652
10/12/17 11:26:01 AM,C,22.651
10/12/17 11:56:01 AM,C,22.651
10/12/17 12:26:01 PM,C,21.15
10/12/17 12:56:01 PM,C,20.149
10/12/17 1:26:01 PM,C,20.149
10/12/17 1:56:01 PM,C,19.649
10/12/17 2:26:01 PM,C,19.148
10/12/17 2:56:01 PM,C,19.148
10/12/17 3:26:01 PM,C,20.65
10/12/17 3:56:01 PM,C,20.149
10/12/17 4:26:01 PM,C,21.651
10/12/17 4:56:01 PM,C,22.651
10/12/17 5:26:01 PM,C,22.651
10/12/17 5:56:01 PM,C,22.151
10/12/17 6:26:01 PM,C,21.15
10/12/17 6:56:01 PM,C,20.149
10/12/17 7:26:01 PM,C,19.649
10/12/17 7:56:01 PM,C,19.148
10/12/17 8:26:01 PM,C,18.647
10/12/17 8:56:01 PM,C,18.146
10/12/17 9:26:01 PM,C,17.646
10/12/17 9:56:01 PM,C,17.646
10/12/17 10:26:01 PM,C,17.145
10/12/17 10:56:01 PM,C,17.145
10/12/17 11:26:01 PM,C,16.644
10/12/17 11:56:01 PM,C,16.143
10/13/17 12:26:01 AM,C,16.143
10/13/17 12:56:01 AM,C,16.143
10/13/17 1:26:01 AM,C,15.642
10/13/17 1:56:01 AM,C,15.642
10/13/17 2:26:01 AM,C,15.141
10/13/17 2:56:01 AM,C,14.64
10/13/17 3:26:01 AM,C,14.64
10/13/17 3:56:01 AM,C,14.64
10/13/17 4:26:01 AM,C,14.138
10/13/17 4:56:01 AM,C,14.138
10/13/17 5:26:01 AM,C,14.138
10/13/17 5:56:01 AM,C,13.637
10/13/17 6:26:01 AM,C,13.637
10/13/17 6:56:01 AM,C,13.637
10/13/17 7:26:01 AM,C,13.637
10/13/17 7:56:01 AM,C,14.138
10/13/17 8:26:01 AM,C,15.141
10/13/17 8:56:01 AM,C,16.143
10/13/17 9:26:01 AM,C,16.143
10/13/17 9:56:01 AM,C,17.145
10/13/17 10:26:01 AM,C,21.651
10/13/17 10:56:01 AM,C,25.152
10/13/17 11:26:01 AM,C,23.152
10/13/17 11:56:01 AM,C,23.152
10/13/17 12:26:01 PM,C,22.151
10/13/17 12:56:01 PM,C,20.65
10/13/17 1:26:01 PM,C,20.65
10/13/17 1:56:01 PM,C,19.649
10/13/17 2:26:01 PM,C,19.649
10/13/17 2:56:01 PM,C,19.649
10/13/17 3:26:01 PM,C,21.15
10/13/17 3:56:01 PM,C,20.65
10/13/17 4:26:01 PM,C,22.151
10/13/17 4:56:01 PM,C,22.151
10/13/17 5:26:01 PM,C,22.651
10/13/17 5:56:01 PM,C,22.151
10/13/17 6:26:01 PM,C,21.15
10/13/17 6:56:01 PM,C,20.149
10/13/17 7:26:01 PM,C,19.649
10/13/17 7:56:01 PM,C,19.148
10/13/17 8:26:01 PM,C,18.647
10/13/17 8:56:01 PM,C,18.146
10/13/17 9:26:01 PM,C,18.146
10/13/17 9:56:01 PM,C,17.646
10/13/17 10:26:01 PM,C,17.145
10/13/17 10:56:01 PM,C,17.145
10/13/17 11:26:01 PM,C,16.644
10/13/17 11:56:01 PM,C,16.644
10/14/17 12:26:01 AM,C,16.143
10/14/17 12:56:01 AM,C,16.143
10/14/17 1:26:01 AM,C,15.642
10/14/17 1:56:01 AM,C,15.642
10/14/17 2:26:01 AM,C,15.141
10/14/17 2:56:01 AM,C,15.141
10/14/17 3:26:01 AM,C,15.141
10/14/17 3:56:01 AM,C,14.64
10/14/17 4:26:01 AM,C,14.64
10/14/17 4:56:01 AM,C,14.64
10/14/17 5:26:01 AM,C,14.138
10/14/17 5:56:01 AM,C,14.138
10/14/17 6:26:01 AM,C,14.138
10/14/17 6:56:01 AM,C,14.138
10/14/17 7:26:01 AM,C,14.138
10/14/17 7:56:01 AM,C,15.141
10/14/17 8:26:01 AM,C,16.143
10/14/17 8:56:01 AM,C,16.644
10/14/17 9:26:01 AM,C,17.145
10/14/17 9:56:01 AM,C,18.647
10/14/17 10:26:01 AM,C,22.651
10/14/17 10:56:01 AM,C,26.652
10/14/17 11:26:01 AM,C,24.652
10/14/17 11:56:01 AM,C,26.652
10/14/17 12:26:01 PM,C,25.152
10/14/17 12:56:01 PM,C,24.152
10/14/17 1:26:01 PM,C,24.152
10/14/17 1:56:01 PM,C,23.152
10/14/17 2:26:01 PM,C,23.152
10/14/17 2:56:01 PM,C,23.652
10/14/17 3:26:01 PM,C,24.152
10/14/17 3:56:01 PM,C,23.652
10/14/17 4:26:01 PM,C,25.152
10/14/17 4:56:01 PM,C,24.652
10/14/17 5:26:01 PM,C,25.152
10/14/17 5:56:01 PM,C,24.152
10/14/17 6:26:01 PM,C,22.651
10/14/17 6:56:01 PM,C,22.151
10/14/17 7:26:01 PM,C,21.15
10/14/17 7:56:01 PM,C,20.65
10/14/17 8:26:01 PM,C,20.149
10/14/17 8:56:01 PM,C,19.649
10/14/17 9:26:01 PM,C,19.649
10/14/17 9:56:01 PM,C,19.148
10/14/17 10:26:01 PM,C,18.647
10/14/17 10:56:01 PM,C,18.647
10/14/17 11:26:01 PM,C,18.146
10/14/17 11:56:01 PM,C,18.146
10/15/17 12:26:01 AM,C,18.146
10/15/17 12:56:01 AM,C,17.646
10/15/17 1:26:01 AM,C,17.646
10/15/17 1:56:01 AM,C,17.646
10/15/17 2:26:01 AM,C,17.646
10/15/17 2:56:01 AM,C,17.145
10/15/17 3:26:01 AM,C,17.145
10/15/17 3:56:01 AM,C,17.145
10/15/17 4:26:01 AM,C,16.644
10/15/17 4:56:01 AM,C,16.644
10/15/17 5:26:01 AM,C,16.644
10/15/17 5:56:01 AM,C,16.143
10/15/17 6:26:01 AM,C,16.143
10/15/17 6:56:01 AM,C,16.143
10/15/17 7:26:01 AM,C,16.644
10/15/17 7:56:01 AM,C,16.644
10/15/17 8:26:01 AM,C,18.146
10/15/17 8:56:01 AM,C,19.148
10/15/17 9:26:01 AM,C,19.148
10/15/17 9:56:01 AM,C,21.15
10/15/17 10:26:01 AM,C,25.652
10/15/17 10:56:01 AM,C,29.151
10/15/17 11:26:01 AM,C,26.652
10/15/17 11:56:01 AM,C,27.652
10/15/17 12:26:01 PM,C,26.152
10/15/17 12:56:01 PM,C,24.652
10/15/17 1:26:01 PM,C,25.152
10/15/17 1:56:01 PM,C,25.152
10/15/17 2:26:01 PM,C,24.152
10/15/17 2:56:01 PM,C,24.652
10/15/17 3:26:01 PM,C,24.152
10/15/17 3:56:01 PM,C,24.652
10/15/17 4:26:01 PM,C,25.152
10/15/17 4:56:01 PM,C,26.152
10/15/17 5:26:01 PM,C,26.652
10/15/17 5:56:01 PM,C,26.152
10/15/17 6:26:01 PM,C,24.652
10/15/17 6:56:01 PM,C,23.652
10/15/17 7:26:01 PM,C,22.651
10/15/17 7:56:01 PM,C,22.151
10/15/17 8:26:01 PM,C,21.651
10/15/17 8:56:01 PM,C,21.15
10/15/17 9:26:01 PM,C,20.65
10/15/17 9:56:01 PM,C,20.65
10/15/17 10:26:01 PM,C,20.65
10/15/17 10:56:01 PM,C,20.149
10/15/17 11:26:01 PM,C,20.149
10/15/17 11:56:01 PM,C,19.649
10/16/17 12:26:01 AM,C,19.649
10/16/17 12:56:01 AM,C,19.148
10/16/17 1:26:01 AM,C,18.647
10/16/17 1:56:01 AM,C,18.647
10/16/17 2:26:01 AM,C,18.146
10/16/17 2:56:01 AM,C,18.146
10/16/17 3:26:01 AM,C,17.646
10/16/17 3:56:01 AM,C,17.646
10/16/17 4:26:01 AM,C,17.145
10/16/17 4:56:01 AM,C,17.145
10/16/17 5:26:01 AM,C,16.644
10/16/17 5:56:01 AM,C,16.644
10/16/17 6:26:01 AM,C,16.143
10/16/17 6:56:01 AM,C,16.143
10/16/17 7:26:01 AM,C,16.644
10/16/17 7:56:01 AM,C,16.644
10/16/17 8:26:01 AM,C,18.647
10/16/17 8:56:01 AM,C,18.647
10/16/17 9:26:01 AM,C,19.148
10/16/17 9:56:01 AM,C,20.65
10/16/17 10:26:01 AM,C,25.152
10/16/17 10:56:01 AM,C,29.151
10/16/17 11:26:01 AM,C,27.152
10/16/17 11:56:01 AM,C,28.152
10/16/17 12:26:01 PM,C,26.652
10/16/17 12:56:01 PM,C,25.152
10/16/17 1:26:01 PM,C,25.152
10/16/17 1:56:01 PM,C,24.652
10/16/17 2:26:01 PM,C,24.152
10/16/17 2:56:01 PM,C,25.152
10/16/17 3:26:01 PM,C,25.652
10/16/17 3:56:01 PM,C,24.652
10/16/17 4:26:01 PM,C,28.651
10/16/17 4:56:01 PM,C,27.652
10/16/17 5:26:01 PM,C,27.152
10/16/17 5:56:01 PM,C,26.652
10/16/17 6:26:01 PM,C,25.152
10/16/17 6:56:01 PM,C,24.152
10/16/17 7:26:01 PM,C,23.152
10/16/17 7:56:01 PM,C,22.651
10/16/17 8:26:01 PM,C,21.651
10/16/17 8:56:01 PM,C,21.651
10/16/17 9:26:01 PM,C,21.15
10/16/17 9:56:01 PM,C,20.65
10/16/17 10:26:01 PM,C,20.65
10/16/17 10:56:01 PM,C,20.149
10/16/17 11:26:01 PM,C,20.149
10/16/17 11:56:01 PM,C,19.649
10/17/17 12:26:01 AM,C,19.649
10/17/17 12:56:01 AM,C,19.148
10/17/17 1:26:01 AM,C,19.148
10/17/17 1:56:01 AM,C,18.647
10/17/17 2:26:01 AM,C,18.647
10/17/17 2:56:01 AM,C,18.146
10/17/17 3:26:01 AM,C,18.146
10/17/17 3:56:01 AM,C,18.146
10/17/17 4:26:01 AM,C,17.646
10/17/17 4:56:01 AM,C,17.646
10/17/17 5:26:01 AM,C,17.145
10/17/17 5:56:01 AM,C,17.145
10/17/17 6:26:01 AM,C,17.145
10/17/17 6:56:01 AM,C,16.644
10/17/17 7:26:01 AM,C,17.145
10/17/17 7:56:01 AM,C,17.145
10/17/17 8:26:01 AM,C,17.646
10/17/17 8:56:01 AM,C,18.647
10/17/17 9:26:01 AM,C,19.649
10/17/17 9:56:01 AM,C,20.149
10/17/17 10:26:01 AM,C,25.652
10/17/17 10:56:01 AM,C,30.15
10/17/17 11:26:01 AM,C,28.152
10/17/17 11:56:01 AM,C,29.65
10/17/17 12:26:01 PM,C,27.652
10/17/17 12:56:01 PM,C,26.152
10/17/17 1:26:01 PM,C,26.152
10/17/17 1:56:01 PM,C,25.652
10/17/17 2:26:01 PM,C,25.652
10/17/17 2:56:01 PM,C,27.152
10/17/17 3:26:01 PM,C,26.152
10/17/17 3:56:01 PM,C,26.152
10/17/17 4:26:01 PM,C,29.151
10/17/17 4:56:01 PM,C,28.152
10/17/17 5:26:01 PM,C,28.651
10/17/17 5:56:01 PM,C,28.152
10/17/17 6:26:01 PM,C,26.652
10/17/17 6:56:01 PM,C,25.652
10/17/17 7:26:01 PM,C,24.652
10/17/17 7:56:01 PM,C,24.152
10/17/17 8:26:01 PM,C,23.652
10/17/17 8:56:01 PM,C,23.152
