1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000050DCC141
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  15833
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,%RH,59.346
10/12/17 10:56:01 AM,%RH,52.1
10/12/17 11:26:01 AM,%RH,49.638
10/12/17 11:56:01 AM,%RH,85.683
10/12/17 12:26:01 PM,%RH,81.43
10/12/17 12:56:01 PM,%RH,78.178
10/12/17 1:26:01 PM,%RH,77.082
10/12/17 1:56:01 PM,%RH,75.428
10/12/17 2:26:01 PM,%RH,75.428
10/12/17 2:56:01 PM,%RH,77.631
10/12/17 3:26:01 PM,%RH,77.082
10/12/17 3:56:01 PM,%RH,79.268
10/12/17 4:26:01 PM,%RH,81.966
10/12/17 4:56:01 PM,%RH,87.253
10/12/17 5:26:01 PM,%RH,92.392
10/12/17 5:56:01 PM,%RH,95.902
10/12/17 6:26:01 PM,%RH,98.365
10/12/17 6:56:01 PM,%RH,99.825
10/12/17 7:26:01 PM,%RH,101.272
10/12/17 7:56:01 PM,%RH,101.751
10/12/17 8:26:01 PM,%RH,103.18
10/12/17 8:56:01 PM,%RH,104.596
10/12/17 9:26:01 PM,%RH,104.126
10/12/17 9:56:01 PM,%RH,103.654
10/12/17 10:26:01 PM,%RH,104.126
10/12/17 10:56:01 PM,%RH,102.229
10/12/17 11:26:01 PM,%RH,99.825
10/12/17 11:56:01 PM,%RH,100.791
10/13/17 12:26:01 AM,%RH,99.34
10/13/17 12:56:01 AM,%RH,98.853
10/13/17 1:26:01 AM,%RH,95.405
10/13/17 1:56:01 AM,%RH,93.906
