1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F500000050DCC141
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  15833
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,C,24.639
10/12/17 10:56:01 AM,C,23.638
10/12/17 11:26:01 AM,C,23.138
10/12/17 11:56:01 AM,C,27.638
10/12/17 12:26:01 PM,C,30.637
10/12/17 12:56:01 PM,C,32.136
10/12/17 1:26:01 PM,C,33.135
10/12/17 1:56:01 PM,C,33.635
10/12/17 2:26:01 PM,C,34.134
10/12/17 2:56:01 PM,C,33.635
10/12/17 3:26:01 PM,C,32.636
10/12/17 3:56:01 PM,C,31.636
10/12/17 4:26:01 PM,C,30.137
10/12/17 4:56:01 PM,C,28.138
10/12/17 5:26:01 PM,C,25.639
10/12/17 5:56:01 PM,C,23.638
10/12/17 6:26:01 PM,C,22.138
10/12/17 6:56:01 PM,C,21.137
10/12/17 7:26:01 PM,C,20.137
10/12/17 7:56:01 PM,C,19.636
10/12/17 8:26:01 PM,C,19.136
10/12/17 8:56:01 PM,C,18.635
10/12/17 9:26:01 PM,C,18.635
10/12/17 9:56:01 PM,C,18.135
10/12/17 10:26:01 PM,C,18.135
10/12/17 10:56:01 PM,C,17.634
10/12/17 11:26:01 PM,C,17.634
10/12/17 11:56:01 PM,C,17.134
10/13/17 12:26:01 AM,C,17.134
10/13/17 12:56:01 AM,C,16.633
10/13/17 1:26:01 AM,C,16.633
10/13/17 1:56:01 AM,C,16.133
10/13/17 2:26:01 AM,C,16.133
10/13/17 2:56:01 AM,C,15.632
10/13/17 3:26:01 AM,C,15.632
10/13/17 3:56:01 AM,C,15.632
10/13/17 4:26:01 AM,C,15.131
10/13/17 4:56:01 AM,C,15.131
10/13/17 5:26:01 AM,C,14.631
10/13/17 5:56:01 AM,C,14.631
10/13/17 6:26:01 AM,C,14.13
10/13/17 6:56:01 AM,C,14.631
10/13/17 7:26:01 AM,C,15.131
10/13/17 7:56:01 AM,C,15.632
10/13/17 8:26:01 AM,C,16.633
10/13/17 8:56:01 AM,C,18.135
10/13/17 9:26:01 AM,C,20.137
10/13/17 9:56:01 AM,C,22.638
10/13/17 10:26:01 AM,C,24.639
10/13/17 10:56:01 AM,C,27.139
10/13/17 11:26:01 AM,C,29.138
10/13/17 11:56:01 AM,C,31.137
10/13/17 12:26:01 PM,C,32.636
10/13/17 12:56:01 PM,C,34.134
10/13/17 1:26:01 PM,C,34.633
10/13/17 1:56:01 PM,C,35.632
10/13/17 2:26:01 PM,C,35.133
10/13/17 2:56:01 PM,C,34.134
10/13/17 3:26:01 PM,C,33.635
10/13/17 3:56:01 PM,C,32.636
10/13/17 4:26:01 PM,C,30.637
10/13/17 4:56:01 PM,C,28.138
10/13/17 5:26:01 PM,C,25.639
10/13/17 5:56:01 PM,C,23.638
10/13/17 6:26:01 PM,C,21.638
10/13/17 6:56:01 PM,C,20.637
10/13/17 7:26:01 PM,C,20.137
10/13/17 7:56:01 PM,C,19.136
10/13/17 8:26:01 PM,C,19.136
10/13/17 8:56:01 PM,C,18.635
10/13/17 9:26:01 PM,C,18.135
10/13/17 9:56:01 PM,C,18.135
10/13/17 10:26:01 PM,C,17.634
10/13/17 10:56:01 PM,C,17.634
10/13/17 11:26:01 PM,C,17.134
10/13/17 11:56:01 PM,C,17.134
10/14/17 12:26:01 AM,C,16.633
10/14/17 12:56:01 AM,C,16.633
10/14/17 1:26:01 AM,C,16.633
10/14/17 1:56:01 AM,C,16.133
10/14/17 2:26:01 AM,C,16.133
10/14/17 2:56:01 AM,C,15.632
10/14/17 3:26:01 AM,C,15.632
10/14/17 3:56:01 AM,C,15.632
10/14/17 4:26:01 AM,C,15.131
10/14/17 4:56:01 AM,C,15.131
10/14/17 5:26:01 AM,C,15.131
