1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0000000050DB6A41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  13847
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,%RH,52.259
10/12/17 10:56:01 AM,%RH,52.259
10/12/17 11:26:01 AM,%RH,49.167
10/12/17 11:56:01 AM,%RH,94.403
10/12/17 12:26:01 PM,%RH,57.736
10/12/17 12:56:01 PM,%RH,65.444
10/12/17 1:26:01 PM,%RH,44.779
10/12/17 1:56:01 PM,%RH,64.86
10/12/17 2:26:01 PM,%RH,47.921
10/12/17 2:56:01 PM,%RH,51.027
10/12/17 3:26:01 PM,%RH,55.923
10/12/17 3:56:01 PM,%RH,68.345
10/12/17 4:26:01 PM,%RH,89.765
10/12/17 4:56:01 PM,%RH,88.719
10/12/17 5:26:01 PM,%RH,92.87
10/12/17 5:56:01 PM,%RH,97.931
10/12/17 6:26:01 PM,%RH,98.43
10/12/17 6:56:01 PM,%RH,100.409
10/12/17 7:26:01 PM,%RH,100.409
10/12/17 7:56:01 PM,%RH,102.366
10/12/17 8:26:01 PM,%RH,103.336
10/12/17 8:56:01 PM,%RH,103.819
10/12/17 9:26:01 PM,%RH,104.781
10/12/17 9:56:01 PM,%RH,105.259
10/12/17 10:26:01 PM,%RH,104.3
10/12/17 10:56:01 PM,%RH,105.736
10/12/17 11:26:01 PM,%RH,105.259
10/12/17 11:56:01 PM,%RH,105.259
10/13/17 12:26:01 AM,%RH,103.819
10/13/17 12:56:01 AM,%RH,102.366
10/13/17 1:26:01 AM,%RH,102.852
10/13/17 1:56:01 AM,%RH,105.736
10/13/17 2:26:01 AM,%RH,107.16
10/13/17 2:56:01 AM,%RH,107.631
10/13/17 3:26:01 AM,%RH,109.968
10/13/17 3:56:01 AM,%RH,109.968
10/13/17 4:26:01 AM,%RH,109.968
10/13/17 4:56:01 AM,%RH,62.508
10/13/17 5:26:01 AM,%RH,64.86
10/13/17 5:56:01 AM,%RH,64.86
10/13/17 6:26:01 AM,%RH,64.86
10/13/17 6:56:01 AM,%RH,64.274
10/13/17 7:26:01 AM,%RH,63.686
10/13/17 7:56:01 AM,%RH,63.098
10/13/17 8:26:01 AM,%RH,62.508
10/13/17 8:56:01 AM,%RH,61.916
10/13/17 9:26:01 AM,%RH,60.729
10/13/17 9:56:01 AM,%RH,64.274
10/13/17 10:26:01 AM,%RH,71.212
10/13/17 10:56:01 AM,%RH,90.805
10/13/17 11:26:01 AM,%RH,77.393
10/13/17 11:56:01 AM,%RH,57.133
10/13/17 12:26:01 PM,%RH,42.878
10/13/17 12:56:01 PM,%RH,50.408
10/13/17 1:26:01 PM,%RH,46.04
10/13/17 1:56:01 PM,%RH,60.133
10/13/17 2:26:01 PM,%RH,46.668
10/13/17 2:56:01 PM,%RH,51.027
10/13/17 3:26:01 PM,%RH,58.937
10/13/17 3:56:01 PM,%RH,71.78
10/13/17 4:26:01 PM,%RH,87.139
10/13/17 4:56:01 PM,%RH,83.941
10/13/17 5:26:01 PM,%RH,86.609
10/13/17 5:56:01 PM,%RH,91.324
10/13/17 6:26:01 PM,%RH,88.719
10/13/17 6:56:01 PM,%RH,93.382
10/13/17 7:26:01 PM,%RH,97.431
10/13/17 7:56:01 PM,%RH,100.409
10/13/17 8:26:01 PM,%RH,101.391
10/13/17 8:56:01 PM,%RH,101.879
10/13/17 9:26:01 PM,%RH,102.366
10/13/17 9:56:01 PM,%RH,102.852
10/13/17 10:26:01 PM,%RH,103.819
10/13/17 10:56:01 PM,%RH,104.781
10/13/17 11:26:01 PM,%RH,104.781
10/13/17 11:56:01 PM,%RH,105.259
10/14/17 12:26:01 AM,%RH,104.781
10/14/17 12:56:01 AM,%RH,105.736
10/14/17 1:26:01 AM,%RH,106.687
10/14/17 1:56:01 AM,%RH,107.631
10/14/17 2:26:01 AM,%RH,107.631
10/14/17 2:56:01 AM,%RH,107.631
10/14/17 3:26:01 AM,%RH,105.736
10/14/17 3:56:01 AM,%RH,107.631
10/14/17 4:26:01 AM,%RH,106.687
10/14/17 4:56:01 AM,%RH,106.687
10/14/17 5:26:01 AM,%RH,104.781
10/14/17 5:56:01 AM,%RH,101.391
10/14/17 6:26:01 AM,%RH,100.409
10/14/17 6:56:01 AM,%RH,100.901
10/14/17 7:26:01 AM,%RH,104.781
10/14/17 7:56:01 AM,%RH,103.819
10/14/17 8:26:01 AM,%RH,104.3
10/14/17 8:56:01 AM,%RH,104.3
10/14/17 9:26:01 AM,%RH,104.781
10/14/17 9:56:01 AM,%RH,100.901
10/14/17 10:26:01 AM,%RH,95.924
10/14/17 10:56:01 AM,%RH,47.295
10/14/17 11:26:01 AM,%RH,70.641
10/14/17 11:56:01 AM,%RH,61.916
10/14/17 12:26:01 PM,%RH,37.744
10/14/17 12:56:01 PM,%RH,54.097
10/14/17 1:26:01 PM,%RH,43.513
10/14/17 1:56:01 PM,%RH,68.345
10/14/17 2:26:01 PM,%RH,46.04
10/14/17 2:56:01 PM,%RH,42.878
10/14/17 3:26:01 PM,%RH,47.921
10/14/17 3:56:01 PM,%RH,67.189
10/14/17 4:26:01 PM,%RH,71.212
10/14/17 4:56:01 PM,%RH,78.498
10/14/17 5:26:01 PM,%RH,75.165
10/14/17 5:56:01 PM,%RH,81.237
10/14/17 6:26:01 PM,%RH,85.546
10/14/17 6:56:01 PM,%RH,88.719
10/14/17 7:26:01 PM,%RH,94.403
10/14/17 7:56:01 PM,%RH,95.924
10/14/17 8:26:01 PM,%RH,97.931
10/14/17 8:56:01 PM,%RH,98.927
10/14/17 9:26:01 PM,%RH,99.916
10/14/17 9:56:01 PM,%RH,99.422
10/14/17 10:26:01 PM,%RH,101.391
10/14/17 10:56:01 PM,%RH,99.916
10/14/17 11:26:01 PM,%RH,101.879
10/14/17 11:56:01 PM,%RH,101.391
10/15/17 12:26:01 AM,%RH,101.391
10/15/17 12:56:01 AM,%RH,102.366
10/15/17 1:26:01 AM,%RH,102.366
10/15/17 1:56:01 AM,%RH,102.852
10/15/17 2:26:01 AM,%RH,103.336
