1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0000000050DB6A41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:26:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:26:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  13847
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:26:01 AM,C,25.078
10/12/17 10:56:01 AM,C,24.078
10/12/17 11:26:01 AM,C,23.578
10/12/17 11:56:01 AM,C,26.578
10/12/17 12:26:01 PM,C,36.569
10/12/17 12:56:01 PM,C,32.075
10/12/17 1:26:01 PM,C,39.563
10/12/17 1:56:01 PM,C,31.076
10/12/17 2:26:01 PM,C,41.06
10/12/17 2:56:01 PM,C,39.064
10/12/17 3:26:01 PM,C,36.569
10/12/17 3:56:01 PM,C,30.576
10/12/17 4:26:01 PM,C,24.078
10/12/17 4:56:01 PM,C,24.578
10/12/17 5:26:01 PM,C,22.077
10/12/17 5:56:01 PM,C,21.577
10/12/17 6:26:01 PM,C,20.576
10/12/17 6:56:01 PM,C,19.575
10/12/17 7:26:01 PM,C,18.574
10/12/17 7:56:01 PM,C,18.074
10/12/17 8:26:01 PM,C,17.573
10/12/17 8:56:01 PM,C,17.073
10/12/17 9:26:01 PM,C,16.572
10/12/17 9:56:01 PM,C,16.071
10/12/17 10:26:01 PM,C,15.57
10/12/17 10:56:01 PM,C,15.07
10/12/17 11:26:01 PM,C,15.07
10/12/17 11:56:01 PM,C,14.569
10/13/17 12:26:01 AM,C,14.569
10/13/17 12:56:01 AM,C,14.068
10/13/17 1:26:01 AM,C,13.567
10/13/17 1:56:01 AM,C,13.567
10/13/17 2:26:01 AM,C,13.066
10/13/17 2:56:01 AM,C,13.066
10/13/17 3:26:01 AM,C,12.565
10/13/17 3:56:01 AM,C,12.565
10/13/17 4:26:01 AM,C,12.064
10/13/17 4:56:01 AM,C,12.064
10/13/17 5:26:01 AM,C,11.563
10/13/17 5:56:01 AM,C,11.563
10/13/17 6:26:01 AM,C,11.062
10/13/17 6:56:01 AM,C,11.563
10/13/17 7:26:01 AM,C,12.064
10/13/17 7:56:01 AM,C,13.066
10/13/17 8:26:01 AM,C,14.068
10/13/17 8:56:01 AM,C,15.07
10/13/17 9:26:01 AM,C,17.573
10/13/17 9:56:01 AM,C,23.078
10/13/17 10:26:01 AM,C,20.576
10/13/17 10:56:01 AM,C,34.572
10/13/17 11:26:01 AM,C,24.578
10/13/17 11:56:01 AM,C,34.073
10/13/17 12:26:01 PM,C,41.559
10/13/17 12:56:01 PM,C,37.567
10/13/17 1:26:01 PM,C,42.058
