1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0200000050E22A41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:22:01 AEDT 2017
Mission Sample Count:  681
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:22:01 AEDT 2017
Total Mission Samples:  681
Total Device Samples:  14875
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:22:01 AM,%RH,56.296
10/12/17 10:52:01 AM,%RH,33.992
10/12/17 11:22:01 AM,%RH,56.906
10/12/17 11:52:01 AM,%RH,53.839
10/12/17 12:22:01 PM,%RH,51.359
10/12/17 12:52:01 PM,%RH,50.735
10/12/17 1:22:01 PM,%RH,49.483
10/12/17 1:52:01 PM,%RH,51.359
10/12/17 2:22:01 PM,%RH,50.109
10/12/17 2:52:01 PM,%RH,52.602
10/12/17 3:22:01 PM,%RH,53.221
10/12/17 3:52:01 PM,%RH,56.906
10/12/17 4:22:01 PM,%RH,60.538
10/12/17 4:52:01 PM,%RH,66.471
10/12/17 5:22:01 PM,%RH,77.333
10/12/17 5:52:01 PM,%RH,80.103
10/12/17 6:22:01 PM,%RH,96.944
10/12/17 6:52:01 PM,%RH,98.942
10/12/17 7:22:01 PM,%RH,99.932
10/12/17 7:52:01 PM,%RH,101.894
10/12/17 8:22:01 PM,%RH,102.867
10/12/17 8:52:01 PM,%RH,104.314
10/12/17 9:22:01 PM,%RH,104.793
10/12/17 9:52:01 PM,%RH,105.747
10/12/17 10:22:01 PM,%RH,104.793
10/12/17 10:52:01 PM,%RH,104.793
10/12/17 11:22:01 PM,%RH,104.793
10/12/17 11:52:01 PM,%RH,105.271
10/13/17 12:22:01 AM,%RH,104.314
10/13/17 12:52:01 AM,%RH,104.793
10/13/17 1:22:01 AM,%RH,104.314
10/13/17 1:52:01 AM,%RH,102.381
10/13/17 2:22:01 AM,%RH,102.867
10/13/17 2:52:01 AM,%RH,102.867
10/13/17 3:22:01 AM,%RH,103.35
10/13/17 3:52:01 AM,%RH,103.35
10/13/17 4:22:01 AM,%RH,103.833
10/13/17 4:52:01 AM,%RH,103.833
10/13/17 5:22:01 AM,%RH,102.867
10/13/17 5:52:01 AM,%RH,103.35
10/13/17 6:22:01 AM,%RH,106.222
10/13/17 6:52:01 AM,%RH,109.04
10/13/17 7:22:01 AM,%RH,108.107
10/13/17 7:52:01 AM,%RH,109.505
10/13/17 8:22:01 AM,%RH,110.429
10/13/17 8:52:01 AM,%RH,110.429
10/13/17 9:22:01 AM,%RH,108.107
10/13/17 9:52:01 AM,%RH,102.867
10/13/17 10:22:01 AM,%RH,92.362
10/13/17 10:52:01 AM,%RH,60.538
10/13/17 11:22:01 AM,%RH,52.602
10/13/17 11:52:01 AM,%RH,49.483
10/13/17 12:22:01 PM,%RH,48.224
10/13/17 12:52:01 PM,%RH,48.854
10/13/17 1:22:01 PM,%RH,46.326
10/13/17 1:52:01 PM,%RH,48.854
10/13/17 2:22:01 PM,%RH,48.854
10/13/17 2:52:01 PM,%RH,51.981
10/13/17 3:22:01 PM,%RH,52.602
10/13/17 3:52:01 PM,%RH,56.906
10/13/17 4:22:01 PM,%RH,59.936
10/13/17 4:52:01 PM,%RH,62.333
10/13/17 5:22:01 PM,%RH,77.89
10/13/17 5:52:01 PM,%RH,82.291
10/13/17 6:22:01 PM,%RH,97.446
