1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0200000050E22A41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:22:01 AEDT 2017
Mission Sample Count:  681
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:22:01 AEDT 2017
Total Mission Samples:  681
Total Device Samples:  14875
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:22:01 AM,C,22.599
10/12/17 10:52:01 AM,C,33.095
10/12/17 11:22:01 AM,C,36.591
10/12/17 11:52:01 AM,C,39.585
10/12/17 12:22:01 PM,C,41.58
10/12/17 12:52:01 PM,C,42.578
10/12/17 1:22:01 PM,C,44.572
10/12/17 1:52:01 PM,C,44.074
10/12/17 2:22:01 PM,C,45.569
10/12/17 2:52:01 PM,C,45.071
10/12/17 3:22:01 PM,C,44.572
10/12/17 3:52:01 PM,C,43.077
10/12/17 4:22:01 PM,C,41.58
10/12/17 4:52:01 PM,C,38.088
10/12/17 5:22:01 PM,C,34.094
10/12/17 5:52:01 PM,C,32.096
10/12/17 6:22:01 PM,C,26.1
10/12/17 6:52:01 PM,C,25.1
10/12/17 7:22:01 PM,C,23.599
10/12/17 7:52:01 PM,C,22.599
10/12/17 8:22:01 PM,C,22.099
10/12/17 8:52:01 PM,C,21.598
10/12/17 9:22:01 PM,C,21.098
10/12/17 9:52:01 PM,C,20.598
10/12/17 10:22:01 PM,C,20.097
10/12/17 10:52:01 PM,C,19.597
10/12/17 11:22:01 PM,C,19.597
10/12/17 11:52:01 PM,C,19.096
10/13/17 12:22:01 AM,C,18.596
10/13/17 12:52:01 AM,C,18.095
10/13/17 1:22:01 AM,C,18.095
10/13/17 1:52:01 AM,C,17.595
10/13/17 2:22:01 AM,C,17.094
10/13/17 2:52:01 AM,C,17.094
10/13/17 3:22:01 AM,C,16.593
10/13/17 3:52:01 AM,C,16.593
10/13/17 4:22:01 AM,C,16.093
10/13/17 4:52:01 AM,C,16.093
10/13/17 5:22:01 AM,C,15.592
10/13/17 5:52:01 AM,C,15.091
10/13/17 6:22:01 AM,C,15.091
10/13/17 6:52:01 AM,C,15.091
10/13/17 7:22:01 AM,C,15.091
10/13/17 7:52:01 AM,C,15.592
10/13/17 8:22:01 AM,C,16.093
10/13/17 8:52:01 AM,C,16.093
10/13/17 9:22:01 AM,C,19.096
10/13/17 9:52:01 AM,C,23.599
10/13/17 10:22:01 AM,C,29.598
10/13/17 10:52:01 AM,C,34.594
10/13/17 11:22:01 AM,C,38.587
10/13/17 11:52:01 AM,C,41.082
10/13/17 12:22:01 PM,C,43.077
10/13/17 12:52:01 PM,C,44.074
10/13/17 1:22:01 PM,C,45.569
10/13/17 1:52:01 PM,C,46.068
10/13/17 2:22:01 PM,C,46.068
10/13/17 2:52:01 PM,C,45.569
10/13/17 3:22:01 PM,C,45.071
10/13/17 3:52:01 PM,C,43.575
10/13/17 4:22:01 PM,C,41.58
10/13/17 4:52:01 PM,C,40.583
10/13/17 5:22:01 PM,C,34.094
10/13/17 5:52:01 PM,C,32.096
10/13/17 6:22:01 PM,C,26.6
10/13/17 6:52:01 PM,C,24.6
10/13/17 7:22:01 PM,C,23.599
10/13/17 7:52:01 PM,C,22.599
10/13/17 8:22:01 PM,C,22.099
10/13/17 8:52:01 PM,C,21.598
10/13/17 9:22:01 PM,C,21.098
10/13/17 9:52:01 PM,C,20.598
10/13/17 10:22:01 PM,C,20.097
10/13/17 10:52:01 PM,C,19.597
10/13/17 11:22:01 PM,C,19.096
10/13/17 11:52:01 PM,C,19.096
10/14/17 12:22:01 AM,C,18.596
10/14/17 12:52:01 AM,C,18.095
10/14/17 1:22:01 AM,C,17.595
10/14/17 1:52:01 AM,C,17.595
10/14/17 2:22:01 AM,C,17.094
10/14/17 2:52:01 AM,C,17.094
10/14/17 3:22:01 AM,C,16.593
10/14/17 3:52:01 AM,C,16.593
10/14/17 4:22:01 AM,C,16.093
10/14/17 4:52:01 AM,C,16.093
10/14/17 5:22:01 AM,C,15.592
10/14/17 5:52:01 AM,C,15.592
10/14/17 6:22:01 AM,C,15.091
10/14/17 6:52:01 AM,C,15.592
10/14/17 7:22:01 AM,C,15.592
10/14/17 7:52:01 AM,C,17.094
10/14/17 8:22:01 AM,C,16.593
10/14/17 8:52:01 AM,C,17.094
10/14/17 9:22:01 AM,C,20.097
10/14/17 9:52:01 AM,C,26.6
10/14/17 10:22:01 AM,C,35.093
10/14/17 10:52:01 AM,C,39.585
10/14/17 11:22:01 AM,C,43.077
10/14/17 11:52:01 AM,C,46.068
10/14/17 12:22:01 PM,C,48.56
10/14/17 12:52:01 PM,C,43.575
10/14/17 1:22:01 PM,C,48.56
10/14/17 1:52:01 PM,C,44.074
10/14/17 2:22:01 PM,C,47.065
10/14/17 2:52:01 PM,C,37.589
10/14/17 3:22:01 PM,C,47.065
10/14/17 3:52:01 PM,C,46.068
10/14/17 4:22:01 PM,C,44.572
10/14/17 4:52:01 PM,C,42.079
10/14/17 5:22:01 PM,C,35.093
10/14/17 5:52:01 PM,C,33.095
10/14/17 6:22:01 PM,C,27.599
10/14/17 6:52:01 PM,C,25.6
10/14/17 7:22:01 PM,C,24.099
10/14/17 7:52:01 PM,C,23.599
10/14/17 8:22:01 PM,C,22.599
10/14/17 8:52:01 PM,C,22.599
10/14/17 9:22:01 PM,C,22.099
10/14/17 9:52:01 PM,C,21.598
10/14/17 10:22:01 PM,C,21.098
10/14/17 10:52:01 PM,C,20.598
10/14/17 11:22:01 PM,C,20.097
10/14/17 11:52:01 PM,C,20.598
10/15/17 12:22:01 AM,C,20.598
10/15/17 12:52:01 AM,C,20.097
10/15/17 1:22:01 AM,C,19.597
10/15/17 1:52:01 AM,C,19.597
10/15/17 2:22:01 AM,C,19.096
10/15/17 2:52:01 AM,C,19.096
10/15/17 3:22:01 AM,C,18.596
10/15/17 3:52:01 AM,C,18.596
10/15/17 4:22:01 AM,C,18.095
10/15/17 4:52:01 AM,C,18.095
10/15/17 5:22:01 AM,C,17.595
10/15/17 5:52:01 AM,C,17.595
10/15/17 6:22:01 AM,C,17.595
10/15/17 6:52:01 AM,C,17.595
10/15/17 7:22:01 AM,C,17.595
10/15/17 7:52:01 AM,C,18.095
10/15/17 8:22:01 AM,C,18.596
10/15/17 8:52:01 AM,C,18.596
10/15/17 9:22:01 AM,C,23.099
10/15/17 9:52:01 AM,C,31.097
10/15/17 10:22:01 AM,C,38.587
10/15/17 10:52:01 AM,C,41.082
10/15/17 11:22:01 AM,C,46.068
10/15/17 11:52:01 AM,C,49.058
10/15/17 12:22:01 PM,C,50.552
10/15/17 12:52:01 PM,C,52.545
10/15/17 1:22:01 PM,C,49.058
10/15/17 1:52:01 PM,C,48.56
10/15/17 2:22:01 PM,C,48.56
10/15/17 2:52:01 PM,C,53.54
10/15/17 3:22:01 PM,C,47.563
10/15/17 3:52:01 PM,C,47.563
10/15/17 4:22:01 PM,C,45.071
10/15/17 4:52:01 PM,C,43.575
10/15/17 5:22:01 PM,C,37.589
10/15/17 5:52:01 PM,C,35.093
10/15/17 6:22:01 PM,C,29.598
10/15/17 6:52:01 PM,C,27.599
10/15/17 7:22:01 PM,C,26.6
10/15/17 7:52:01 PM,C,25.6
10/15/17 8:22:01 PM,C,24.6
10/15/17 8:52:01 PM,C,24.099
10/15/17 9:22:01 PM,C,23.599
10/15/17 9:52:01 PM,C,23.099
10/15/17 10:22:01 PM,C,22.599
10/15/17 10:52:01 PM,C,23.099
10/15/17 11:22:01 PM,C,22.599
10/15/17 11:52:01 PM,C,21.598
10/16/17 12:22:01 AM,C,21.098
10/16/17 12:52:01 AM,C,20.598
10/16/17 1:22:01 AM,C,20.097
10/16/17 1:52:01 AM,C,20.097
10/16/17 2:22:01 AM,C,19.597
10/16/17 2:52:01 AM,C,19.096
10/16/17 3:22:01 AM,C,18.596
10/16/17 3:52:01 AM,C,18.596
10/16/17 4:22:01 AM,C,18.095
10/16/17 4:52:01 AM,C,17.595
10/16/17 5:22:01 AM,C,17.595
10/16/17 5:52:01 AM,C,17.094
10/16/17 6:22:01 AM,C,16.593
10/16/17 6:52:01 AM,C,16.593
10/16/17 7:22:01 AM,C,17.094
10/16/17 7:52:01 AM,C,17.595
10/16/17 8:22:01 AM,C,18.596
10/16/17 8:52:01 AM,C,18.596
10/16/17 9:22:01 AM,C,24.6
10/16/17 9:52:01 AM,C,33.595
10/16/17 10:22:01 AM,C,40.084
10/16/17 10:52:01 AM,C,44.572
10/16/17 11:22:01 AM,C,48.56
10/16/17 11:52:01 AM,C,51.549
10/16/17 12:22:01 PM,C,54.536
10/16/17 12:52:01 PM,C,56.029
10/16/17 1:22:01 PM,C,57.522
10/16/17 1:52:01 PM,C,57.522
10/16/17 2:22:01 PM,C,57.025
10/16/17 2:52:01 PM,C,57.025
10/16/17 3:22:01 PM,C,55.532
10/16/17 3:52:01 PM,C,53.54
10/16/17 4:22:01 PM,C,51.051
10/16/17 4:52:01 PM,C,48.061
10/16/17 5:22:01 PM,C,38.088
10/16/17 5:52:01 PM,C,36.091
10/16/17 6:22:01 PM,C,30.598
10/16/17 6:52:01 PM,C,28.599
10/16/17 7:22:01 PM,C,27.099
10/16/17 7:52:01 PM,C,25.6
10/16/17 8:22:01 PM,C,25.1
10/16/17 8:52:01 PM,C,24.6
10/16/17 9:22:01 PM,C,24.099
10/16/17 9:52:01 PM,C,23.599
10/16/17 10:22:01 PM,C,23.099
10/16/17 10:52:01 PM,C,22.599
10/16/17 11:22:01 PM,C,22.099
10/16/17 11:52:01 PM,C,21.598
10/17/17 12:22:01 AM,C,21.598
10/17/17 12:52:01 AM,C,21.098
10/17/17 1:22:01 AM,C,20.598
10/17/17 1:52:01 AM,C,20.598
10/17/17 2:22:01 AM,C,20.097
10/17/17 2:52:01 AM,C,19.597
10/17/17 3:22:01 AM,C,19.597
10/17/17 3:52:01 AM,C,19.096
10/17/17 4:22:01 AM,C,19.096
10/17/17 4:52:01 AM,C,18.596
10/17/17 5:22:01 AM,C,18.596
10/17/17 5:52:01 AM,C,18.095
10/17/17 6:22:01 AM,C,18.095
10/17/17 6:52:01 AM,C,18.095
10/17/17 7:22:01 AM,C,18.095
10/17/17 7:52:01 AM,C,18.596
10/17/17 8:22:01 AM,C,19.096
10/17/17 8:52:01 AM,C,19.597
10/17/17 9:22:01 AM,C,24.6
10/17/17 9:52:01 AM,C,31.597
10/17/17 10:22:01 AM,C,40.583
10/17/17 10:52:01 AM,C,45.569
10/17/17 11:22:01 AM,C,49.556
10/17/17 11:52:01 AM,C,53.043
10/17/17 12:22:01 PM,C,56.029
10/17/17 12:52:01 PM,C,58.02
10/17/17 1:22:01 PM,C,59.015
10/17/17 1:52:01 PM,C,60.507
10/17/17 2:22:01 PM,C,52.047
10/17/17 2:52:01 PM,C,58.02
10/17/17 3:22:01 PM,C,57.522
10/17/17 3:52:01 PM,C,55.532
10/17/17 4:22:01 PM,C,53.043
10/17/17 4:52:01 PM,C,50.054
10/17/17 5:22:01 PM,C,39.086
10/17/17 5:52:01 PM,C,36.591
10/17/17 6:22:01 PM,C,32.596
10/17/17 6:52:01 PM,C,30.098
10/17/17 7:22:01 PM,C,28.099
10/17/17 7:52:01 PM,C,27.099
10/17/17 8:22:01 PM,C,26.6
10/17/17 8:52:01 PM,C,26.1
10/17/17 9:22:01 PM,C,25.1
10/17/17 9:52:01 PM,C,24.6
10/17/17 10:22:01 PM,C,24.6
10/17/17 10:52:01 PM,C,24.099
10/17/17 11:22:01 PM,C,23.599
10/17/17 11:52:01 PM,C,23.099
10/18/17 12:22:01 AM,C,22.599
10/18/17 12:52:01 AM,C,22.599
10/18/17 1:22:01 AM,C,22.099
10/18/17 1:52:01 AM,C,22.099
10/18/17 2:22:01 AM,C,22.099
10/18/17 2:52:01 AM,C,22.099
10/18/17 3:22:01 AM,C,21.598
10/18/17 3:52:01 AM,C,20.598
10/18/17 4:22:01 AM,C,20.097
10/18/17 4:52:01 AM,C,20.097
10/18/17 5:22:01 AM,C,19.597
10/18/17 5:52:01 AM,C,19.597
10/18/17 6:22:01 AM,C,19.096
10/18/17 6:52:01 AM,C,19.096
10/18/17 7:22:01 AM,C,19.597
10/18/17 7:52:01 AM,C,20.097
10/18/17 8:22:01 AM,C,20.598
10/18/17 8:52:01 AM,C,21.098
10/18/17 9:22:01 AM,C,25.6
10/18/17 9:52:01 AM,C,36.591
10/18/17 10:22:01 AM,C,42.079
10/18/17 10:52:01 AM,C,47.563
10/18/17 11:22:01 AM,C,51.549
10/18/17 11:52:01 AM,C,54.038
10/18/17 12:22:01 PM,C,58.02
10/18/17 12:52:01 PM,C,60.01
10/18/17 1:22:01 PM,C,60.507
10/18/17 1:52:01 PM,C,61.502
10/18/17 2:22:01 PM,C,61.004
10/18/17 2:52:01 PM,C,60.01
10/18/17 3:22:01 PM,C,59.015
10/18/17 3:52:01 PM,C,56.029
10/18/17 4:22:01 PM,C,54.536
10/18/17 4:52:01 PM,C,49.556
10/18/17 5:22:01 PM,C,41.082
10/18/17 5:52:01 PM,C,37.09
10/18/17 6:22:01 PM,C,33.595
10/18/17 6:52:01 PM,C,31.597
10/18/17 7:22:01 PM,C,29.598
10/18/17 7:52:01 PM,C,28.599
10/18/17 8:22:01 PM,C,27.599
10/18/17 8:52:01 PM,C,27.099
10/18/17 9:22:01 PM,C,26.1
10/18/17 9:52:01 PM,C,25.6
10/18/17 10:22:01 PM,C,25.6
10/18/17 10:52:01 PM,C,25.6
10/18/17 11:22:01 PM,C,25.1
10/18/17 11:52:01 PM,C,25.1
10/19/17 12:22:01 AM,C,24.6
10/19/17 12:52:01 AM,C,24.6
10/19/17 1:22:01 AM,C,24.6
10/19/17 1:52:01 AM,C,24.6
10/19/17 2:22:01 AM,C,24.6
10/19/17 2:52:01 AM,C,24.099
10/19/17 3:22:01 AM,C,23.599
10/19/17 3:52:01 AM,C,23.099
10/19/17 4:22:01 AM,C,22.599
10/19/17 4:52:01 AM,C,23.099
10/19/17 5:22:01 AM,C,23.099
10/19/17 5:52:01 AM,C,22.599
10/19/17 6:22:01 AM,C,22.599
10/19/17 6:52:01 AM,C,22.599
10/19/17 7:22:01 AM,C,22.599
10/19/17 7:52:01 AM,C,23.599
10/19/17 8:22:01 AM,C,24.6
10/19/17 8:52:01 AM,C,24.6
10/19/17 9:22:01 AM,C,29.598
10/19/17 9:52:01 AM,C,37.09
10/19/17 10:22:01 AM,C,42.079
