1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FE00000050E9E441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:22:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:22:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  13879
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:22:01 AM,%RH,58.139
10/12/17 10:52:01 AM,%RH,38.238
10/12/17 11:22:01 AM,%RH,97.133
10/12/17 11:52:01 AM,%RH,96.633
10/12/17 12:22:01 PM,%RH,97.133
10/12/17 12:52:01 PM,%RH,97.631
10/12/17 1:22:01 PM,%RH,97.133
10/12/17 1:52:01 PM,%RH,97.133
10/12/17 2:22:01 PM,%RH,96.633
10/12/17 2:52:01 PM,%RH,97.133
10/12/17 3:22:01 PM,%RH,97.631
10/12/17 3:52:01 PM,%RH,97.631
10/12/17 4:22:01 PM,%RH,98.128
10/12/17 4:52:01 PM,%RH,98.624
10/12/17 5:22:01 PM,%RH,99.118
10/12/17 5:52:01 PM,%RH,100.102
10/12/17 6:22:01 PM,%RH,101.568
10/12/17 6:52:01 PM,%RH,102.053
10/12/17 7:22:01 PM,%RH,102.538
10/12/17 7:52:01 PM,%RH,102.538
10/12/17 8:22:01 PM,%RH,103.021
10/12/17 8:52:01 PM,%RH,101.568
10/12/17 9:22:01 PM,%RH,102.538
10/12/17 9:52:01 PM,%RH,102.538
10/12/17 10:22:01 PM,%RH,100.592
10/12/17 10:52:01 PM,%RH,101.081
10/12/17 11:22:01 PM,%RH,100.102
10/12/17 11:52:01 PM,%RH,97.133
10/13/17 12:22:01 AM,%RH,96.633
10/13/17 12:52:01 AM,%RH,96.132
10/13/17 1:22:01 AM,%RH,95.629
10/13/17 1:52:01 AM,%RH,95.125
10/13/17 2:22:01 AM,%RH,95.125
10/13/17 2:52:01 AM,%RH,95.125
10/13/17 3:22:01 AM,%RH,95.125
10/13/17 3:52:01 AM,%RH,94.113
10/13/17 4:22:01 AM,%RH,93.605
10/13/17 4:52:01 AM,%RH,96.132
10/13/17 5:22:01 AM,%RH,96.132
10/13/17 5:52:01 AM,%RH,96.132
10/13/17 6:22:01 AM,%RH,97.133
10/13/17 6:52:01 AM,%RH,95.629
10/13/17 7:22:01 AM,%RH,95.125
10/13/17 7:52:01 AM,%RH,95.125
10/13/17 8:22:01 AM,%RH,93.095
10/13/17 8:52:01 AM,%RH,92.071
10/13/17 9:22:01 AM,%RH,91.557
10/13/17 9:52:01 AM,%RH,91.557
10/13/17 10:22:01 AM,%RH,90.525
10/13/17 10:52:01 AM,%RH,91.557
10/13/17 11:22:01 AM,%RH,95.125
10/13/17 11:52:01 AM,%RH,100.592
10/13/17 12:22:01 PM,%RH,101.081
10/13/17 12:52:01 PM,%RH,99.118
10/13/17 1:22:01 PM,%RH,99.118
10/13/17 1:52:01 PM,%RH,99.118
10/13/17 2:22:01 PM,%RH,98.624
10/13/17 2:52:01 PM,%RH,98.624
10/13/17 3:22:01 PM,%RH,98.128
10/13/17 3:52:01 PM,%RH,98.624
10/13/17 4:22:01 PM,%RH,98.128
10/13/17 4:52:01 PM,%RH,98.624
10/13/17 5:22:01 PM,%RH,100.102
10/13/17 5:52:01 PM,%RH,101.568
10/13/17 6:22:01 PM,%RH,102.053
10/13/17 6:52:01 PM,%RH,98.624
10/13/17 7:22:01 PM,%RH,93.095
10/13/17 7:52:01 PM,%RH,90.007
10/13/17 8:22:01 PM,%RH,88.444
10/13/17 8:52:01 PM,%RH,84.748
10/13/17 9:22:01 PM,%RH,82.604
10/13/17 9:52:01 PM,%RH,82.065
10/13/17 10:22:01 PM,%RH,82.604
10/13/17 10:52:01 PM,%RH,79.894
10/13/17 11:22:01 PM,%RH,78.8
10/13/17 11:52:01 PM,%RH,74.925
10/14/17 12:22:01 AM,%RH,76.594
10/14/17 12:52:01 AM,%RH,76.039
10/14/17 1:22:01 AM,%RH,62.888
10/14/17 1:52:01 AM,%RH,59.334
10/14/17 2:22:01 AM,%RH,59.93
10/14/17 2:52:01 AM,%RH,58.737
10/14/17 3:22:01 AM,%RH,60.525
10/14/17 3:52:01 AM,%RH,54.517
10/14/17 4:22:01 AM,%RH,54.517
10/14/17 4:52:01 AM,%RH,54.517
10/14/17 5:22:01 AM,%RH,53.299
10/14/17 5:52:01 AM,%RH,53.909
10/14/17 6:22:01 AM,%RH,56.937
10/14/17 6:52:01 AM,%RH,56.937
10/14/17 7:22:01 AM,%RH,55.73
10/14/17 7:52:01 AM,%RH,55.124
10/14/17 8:22:01 AM,%RH,55.124
10/14/17 8:52:01 AM,%RH,55.124
10/14/17 9:22:01 AM,%RH,55.124
10/14/17 9:52:01 AM,%RH,56.334
10/14/17 10:22:01 AM,%RH,61.709
10/14/17 10:52:01 AM,%RH,103.021
10/14/17 11:22:01 AM,%RH,99.611
10/14/17 11:52:01 AM,%RH,99.118
10/14/17 12:22:01 PM,%RH,98.128
10/14/17 12:52:01 PM,%RH,99.118
10/14/17 1:22:01 PM,%RH,98.128
10/14/17 1:52:01 PM,%RH,98.624
10/14/17 2:22:01 PM,%RH,98.128
10/14/17 2:52:01 PM,%RH,99.611
10/14/17 3:22:01 PM,%RH,99.118
10/14/17 3:52:01 PM,%RH,98.624
10/14/17 4:22:01 PM,%RH,99.118
10/14/17 4:52:01 PM,%RH,99.611
