1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FE00000050E9E441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:22:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:22:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  13879
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:22:01 AM,C,24.123
10/12/17 10:52:01 AM,C,31.12
10/12/17 11:22:01 AM,C,22.622
10/12/17 11:52:01 AM,C,23.623
10/12/17 12:22:01 PM,C,24.623
10/12/17 12:52:01 PM,C,25.123
10/12/17 1:22:01 PM,C,26.123
10/12/17 1:52:01 PM,C,26.123
10/12/17 2:22:01 PM,C,27.123
10/12/17 2:52:01 PM,C,27.123
10/12/17 3:22:01 PM,C,27.123
10/12/17 3:52:01 PM,C,27.123
10/12/17 4:22:01 PM,C,26.623
10/12/17 4:52:01 PM,C,26.123
10/12/17 5:22:01 PM,C,25.123
10/12/17 5:52:01 PM,C,24.123
10/12/17 6:22:01 PM,C,23.122
10/12/17 6:52:01 PM,C,22.622
10/12/17 7:22:01 PM,C,22.122
10/12/17 7:52:01 PM,C,21.621
10/12/17 8:22:01 PM,C,21.121
10/12/17 8:52:01 PM,C,20.62
10/12/17 9:22:01 PM,C,20.12
10/12/17 9:52:01 PM,C,19.619
10/12/17 10:22:01 PM,C,19.619
10/12/17 10:52:01 PM,C,19.118
10/12/17 11:22:01 PM,C,19.118
10/12/17 11:52:01 PM,C,18.617
10/13/17 12:22:01 AM,C,18.617
10/13/17 12:52:01 AM,C,18.117
10/13/17 1:22:01 AM,C,18.117
10/13/17 1:52:01 AM,C,17.616
10/13/17 2:22:01 AM,C,17.115
10/13/17 2:52:01 AM,C,17.115
10/13/17 3:22:01 AM,C,17.115
10/13/17 3:52:01 AM,C,16.614
10/13/17 4:22:01 AM,C,16.614
10/13/17 4:52:01 AM,C,16.614
10/13/17 5:22:01 AM,C,16.113
10/13/17 5:52:01 AM,C,16.113
10/13/17 6:22:01 AM,C,15.612
10/13/17 6:52:01 AM,C,15.612
10/13/17 7:22:01 AM,C,15.612
10/13/17 7:52:01 AM,C,15.612
10/13/17 8:22:01 AM,C,16.113
10/13/17 8:52:01 AM,C,16.614
10/13/17 9:22:01 AM,C,17.115
10/13/17 9:52:01 AM,C,18.117
10/13/17 10:22:01 AM,C,19.118
10/13/17 10:52:01 AM,C,20.62
10/13/17 11:22:01 AM,C,22.122
10/13/17 11:52:01 AM,C,23.122
10/13/17 12:22:01 PM,C,24.123
10/13/17 12:52:01 PM,C,24.623
10/13/17 1:22:01 PM,C,25.123
10/13/17 1:52:01 PM,C,26.123
10/13/17 2:22:01 PM,C,26.123
10/13/17 2:52:01 PM,C,26.623
10/13/17 3:22:01 PM,C,26.623
10/13/17 3:52:01 PM,C,26.623
10/13/17 4:22:01 PM,C,27.123
10/13/17 4:52:01 PM,C,26.623
10/13/17 5:22:01 PM,C,25.123
10/13/17 5:52:01 PM,C,23.623
10/13/17 6:22:01 PM,C,22.622
10/13/17 6:52:01 PM,C,21.621
10/13/17 7:22:01 PM,C,21.121
10/13/17 7:52:01 PM,C,20.62
10/13/17 8:22:01 PM,C,20.12
10/13/17 8:52:01 PM,C,19.619
10/13/17 9:22:01 PM,C,19.118
10/13/17 9:52:01 PM,C,19.118
10/13/17 10:22:01 PM,C,18.617
10/13/17 10:52:01 PM,C,18.117
10/13/17 11:22:01 PM,C,18.117
10/13/17 11:52:01 PM,C,17.616
10/14/17 12:22:01 AM,C,17.616
10/14/17 12:52:01 AM,C,17.115
10/14/17 1:22:01 AM,C,17.115
10/14/17 1:52:01 AM,C,16.614
10/14/17 2:22:01 AM,C,16.614
10/14/17 2:52:01 AM,C,16.614
10/14/17 3:22:01 AM,C,16.113
10/14/17 3:52:01 AM,C,16.113
10/14/17 4:22:01 AM,C,15.612
10/14/17 4:52:01 AM,C,15.612
10/14/17 5:22:01 AM,C,15.612
10/14/17 5:52:01 AM,C,15.111
10/14/17 6:22:01 AM,C,15.111
10/14/17 6:52:01 AM,C,15.111
10/14/17 7:22:01 AM,C,15.111
10/14/17 7:52:01 AM,C,16.113
10/14/17 8:22:01 AM,C,16.113
10/14/17 8:52:01 AM,C,16.614
10/14/17 9:22:01 AM,C,18.117
10/14/17 9:52:01 AM,C,20.12
10/14/17 10:22:01 AM,C,22.122
10/14/17 10:52:01 AM,C,23.623
10/14/17 11:22:01 AM,C,25.123
10/14/17 11:52:01 AM,C,26.623
10/14/17 12:22:01 PM,C,27.623
10/14/17 12:52:01 PM,C,27.123
10/14/17 1:22:01 PM,C,28.122
10/14/17 1:52:01 PM,C,28.122
10/14/17 2:22:01 PM,C,28.122
10/14/17 2:52:01 PM,C,27.123
10/14/17 3:22:01 PM,C,27.623
10/14/17 3:52:01 PM,C,27.623
10/14/17 4:22:01 PM,C,27.623
10/14/17 4:52:01 PM,C,26.123
10/14/17 5:22:01 PM,C,25.123
10/14/17 5:52:01 PM,C,24.123
10/14/17 6:22:01 PM,C,23.122
10/14/17 6:52:01 PM,C,22.122
10/14/17 7:22:01 PM,C,21.621
10/14/17 7:52:01 PM,C,20.62
10/14/17 8:22:01 PM,C,20.12
10/14/17 8:52:01 PM,C,20.12
10/14/17 9:22:01 PM,C,19.619
10/14/17 9:52:01 PM,C,19.619
10/14/17 10:22:01 PM,C,19.118
10/14/17 10:52:01 PM,C,18.617
10/14/17 11:22:01 PM,C,18.617
10/14/17 11:52:01 PM,C,18.617
10/15/17 12:22:01 AM,C,18.617
10/15/17 12:52:01 AM,C,18.117
10/15/17 1:22:01 AM,C,18.117
10/15/17 1:52:01 AM,C,18.117
10/15/17 2:22:01 AM,C,17.616
10/15/17 2:52:01 AM,C,17.616
10/15/17 3:22:01 AM,C,17.616
10/15/17 3:52:01 AM,C,17.616
10/15/17 4:22:01 AM,C,17.115
10/15/17 4:52:01 AM,C,17.115
10/15/17 5:22:01 AM,C,16.614
10/15/17 5:52:01 AM,C,16.614
10/15/17 6:22:01 AM,C,16.614
10/15/17 6:52:01 AM,C,16.614
10/15/17 7:22:01 AM,C,16.614
10/15/17 7:52:01 AM,C,16.614
10/15/17 8:22:01 AM,C,17.115
10/15/17 8:52:01 AM,C,18.117
10/15/17 9:22:01 AM,C,19.118
10/15/17 9:52:01 AM,C,21.121
10/15/17 10:22:01 AM,C,23.122
10/15/17 10:52:01 AM,C,24.123
10/15/17 11:22:01 AM,C,25.623
10/15/17 11:52:01 AM,C,27.123
10/15/17 12:22:01 PM,C,28.122
10/15/17 12:52:01 PM,C,29.122
10/15/17 1:22:01 PM,C,29.122
10/15/17 1:52:01 PM,C,29.621
10/15/17 2:22:01 PM,C,29.122
10/15/17 2:52:01 PM,C,30.121
10/15/17 3:22:01 PM,C,29.621
10/15/17 3:52:01 PM,C,29.122
10/15/17 4:22:01 PM,C,28.122
10/15/17 4:52:01 PM,C,27.623
10/15/17 5:22:01 PM,C,26.623
10/15/17 5:52:01 PM,C,25.123
10/15/17 6:22:01 PM,C,24.123
10/15/17 6:52:01 PM,C,23.122
10/15/17 7:22:01 PM,C,22.122
10/15/17 7:52:01 PM,C,21.621
10/15/17 8:22:01 PM,C,21.121
10/15/17 8:52:01 PM,C,20.62
10/15/17 9:22:01 PM,C,20.12
10/15/17 9:52:01 PM,C,20.12
10/15/17 10:22:01 PM,C,19.619
10/15/17 10:52:01 PM,C,19.619
10/15/17 11:22:01 PM,C,19.619
10/15/17 11:52:01 PM,C,19.118
10/16/17 12:22:01 AM,C,19.118
10/16/17 12:52:01 AM,C,18.617
10/16/17 1:22:01 AM,C,18.617
10/16/17 1:52:01 AM,C,18.117
10/16/17 2:22:01 AM,C,18.117
10/16/17 2:52:01 AM,C,17.616
