1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8700000050E33441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:23:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:23:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  12249
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:23:01 AM,%RH,54.271
10/12/17 10:53:01 AM,%RH,92.271
10/12/17 11:23:01 AM,%RH,95.371
10/12/17 11:53:01 AM,%RH,94.858
10/12/17 12:23:01 PM,%RH,94.343
10/12/17 12:53:01 PM,%RH,95.371
10/12/17 1:23:01 PM,%RH,93.827
10/12/17 1:53:01 PM,%RH,93.827
10/12/17 2:23:01 PM,%RH,93.827
10/12/17 2:53:01 PM,%RH,94.858
10/12/17 3:23:01 PM,%RH,94.858
10/12/17 3:53:01 PM,%RH,96.394
10/12/17 4:23:01 PM,%RH,97.917
10/12/17 4:53:01 PM,%RH,98.422
10/12/17 5:23:01 PM,%RH,99.929
10/12/17 5:53:01 PM,%RH,99.929
10/12/17 6:23:01 PM,%RH,100.927
10/12/17 6:53:01 PM,%RH,101.919
10/12/17 7:23:01 PM,%RH,102.905
10/12/17 7:53:01 PM,%RH,103.886
10/12/17 8:23:01 PM,%RH,105.348
10/12/17 8:53:01 PM,%RH,106.796
10/12/17 9:23:01 PM,%RH,106.315
10/12/17 9:53:01 PM,%RH,106.315
10/12/17 10:23:01 PM,%RH,107.277
10/12/17 10:53:01 PM,%RH,107.755
10/12/17 11:23:01 PM,%RH,107.277
10/12/17 11:53:01 PM,%RH,104.862
10/13/17 12:23:01 AM,%RH,105.348
10/13/17 12:53:01 AM,%RH,105.348
10/13/17 1:23:01 AM,%RH,104.375
10/13/17 1:53:01 AM,%RH,103.397
10/13/17 2:23:01 AM,%RH,103.397
10/13/17 2:53:01 AM,%RH,103.397
10/13/17 3:23:01 AM,%RH,102.905
10/13/17 3:53:01 AM,%RH,102.905
10/13/17 4:23:01 AM,%RH,101.919
10/13/17 4:53:01 AM,%RH,101.919
10/13/17 5:23:01 AM,%RH,100.927
10/13/17 5:53:01 AM,%RH,101.919
10/13/17 6:23:01 AM,%RH,102.413
10/13/17 6:53:01 AM,%RH,101.919
10/13/17 7:23:01 AM,%RH,101.919
10/13/17 7:53:01 AM,%RH,100.429
10/13/17 8:23:01 AM,%RH,101.919
10/13/17 8:53:01 AM,%RH,99.929
10/13/17 9:23:01 AM,%RH,99.428
10/13/17 9:53:01 AM,%RH,100.429
10/13/17 10:23:01 AM,%RH,99.428
10/13/17 10:53:01 AM,%RH,97.917
10/13/17 11:23:01 AM,%RH,97.411
10/13/17 11:53:01 AM,%RH,94.858
10/13/17 12:23:01 PM,%RH,95.883
10/13/17 12:53:01 PM,%RH,94.858
10/13/17 1:23:01 PM,%RH,93.827
10/13/17 1:53:01 PM,%RH,92.791
10/13/17 2:23:01 PM,%RH,93.827
10/13/17 2:53:01 PM,%RH,93.31
10/13/17 3:23:01 PM,%RH,94.343
10/13/17 3:53:01 PM,%RH,94.343
10/13/17 4:23:01 PM,%RH,95.883
10/13/17 4:53:01 PM,%RH,96.903
10/13/17 5:23:01 PM,%RH,97.411
10/13/17 5:53:01 PM,%RH,100.927
10/13/17 6:23:01 PM,%RH,102.413
10/13/17 6:53:01 PM,%RH,103.397
10/13/17 7:23:01 PM,%RH,104.375
10/13/17 7:53:01 PM,%RH,105.348
10/13/17 8:23:01 PM,%RH,105.832
10/13/17 8:53:01 PM,%RH,106.315
10/13/17 9:23:01 PM,%RH,106.796
10/13/17 9:53:01 PM,%RH,106.315
10/13/17 10:23:01 PM,%RH,107.277
10/13/17 10:53:01 PM,%RH,106.315
10/13/17 11:23:01 PM,%RH,106.315
10/13/17 11:53:01 PM,%RH,107.277
10/14/17 12:23:01 AM,%RH,105.832
10/14/17 12:53:01 AM,%RH,105.348
10/14/17 1:23:01 AM,%RH,104.862
10/14/17 1:53:01 AM,%RH,103.886
10/14/17 2:23:01 AM,%RH,105.832
10/14/17 2:53:01 AM,%RH,104.862
10/14/17 3:23:01 AM,%RH,103.397
10/14/17 3:53:01 AM,%RH,103.397
10/14/17 4:23:01 AM,%RH,103.886
10/14/17 4:53:01 AM,%RH,103.886
10/14/17 5:23:01 AM,%RH,103.886
10/14/17 5:53:01 AM,%RH,104.375
10/14/17 6:23:01 AM,%RH,104.375
10/14/17 6:53:01 AM,%RH,103.397
10/14/17 7:23:01 AM,%RH,103.886
10/14/17 7:53:01 AM,%RH,102.905
10/14/17 8:23:01 AM,%RH,101.919
10/14/17 8:53:01 AM,%RH,103.886
10/14/17 9:23:01 AM,%RH,101.423
10/14/17 9:53:01 AM,%RH,99.428
10/14/17 10:23:01 AM,%RH,97.917
10/14/17 10:53:01 AM,%RH,96.903
10/14/17 11:23:01 AM,%RH,95.883
10/14/17 11:53:01 AM,%RH,96.394
10/14/17 12:23:01 PM,%RH,96.394
10/14/17 12:53:01 PM,%RH,97.917
10/14/17 1:23:01 PM,%RH,93.827
10/14/17 1:53:01 PM,%RH,96.394
10/14/17 2:23:01 PM,%RH,94.343
10/14/17 2:53:01 PM,%RH,97.411
10/14/17 3:23:01 PM,%RH,97.411
10/14/17 3:53:01 PM,%RH,98.422
10/14/17 4:23:01 PM,%RH,95.883
10/14/17 4:53:01 PM,%RH,97.917
10/14/17 5:23:01 PM,%RH,98.422
10/14/17 5:53:01 PM,%RH,99.929
10/14/17 6:23:01 PM,%RH,101.423
10/14/17 6:53:01 PM,%RH,103.886
10/14/17 7:23:01 PM,%RH,102.905
10/14/17 7:53:01 PM,%RH,103.886
10/14/17 8:23:01 PM,%RH,104.375
10/14/17 8:53:01 PM,%RH,103.397
10/14/17 9:23:01 PM,%RH,103.886
10/14/17 9:53:01 PM,%RH,104.375
10/14/17 10:23:01 PM,%RH,104.862
10/14/17 10:53:01 PM,%RH,104.862
10/14/17 11:23:01 PM,%RH,104.862
10/14/17 11:53:01 PM,%RH,103.886
10/15/17 12:23:01 AM,%RH,103.886
10/15/17 12:53:01 AM,%RH,103.397
10/15/17 1:23:01 AM,%RH,103.886
10/15/17 1:53:01 AM,%RH,103.886
10/15/17 2:23:01 AM,%RH,104.375
10/15/17 2:53:01 AM,%RH,103.886
10/15/17 3:23:01 AM,%RH,103.886
10/15/17 3:53:01 AM,%RH,104.375
10/15/17 4:23:01 AM,%RH,104.862
10/15/17 4:53:01 AM,%RH,104.862
10/15/17 5:23:01 AM,%RH,104.375
10/15/17 5:53:01 AM,%RH,104.375
10/15/17 6:23:01 AM,%RH,104.375
10/15/17 6:53:01 AM,%RH,104.375
10/15/17 7:23:01 AM,%RH,104.375
10/15/17 7:53:01 AM,%RH,103.397
10/15/17 8:23:01 AM,%RH,104.862
10/15/17 8:53:01 AM,%RH,100.927
10/15/17 9:23:01 AM,%RH,99.428
10/15/17 9:53:01 AM,%RH,98.422
10/15/17 10:23:01 AM,%RH,97.917
10/15/17 10:53:01 AM,%RH,96.394
10/15/17 11:23:01 AM,%RH,95.371
10/15/17 11:53:01 AM,%RH,93.827
10/15/17 12:23:01 PM,%RH,91.749
10/15/17 12:53:01 PM,%RH,91.749
10/15/17 1:23:01 PM,%RH,92.791
10/15/17 1:53:01 PM,%RH,97.411
10/15/17 2:23:01 PM,%RH,91.226
10/15/17 2:53:01 PM,%RH,91.749
10/15/17 3:23:01 PM,%RH,94.343
10/15/17 3:53:01 PM,%RH,94.343
10/15/17 4:23:01 PM,%RH,94.343
10/15/17 4:53:01 PM,%RH,97.917
10/15/17 5:23:01 PM,%RH,96.394
10/15/17 5:53:01 PM,%RH,98.422
10/15/17 6:23:01 PM,%RH,100.429
10/15/17 6:53:01 PM,%RH,101.919
10/15/17 7:23:01 PM,%RH,102.413
10/15/17 7:53:01 PM,%RH,103.397
10/15/17 8:23:01 PM,%RH,103.886
10/15/17 8:53:01 PM,%RH,104.375
10/15/17 9:23:01 PM,%RH,104.375
10/15/17 9:53:01 PM,%RH,104.862
10/15/17 10:23:01 PM,%RH,104.862
10/15/17 10:53:01 PM,%RH,104.862
10/15/17 11:23:01 PM,%RH,104.862
10/15/17 11:53:01 PM,%RH,104.862
10/16/17 12:23:01 AM,%RH,104.862
10/16/17 12:53:01 AM,%RH,104.375
10/16/17 1:23:01 AM,%RH,105.348
10/16/17 1:53:01 AM,%RH,104.862
10/16/17 2:23:01 AM,%RH,105.348
10/16/17 2:53:01 AM,%RH,104.375
10/16/17 3:23:01 AM,%RH,104.862
10/16/17 3:53:01 AM,%RH,104.862
10/16/17 4:23:01 AM,%RH,105.348
10/16/17 4:53:01 AM,%RH,105.348
10/16/17 5:23:01 AM,%RH,106.315
10/16/17 5:53:01 AM,%RH,105.832
10/16/17 6:23:01 AM,%RH,105.348
10/16/17 6:53:01 AM,%RH,104.862
10/16/17 7:23:01 AM,%RH,103.886
10/16/17 7:53:01 AM,%RH,102.905
10/16/17 8:23:01 AM,%RH,103.886
10/16/17 8:53:01 AM,%RH,101.919
10/16/17 9:23:01 AM,%RH,99.929
10/16/17 9:53:01 AM,%RH,98.926
10/16/17 10:23:01 AM,%RH,97.411
10/16/17 10:53:01 AM,%RH,96.394
10/16/17 11:23:01 AM,%RH,95.371
10/16/17 11:53:01 AM,%RH,93.827
10/16/17 12:23:01 PM,%RH,93.31
10/16/17 12:53:01 PM,%RH,92.271
10/16/17 1:23:01 PM,%RH,91.226
10/16/17 1:53:01 PM,%RH,92.271
10/16/17 2:23:01 PM,%RH,93.31
10/16/17 2:53:01 PM,%RH,92.271
10/16/17 3:23:01 PM,%RH,92.791
10/16/17 3:53:01 PM,%RH,93.827
10/16/17 4:23:01 PM,%RH,94.858
10/16/17 4:53:01 PM,%RH,96.394
10/16/17 5:23:01 PM,%RH,96.394
10/16/17 5:53:01 PM,%RH,98.422
10/16/17 6:23:01 PM,%RH,100.429
10/16/17 6:53:01 PM,%RH,101.919
10/16/17 7:23:01 PM,%RH,102.413
10/16/17 7:53:01 PM,%RH,103.397
10/16/17 8:23:01 PM,%RH,103.886
