1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8700000050E33441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:23:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:23:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  12249
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:23:01 AM,C,24.674
10/12/17 10:53:01 AM,C,22.673
10/12/17 11:23:01 AM,C,24.174
10/12/17 11:53:01 AM,C,24.174
10/12/17 12:23:01 PM,C,25.174
10/12/17 12:53:01 PM,C,25.674
10/12/17 1:23:01 PM,C,27.174
10/12/17 1:53:01 PM,C,27.673
10/12/17 2:23:01 PM,C,28.173
10/12/17 2:53:01 PM,C,28.173
10/12/17 3:23:01 PM,C,27.673
10/12/17 3:53:01 PM,C,27.174
10/12/17 4:23:01 PM,C,26.174
10/12/17 4:53:01 PM,C,25.174
10/12/17 5:23:01 PM,C,24.174
10/12/17 5:53:01 PM,C,23.173
10/12/17 6:23:01 PM,C,22.172
10/12/17 6:53:01 PM,C,21.172
10/12/17 7:23:01 PM,C,20.671
10/12/17 7:53:01 PM,C,19.67
10/12/17 8:23:01 PM,C,19.169
10/12/17 8:53:01 PM,C,18.668
10/12/17 9:23:01 PM,C,18.668
10/12/17 9:53:01 PM,C,18.167
10/12/17 10:23:01 PM,C,17.667
10/12/17 10:53:01 PM,C,17.667
10/12/17 11:23:01 PM,C,17.166
10/12/17 11:53:01 PM,C,17.166
10/13/17 12:23:01 AM,C,16.665
10/13/17 12:53:01 AM,C,16.665
10/13/17 1:23:01 AM,C,16.164
10/13/17 1:53:01 AM,C,16.164
10/13/17 2:23:01 AM,C,15.663
10/13/17 2:53:01 AM,C,15.663
10/13/17 3:23:01 AM,C,15.161
10/13/17 3:53:01 AM,C,15.161
10/13/17 4:23:01 AM,C,15.161
10/13/17 4:53:01 AM,C,14.66
10/13/17 5:23:01 AM,C,14.66
10/13/17 5:53:01 AM,C,14.66
10/13/17 6:23:01 AM,C,14.159
10/13/17 6:53:01 AM,C,14.159
10/13/17 7:23:01 AM,C,14.66
10/13/17 7:53:01 AM,C,15.663
10/13/17 8:23:01 AM,C,16.665
10/13/17 8:53:01 AM,C,18.167
10/13/17 9:23:01 AM,C,19.67
10/13/17 9:53:01 AM,C,20.671
10/13/17 10:23:01 AM,C,22.673
10/13/17 10:53:01 AM,C,24.674
10/13/17 11:23:01 AM,C,26.174
10/13/17 11:53:01 AM,C,27.673
10/13/17 12:23:01 PM,C,28.673
10/13/17 12:53:01 PM,C,29.672
10/13/17 1:23:01 PM,C,30.172
10/13/17 1:53:01 PM,C,30.671
10/13/17 2:23:01 PM,C,30.671
10/13/17 2:53:01 PM,C,30.671
10/13/17 3:23:01 PM,C,29.672
10/13/17 3:53:01 PM,C,28.673
10/13/17 4:23:01 PM,C,28.173
10/13/17 4:53:01 PM,C,26.674
10/13/17 5:23:01 PM,C,25.174
10/13/17 5:53:01 PM,C,22.673
10/13/17 6:23:01 PM,C,20.671
10/13/17 6:53:01 PM,C,19.67
10/13/17 7:23:01 PM,C,18.668
10/13/17 7:53:01 PM,C,18.167
10/13/17 8:23:01 PM,C,17.667
10/13/17 8:53:01 PM,C,17.166
10/13/17 9:23:01 PM,C,16.665
10/13/17 9:53:01 PM,C,16.164
10/13/17 10:23:01 PM,C,16.164
10/13/17 10:53:01 PM,C,15.663
10/13/17 11:23:01 PM,C,15.663
10/13/17 11:53:01 PM,C,15.161
10/14/17 12:23:01 AM,C,15.161
10/14/17 12:53:01 AM,C,14.66
10/14/17 1:23:01 AM,C,14.66
10/14/17 1:53:01 AM,C,14.159
10/14/17 2:23:01 AM,C,14.159
10/14/17 2:53:01 AM,C,14.159
10/14/17 3:23:01 AM,C,13.658
10/14/17 3:53:01 AM,C,13.658
10/14/17 4:23:01 AM,C,13.156
10/14/17 4:53:01 AM,C,13.156
10/14/17 5:23:01 AM,C,13.156
10/14/17 5:53:01 AM,C,12.655
10/14/17 6:23:01 AM,C,12.655
10/14/17 6:53:01 AM,C,13.156
10/14/17 7:23:01 AM,C,13.156
10/14/17 7:53:01 AM,C,15.161
10/14/17 8:23:01 AM,C,16.665
10/14/17 8:53:01 AM,C,18.668
10/14/17 9:23:01 AM,C,21.172
10/14/17 9:53:01 AM,C,23.173
10/14/17 10:23:01 AM,C,24.674
10/14/17 10:53:01 AM,C,26.174
10/14/17 11:23:01 AM,C,27.673
10/14/17 11:53:01 AM,C,28.673
10/14/17 12:23:01 PM,C,29.173
10/14/17 12:53:01 PM,C,28.173
10/14/17 1:23:01 PM,C,31.67
10/14/17 1:53:01 PM,C,28.673
10/14/17 2:23:01 PM,C,28.673
10/14/17 2:53:01 PM,C,27.174
10/14/17 3:23:01 PM,C,27.673
10/14/17 3:53:01 PM,C,27.174
10/14/17 4:23:01 PM,C,28.173
10/14/17 4:53:01 PM,C,26.674
10/14/17 5:23:01 PM,C,25.174
10/14/17 5:53:01 PM,C,23.673
10/14/17 6:23:01 PM,C,21.672
10/14/17 6:53:01 PM,C,20.17
10/14/17 7:23:01 PM,C,19.169
10/14/17 7:53:01 PM,C,18.668
10/14/17 8:23:01 PM,C,18.167
10/14/17 8:53:01 PM,C,18.167
10/14/17 9:23:01 PM,C,17.667
10/14/17 9:53:01 PM,C,17.667
10/14/17 10:23:01 PM,C,17.166
10/14/17 10:53:01 PM,C,16.665
10/14/17 11:23:01 PM,C,16.665
10/14/17 11:53:01 PM,C,16.665
10/15/17 12:23:01 AM,C,17.166
