1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C900000050E12D41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:22:01 AEDT 2017
Mission Sample Count:  433
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:22:01 AEDT 2017
Total Mission Samples:  433
Total Device Samples:  12026
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:22:01 AM,C,25.629
10/12/17 10:52:01 AM,C,32.125
10/12/17 11:22:01 AM,C,19.626
10/12/17 11:52:01 AM,C,19.125
10/12/17 12:22:01 PM,C,25.129
10/12/17 12:52:01 PM,C,31.626
10/12/17 1:22:01 PM,C,34.123
10/12/17 1:52:01 PM,C,34.622
10/12/17 2:22:01 PM,C,35.121
10/12/17 2:52:01 PM,C,29.628
10/12/17 3:22:01 PM,C,27.629
10/12/17 3:52:01 PM,C,31.126
10/12/17 4:22:01 PM,C,27.129
10/12/17 4:52:01 PM,C,25.129
10/12/17 5:22:01 PM,C,23.629
10/12/17 5:52:01 PM,C,23.128
10/12/17 6:22:01 PM,C,22.128
10/12/17 6:52:01 PM,C,21.127
10/12/17 7:22:01 PM,C,20.627
10/12/17 7:52:01 PM,C,19.626
10/12/17 8:22:01 PM,C,19.125
10/12/17 8:52:01 PM,C,18.624
10/12/17 9:22:01 PM,C,18.124
10/12/17 9:52:01 PM,C,17.623
10/12/17 10:22:01 PM,C,17.122
10/12/17 10:52:01 PM,C,17.122
10/12/17 11:22:01 PM,C,16.622
10/12/17 11:52:01 PM,C,16.121
10/13/17 12:22:01 AM,C,16.121
10/13/17 12:52:01 AM,C,15.62
10/13/17 1:22:01 AM,C,15.62
10/13/17 1:52:01 AM,C,15.119
10/13/17 2:22:01 AM,C,14.618
10/13/17 2:52:01 AM,C,14.618
10/13/17 3:22:01 AM,C,14.117
10/13/17 3:52:01 AM,C,14.117
10/13/17 4:22:01 AM,C,13.616
10/13/17 4:52:01 AM,C,13.616
10/13/17 5:22:01 AM,C,13.616
10/13/17 5:52:01 AM,C,13.616
10/13/17 6:22:01 AM,C,13.115
10/13/17 6:52:01 AM,C,13.115
10/13/17 7:22:01 AM,C,13.616
10/13/17 7:52:01 AM,C,13.616
10/13/17 8:22:01 AM,C,14.117
10/13/17 8:52:01 AM,C,14.618
10/13/17 9:22:01 AM,C,15.119
10/13/17 9:52:01 AM,C,18.124
10/13/17 10:22:01 AM,C,19.626
10/13/17 10:52:01 AM,C,20.126
10/13/17 11:22:01 AM,C,19.626
10/13/17 11:52:01 AM,C,19.125
10/13/17 12:22:01 PM,C,24.629
10/13/17 12:52:01 PM,C,33.623
10/13/17 1:22:01 PM,C,36.119
10/13/17 1:52:01 PM,C,37.118
10/13/17 2:22:01 PM,C,37.617
10/13/17 2:52:01 PM,C,30.627
10/13/17 3:22:01 PM,C,29.128
10/13/17 3:52:01 PM,C,33.623
10/13/17 4:22:01 PM,C,28.628
10/13/17 4:52:01 PM,C,25.629
10/13/17 5:22:01 PM,C,25.129
10/13/17 5:52:01 PM,C,24.629
10/13/17 6:22:01 PM,C,23.128
10/13/17 6:52:01 PM,C,22.128
10/13/17 7:22:01 PM,C,21.127
10/13/17 7:52:01 PM,C,20.627
10/13/17 8:22:01 PM,C,19.626
10/13/17 8:52:01 PM,C,19.125
10/13/17 9:22:01 PM,C,18.624
10/13/17 9:52:01 PM,C,18.624
10/13/17 10:22:01 PM,C,18.124
10/13/17 10:52:01 PM,C,17.623
10/13/17 11:22:01 PM,C,17.623
10/13/17 11:52:01 PM,C,17.122
10/14/17 12:22:01 AM,C,16.622
10/14/17 12:52:01 AM,C,16.622
10/14/17 1:22:01 AM,C,16.121
10/14/17 1:52:01 AM,C,15.62
10/14/17 2:22:01 AM,C,15.62
10/14/17 2:52:01 AM,C,15.119
10/14/17 3:22:01 AM,C,15.119
10/14/17 3:52:01 AM,C,14.618
10/14/17 4:22:01 AM,C,14.618
10/14/17 4:52:01 AM,C,14.117
10/14/17 5:22:01 AM,C,14.117
10/14/17 5:52:01 AM,C,13.616
10/14/17 6:22:01 AM,C,13.616
10/14/17 6:52:01 AM,C,13.616
10/14/17 7:22:01 AM,C,14.117
10/14/17 7:52:01 AM,C,14.618
10/14/17 8:22:01 AM,C,15.119
10/14/17 8:52:01 AM,C,16.121
10/14/17 9:22:01 AM,C,16.622
10/14/17 9:52:01 AM,C,19.626
10/14/17 10:22:01 AM,C,21.627
10/14/17 10:52:01 AM,C,21.627
10/14/17 11:22:01 AM,C,22.628
10/14/17 11:52:01 AM,C,22.628
10/14/17 12:22:01 PM,C,27.629
10/14/17 12:52:01 PM,C,33.124
10/14/17 1:22:01 PM,C,37.617
10/14/17 1:52:01 PM,C,35.121
10/14/17 2:22:01 PM,C,35.62
10/14/17 2:52:01 PM,C,30.127
10/14/17 3:22:01 PM,C,32.125
10/14/17 3:52:01 PM,C,33.623
10/14/17 4:22:01 PM,C,30.127
10/14/17 4:52:01 PM,C,27.129
10/14/17 5:22:01 PM,C,26.129
10/14/17 5:52:01 PM,C,26.129
10/14/17 6:22:01 PM,C,24.129
10/14/17 6:52:01 PM,C,23.128
10/14/17 7:22:01 PM,C,22.128
10/14/17 7:52:01 PM,C,21.627
10/14/17 8:22:01 PM,C,21.127
10/14/17 8:52:01 PM,C,20.627
10/14/17 9:22:01 PM,C,20.126
10/14/17 9:52:01 PM,C,20.126
10/14/17 10:22:01 PM,C,19.626
10/14/17 10:52:01 PM,C,19.125
10/14/17 11:22:01 PM,C,19.125
10/14/17 11:52:01 PM,C,18.624
10/15/17 12:22:01 AM,C,19.125
10/15/17 12:52:01 AM,C,18.624
10/15/17 1:22:01 AM,C,18.124
10/15/17 1:52:01 AM,C,18.124
10/15/17 2:22:01 AM,C,17.623
10/15/17 2:52:01 AM,C,17.623
10/15/17 3:22:01 AM,C,17.623
10/15/17 3:52:01 AM,C,17.122
10/15/17 4:22:01 AM,C,17.122
10/15/17 4:52:01 AM,C,16.622
10/15/17 5:22:01 AM,C,16.622
10/15/17 5:52:01 AM,C,16.622
10/15/17 6:22:01 AM,C,16.121
10/15/17 6:52:01 AM,C,16.121
10/15/17 7:22:01 AM,C,16.622
10/15/17 7:52:01 AM,C,16.622
10/15/17 8:22:01 AM,C,17.623
10/15/17 8:52:01 AM,C,18.624
10/15/17 9:22:01 AM,C,19.125
10/15/17 9:52:01 AM,C,22.628
10/15/17 10:22:01 AM,C,24.129
10/15/17 10:52:01 AM,C,23.629
10/15/17 11:22:01 AM,C,24.129
10/15/17 11:52:01 AM,C,23.629
10/15/17 12:22:01 PM,C,29.628
10/15/17 12:52:01 PM,C,40.61
10/15/17 1:22:01 PM,C,38.614
10/15/17 1:52:01 PM,C,40.111
10/15/17 2:22:01 PM,C,38.614
10/15/17 2:52:01 PM,C,34.123
10/15/17 3:22:01 PM,C,33.124
10/15/17 3:52:01 PM,C,37.118
10/15/17 4:22:01 PM,C,30.627
