1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D000000050E51841
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:25:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:25:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  16219
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:25:01 AM,%RH,55.23
10/12/17 10:55:01 AM,%RH,52.761
10/12/17 11:25:01 AM,%RH,45.213
10/12/17 11:55:01 AM,%RH,44.574
10/12/17 12:25:01 PM,%RH,75.814
10/12/17 12:55:01 PM,%RH,74.687
10/12/17 1:25:01 PM,%RH,74.121
10/12/17 1:55:01 PM,%RH,76.375
10/12/17 2:25:01 PM,%RH,75.814
10/12/17 2:55:01 PM,%RH,76.935
10/12/17 3:25:01 PM,%RH,79.159
10/12/17 3:55:01 PM,%RH,83.536
10/12/17 4:25:01 PM,%RH,86.224
10/12/17 4:55:01 PM,%RH,96.096
10/12/17 5:25:01 PM,%RH,99.598
10/12/17 5:55:01 PM,%RH,99.102
10/12/17 6:25:01 PM,%RH,100.092
10/12/17 6:55:01 PM,%RH,102.054
10/12/17 7:25:01 PM,%RH,102.541
10/12/17 7:55:01 PM,%RH,103.51
10/12/17 8:25:01 PM,%RH,104.473
10/12/17 8:55:01 PM,%RH,103.992
10/12/17 9:25:01 PM,%RH,107.327
10/12/17 9:55:01 PM,%RH,107.798
10/12/17 10:25:01 PM,%RH,106.855
10/12/17 10:55:01 PM,%RH,106.382
10/12/17 11:25:01 PM,%RH,105.431
10/12/17 11:55:01 PM,%RH,106.855
10/13/17 12:25:01 AM,%RH,106.382
10/13/17 12:55:01 AM,%RH,104.473
10/13/17 1:25:01 AM,%RH,104.473
10/13/17 1:55:01 AM,%RH,104.953
10/13/17 2:25:01 AM,%RH,102.541
10/13/17 2:55:01 AM,%RH,101.566
10/13/17 3:25:01 AM,%RH,103.51
10/13/17 3:55:01 AM,%RH,103.51
10/13/17 4:25:01 AM,%RH,103.026
10/13/17 4:55:01 AM,%RH,103.51
10/13/17 5:25:01 AM,%RH,104.473
10/13/17 5:55:01 AM,%RH,105.907
10/13/17 6:25:01 AM,%RH,105.431
10/13/17 6:55:01 AM,%RH,105.431
10/13/17 7:25:01 AM,%RH,105.431
10/13/17 7:55:01 AM,%RH,105.907
10/13/17 8:25:01 AM,%RH,105.907
10/13/17 8:55:01 AM,%RH,104.953
10/13/17 9:25:01 AM,%RH,102.541
10/13/17 9:55:01 AM,%RH,97.606
10/13/17 10:25:01 AM,%RH,93.036
10/13/17 10:55:01 AM,%RH,74.121
10/13/17 11:25:01 AM,%RH,72.985
10/13/17 11:55:01 AM,%RH,71.27
10/13/17 12:25:01 PM,%RH,72.415
10/13/17 12:55:01 PM,%RH,70.695
10/13/17 1:25:01 PM,%RH,70.695
10/13/17 1:55:01 PM,%RH,72.415
10/13/17 2:25:01 PM,%RH,72.985
10/13/17 2:55:01 PM,%RH,75.251
10/13/17 3:25:01 PM,%RH,78.05
10/13/17 3:55:01 PM,%RH,80.262
10/13/17 4:25:01 PM,%RH,85.689
10/13/17 4:55:01 PM,%RH,96.096
10/13/17 5:25:01 PM,%RH,97.606
10/13/17 5:55:01 PM,%RH,99.102
10/13/17 6:25:01 PM,%RH,99.598
10/13/17 6:55:01 PM,%RH,100.092
10/13/17 7:25:01 PM,%RH,101.076
10/13/17 7:55:01 PM,%RH,102.054
10/13/17 8:25:01 PM,%RH,103.992
10/13/17 8:55:01 PM,%RH,105.431
10/13/17 9:25:01 PM,%RH,105.431
10/13/17 9:55:01 PM,%RH,106.855
10/13/17 10:25:01 PM,%RH,107.327
10/13/17 10:55:01 PM,%RH,106.382
10/13/17 11:25:01 PM,%RH,107.327
10/13/17 11:55:01 PM,%RH,107.798
10/14/17 12:25:01 AM,%RH,107.798
10/14/17 12:55:01 AM,%RH,107.798
10/14/17 1:25:01 AM,%RH,108.734
10/14/17 1:55:01 AM,%RH,107.798
10/14/17 2:25:01 AM,%RH,103.992
10/14/17 2:55:01 AM,%RH,103.992
10/14/17 3:25:01 AM,%RH,102.541
10/14/17 3:55:01 AM,%RH,103.026
10/14/17 4:25:01 AM,%RH,103.026
10/14/17 4:55:01 AM,%RH,102.541
10/14/17 5:25:01 AM,%RH,101.566
10/14/17 5:55:01 AM,%RH,101.076
10/14/17 6:25:01 AM,%RH,100.092
10/14/17 6:55:01 AM,%RH,101.076
10/14/17 7:25:01 AM,%RH,100.092
10/14/17 7:55:01 AM,%RH,100.092
10/14/17 8:25:01 AM,%RH,99.598
10/14/17 8:55:01 AM,%RH,98.106
10/14/17 9:25:01 AM,%RH,102.541
10/14/17 9:55:01 AM,%RH,94.573
10/14/17 10:25:01 AM,%RH,92.521
10/14/17 10:55:01 AM,%RH,74.687
10/14/17 11:25:01 AM,%RH,71.843
10/14/17 11:55:01 AM,%RH,73.554
10/14/17 12:25:01 PM,%RH,71.843
10/14/17 12:55:01 PM,%RH,76.935
10/14/17 1:25:01 PM,%RH,80.812
10/14/17 1:55:01 PM,%RH,81.36
10/14/17 2:25:01 PM,%RH,77.493
10/14/17 2:55:01 PM,%RH,83.536
10/14/17 3:25:01 PM,%RH,74.121
10/14/17 3:55:01 PM,%RH,77.493
10/14/17 4:25:01 PM,%RH,80.812
10/14/17 4:55:01 PM,%RH,93.55
10/14/17 5:25:01 PM,%RH,96.601
10/14/17 5:55:01 PM,%RH,97.104
10/14/17 6:25:01 PM,%RH,98.106
10/14/17 6:55:01 PM,%RH,99.598
10/14/17 7:25:01 PM,%RH,102.054
10/14/17 7:55:01 PM,%RH,101.076
10/14/17 8:25:01 PM,%RH,103.51
10/14/17 8:55:01 PM,%RH,102.541
10/14/17 9:25:01 PM,%RH,104.473
10/14/17 9:55:01 PM,%RH,104.953
10/14/17 10:25:01 PM,%RH,105.907
10/14/17 10:55:01 PM,%RH,105.907
10/14/17 11:25:01 PM,%RH,106.855
10/14/17 11:55:01 PM,%RH,106.382
10/15/17 12:25:01 AM,%RH,105.907
10/15/17 12:55:01 AM,%RH,105.431
10/15/17 1:25:01 AM,%RH,104.473
10/15/17 1:55:01 AM,%RH,103.992
10/15/17 2:25:01 AM,%RH,104.473
10/15/17 2:55:01 AM,%RH,104.473
10/15/17 3:25:01 AM,%RH,104.473
10/15/17 3:55:01 AM,%RH,103.992
10/15/17 4:25:01 AM,%RH,104.953
10/15/17 4:55:01 AM,%RH,107.327
10/15/17 5:25:01 AM,%RH,106.855
10/15/17 5:55:01 AM,%RH,105.907
10/15/17 6:25:01 AM,%RH,106.382
10/15/17 6:55:01 AM,%RH,106.382
10/15/17 7:25:01 AM,%RH,105.907
10/15/17 7:55:01 AM,%RH,105.431
10/15/17 8:25:01 AM,%RH,105.431
10/15/17 8:55:01 AM,%RH,103.51
10/15/17 9:25:01 AM,%RH,95.59
10/15/17 9:55:01 AM,%RH,91.487
10/15/17 10:25:01 AM,%RH,75.251
10/15/17 10:55:01 AM,%RH,72.415
10/15/17 11:25:01 AM,%RH,70.695
10/15/17 11:55:01 AM,%RH,70.695
10/15/17 12:25:01 PM,%RH,68.962
10/15/17 12:55:01 PM,%RH,67.799
10/15/17 1:25:01 PM,%RH,76.935
10/15/17 1:55:01 PM,%RH,68.381
10/15/17 2:25:01 PM,%RH,64.866
10/15/17 2:55:01 PM,%RH,64.275
10/15/17 3:25:01 PM,%RH,71.27
10/15/17 3:55:01 PM,%RH,67.799
10/15/17 4:25:01 PM,%RH,64.275
10/15/17 4:55:01 PM,%RH,77.493
10/15/17 5:25:01 PM,%RH,80.812
10/15/17 5:55:01 PM,%RH,82.994
10/15/17 6:25:01 PM,%RH,81.36
10/15/17 6:55:01 PM,%RH,86.224
10/15/17 7:25:01 PM,%RH,86.224
10/15/17 7:55:01 PM,%RH,88.347
10/15/17 8:25:01 PM,%RH,89.399
10/15/17 8:55:01 PM,%RH,90.446
10/15/17 9:25:01 PM,%RH,91.487
10/15/17 9:55:01 PM,%RH,90.446
10/15/17 10:25:01 PM,%RH,91.487
10/15/17 10:55:01 PM,%RH,90.446
10/15/17 11:25:01 PM,%RH,92.521
10/15/17 11:55:01 PM,%RH,93.55
10/16/17 12:25:01 AM,%RH,94.573
10/16/17 12:55:01 AM,%RH,95.59
10/16/17 1:25:01 AM,%RH,95.59
10/16/17 1:55:01 AM,%RH,96.601
10/16/17 2:25:01 AM,%RH,97.104
10/16/17 2:55:01 AM,%RH,97.104
10/16/17 3:25:01 AM,%RH,97.104
10/16/17 3:55:01 AM,%RH,98.605
10/16/17 4:25:01 AM,%RH,99.102
10/16/17 4:55:01 AM,%RH,99.598
10/16/17 5:25:01 AM,%RH,100.092
10/16/17 5:55:01 AM,%RH,100.585
10/16/17 6:25:01 AM,%RH,101.076
10/16/17 6:55:01 AM,%RH,99.598
10/16/17 7:25:01 AM,%RH,99.598
10/16/17 7:55:01 AM,%RH,98.106
10/16/17 8:25:01 AM,%RH,97.606
10/16/17 8:55:01 AM,%RH,89.923
10/16/17 9:25:01 AM,%RH,72.985
10/16/17 9:55:01 AM,%RH,69.541
10/16/17 10:25:01 AM,%RH,64.866
10/16/17 10:55:01 AM,%RH,61.297
10/16/17 11:25:01 AM,%RH,57.675
10/16/17 11:55:01 AM,%RH,53.381
10/16/17 12:25:01 PM,%RH,50.894
10/16/17 12:55:01 PM,%RH,48.384
10/16/17 1:25:01 PM,%RH,45.85
10/16/17 1:55:01 PM,%RH,43.934
10/16/17 2:25:01 PM,%RH,42.649
10/16/17 2:55:01 PM,%RH,40.71
10/16/17 3:25:01 PM,%RH,40.061
10/16/17 3:55:01 PM,%RH,40.061
10/16/17 4:25:01 PM,%RH,41.358
10/16/17 4:55:01 PM,%RH,49.642
10/16/17 5:25:01 PM,%RH,53.381
10/16/17 5:55:01 PM,%RH,55.843
10/16/17 6:25:01 PM,%RH,57.066
10/16/17 6:55:01 PM,%RH,60.697
10/16/17 7:25:01 PM,%RH,64.275
10/16/17 7:55:01 PM,%RH,64.866
10/16/17 8:25:01 PM,%RH,66.63
10/16/17 8:55:01 PM,%RH,68.381
10/16/17 9:25:01 PM,%RH,68.962
10/16/17 9:55:01 PM,%RH,69.541
10/16/17 10:25:01 PM,%RH,71.27
10/16/17 10:55:01 PM,%RH,72.415
10/16/17 11:25:01 PM,%RH,72.985
10/16/17 11:55:01 PM,%RH,74.121
10/17/17 12:25:01 AM,%RH,75.814
10/17/17 12:55:01 AM,%RH,76.375
10/17/17 1:25:01 AM,%RH,77.493
10/17/17 1:55:01 AM,%RH,76.935
10/17/17 2:25:01 AM,%RH,79.159
10/17/17 2:55:01 AM,%RH,79.711
10/17/17 3:25:01 AM,%RH,80.262
10/17/17 3:55:01 AM,%RH,81.36
10/17/17 4:25:01 AM,%RH,81.906
10/17/17 4:55:01 AM,%RH,82.994
10/17/17 5:25:01 AM,%RH,82.994
10/17/17 5:55:01 AM,%RH,83.536
10/17/17 6:25:01 AM,%RH,84.077
10/17/17 6:55:01 AM,%RH,84.616
10/17/17 7:25:01 AM,%RH,83.536
10/17/17 7:55:01 AM,%RH,83.536
10/17/17 8:25:01 AM,%RH,82.451
10/17/17 8:55:01 AM,%RH,76.375
10/17/17 9:25:01 AM,%RH,69.541
10/17/17 9:55:01 AM,%RH,67.216
10/17/17 10:25:01 AM,%RH,57.066
10/17/17 10:55:01 AM,%RH,53.381
10/17/17 11:25:01 AM,%RH,49.014
10/17/17 11:55:01 AM,%RH,43.934
10/17/17 12:25:01 PM,%RH,40.71
10/17/17 12:55:01 PM,%RH,37.45
10/17/17 1:25:01 PM,%RH,36.793
10/17/17 1:55:01 PM,%RH,35.475
10/17/17 2:25:01 PM,%RH,34.152
10/17/17 2:55:01 PM,%RH,34.152
10/17/17 3:25:01 PM,%RH,34.152
10/17/17 3:55:01 PM,%RH,34.814
