1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D000000050E51841
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:25:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:25:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  16219
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:25:01 AM,C,24.598
10/12/17 10:55:01 AM,C,25.098
10/12/17 11:25:01 AM,C,24.598
10/12/17 11:55:01 AM,C,23.097
10/12/17 12:25:01 PM,C,34.091
10/12/17 12:55:01 PM,C,35.09
10/12/17 1:25:01 PM,C,36.088
10/12/17 1:55:01 PM,C,35.589
10/12/17 2:25:01 PM,C,35.09
10/12/17 2:55:01 PM,C,35.09
10/12/17 3:25:01 PM,C,33.592
10/12/17 3:55:01 PM,C,32.593
10/12/17 4:25:01 PM,C,30.096
10/12/17 4:55:01 PM,C,25.598
10/12/17 5:25:01 PM,C,23.597
10/12/17 5:55:01 PM,C,23.097
10/12/17 6:25:01 PM,C,22.597
10/12/17 6:55:01 PM,C,21.596
10/12/17 7:25:01 PM,C,20.595
10/12/17 7:55:01 PM,C,20.095
10/12/17 8:25:01 PM,C,19.594
10/12/17 8:55:01 PM,C,19.094
10/12/17 9:25:01 PM,C,18.593
10/12/17 9:55:01 PM,C,18.093
10/12/17 10:25:01 PM,C,18.093
10/12/17 10:55:01 PM,C,17.592
10/12/17 11:25:01 PM,C,17.091
10/12/17 11:55:01 PM,C,17.091
10/13/17 12:25:01 AM,C,16.59
10/13/17 12:55:01 AM,C,16.59
10/13/17 1:25:01 AM,C,16.089
10/13/17 1:55:01 AM,C,16.089
10/13/17 2:25:01 AM,C,15.589
10/13/17 2:55:01 AM,C,15.088
10/13/17 3:25:01 AM,C,15.088
10/13/17 3:55:01 AM,C,14.587
10/13/17 4:25:01 AM,C,14.587
10/13/17 4:55:01 AM,C,14.086
10/13/17 5:25:01 AM,C,14.086
10/13/17 5:55:01 AM,C,13.585
10/13/17 6:25:01 AM,C,13.585
10/13/17 6:55:01 AM,C,13.585
10/13/17 7:25:01 AM,C,14.086
10/13/17 7:55:01 AM,C,14.086
10/13/17 8:25:01 AM,C,14.587
10/13/17 8:55:01 AM,C,18.593
10/13/17 9:25:01 AM,C,23.097
10/13/17 9:55:01 AM,C,27.097
10/13/17 10:25:01 AM,C,30.096
10/13/17 10:55:01 AM,C,32.593
10/13/17 11:25:01 AM,C,33.592
10/13/17 11:55:01 AM,C,35.09
10/13/17 12:25:01 PM,C,36.088
10/13/17 12:55:01 PM,C,36.587
10/13/17 1:25:01 PM,C,37.585
10/13/17 1:55:01 PM,C,37.086
10/13/17 2:25:01 PM,C,37.086
10/13/17 2:55:01 PM,C,36.088
10/13/17 3:25:01 PM,C,34.59
10/13/17 3:55:01 PM,C,33.093
10/13/17 4:25:01 PM,C,30.595
10/13/17 4:55:01 PM,C,26.098
10/13/17 5:25:01 PM,C,24.097
10/13/17 5:55:01 PM,C,23.097
10/13/17 6:25:01 PM,C,22.597
10/13/17 6:55:01 PM,C,21.096
10/13/17 7:25:01 PM,C,20.595
10/13/17 7:55:01 PM,C,20.095
10/13/17 8:25:01 PM,C,19.594
10/13/17 8:55:01 PM,C,19.094
10/13/17 9:25:01 PM,C,18.593
10/13/17 9:55:01 PM,C,18.093
10/13/17 10:25:01 PM,C,18.093
10/13/17 10:55:01 PM,C,17.592
10/13/17 11:25:01 PM,C,17.091
10/13/17 11:55:01 PM,C,17.091
10/14/17 12:25:01 AM,C,16.59
10/14/17 12:55:01 AM,C,16.59
10/14/17 1:25:01 AM,C,16.089
10/14/17 1:55:01 AM,C,15.589
10/14/17 2:25:01 AM,C,15.589
10/14/17 2:55:01 AM,C,15.088
10/14/17 3:25:01 AM,C,15.088
10/14/17 3:55:01 AM,C,15.088
10/14/17 4:25:01 AM,C,14.587
10/14/17 4:55:01 AM,C,14.587
10/14/17 5:25:01 AM,C,14.086
10/14/17 5:55:01 AM,C,14.086
10/14/17 6:25:01 AM,C,13.585
10/14/17 6:55:01 AM,C,14.086
10/14/17 7:25:01 AM,C,14.587
10/14/17 7:55:01 AM,C,16.089
10/14/17 8:25:01 AM,C,16.089
10/14/17 8:55:01 AM,C,19.094
10/14/17 9:25:01 AM,C,22.597
10/14/17 9:55:01 AM,C,28.097
10/14/17 10:25:01 AM,C,29.596
10/14/17 10:55:01 AM,C,33.592
10/14/17 11:25:01 AM,C,36.088
10/14/17 11:55:01 AM,C,37.086
10/14/17 12:25:01 PM,C,38.582
10/14/17 12:55:01 PM,C,37.086
10/14/17 1:25:01 PM,C,35.09
10/14/17 1:55:01 PM,C,35.09
10/14/17 2:25:01 PM,C,36.587
10/14/17 2:55:01 PM,C,34.59
10/14/17 3:25:01 PM,C,38.582
10/14/17 3:55:01 PM,C,36.587
10/14/17 4:25:01 PM,C,35.09
10/14/17 4:55:01 PM,C,29.097
10/14/17 5:25:01 PM,C,26.598
10/14/17 5:55:01 PM,C,25.098
10/14/17 6:25:01 PM,C,25.098
10/14/17 6:55:01 PM,C,23.597
10/14/17 7:25:01 PM,C,22.097
10/14/17 7:55:01 PM,C,21.596
10/14/17 8:25:01 PM,C,21.096
10/14/17 8:55:01 PM,C,21.096
10/14/17 9:25:01 PM,C,20.595
10/14/17 9:55:01 PM,C,20.095
10/14/17 10:25:01 PM,C,19.094
10/14/17 10:55:01 PM,C,19.094
