1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000002DAC7E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:24:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:24:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  48754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:24:01 AM,%RH,64.893
10/12/17 10:54:01 AM,%RH,64.893
10/12/17 11:24:01 AM,%RH,59.042
10/12/17 11:54:01 AM,%RH,58.447
10/12/17 12:24:01 PM,%RH,100.321
10/12/17 12:54:01 PM,%RH,111.01
10/12/17 1:24:01 PM,%RH,103.536
10/12/17 1:54:01 PM,%RH,105.784
10/12/17 2:24:01 PM,%RH,104.44
10/12/17 2:54:01 PM,%RH,100.321
10/12/17 3:24:01 PM,%RH,99.387
10/12/17 3:54:01 PM,%RH,100.785
10/12/17 4:24:01 PM,%RH,100.785
10/12/17 4:54:01 PM,%RH,103.536
10/12/17 5:24:01 PM,%RH,104.44
10/12/17 5:54:01 PM,%RH,106.228
10/12/17 6:24:01 PM,%RH,107.99
10/12/17 6:54:01 PM,%RH,111.858
10/12/17 7:24:01 PM,%RH,118.008
10/12/17 7:54:01 PM,%RH,118.008
10/12/17 8:24:01 PM,%RH,118.008
10/12/17 8:54:01 PM,%RH,118.008
10/12/17 9:24:01 PM,%RH,118.008
10/12/17 9:54:01 PM,%RH,118.008
10/12/17 10:24:01 PM,%RH,117.609
10/12/17 10:54:01 PM,%RH,118.008
10/12/17 11:24:01 PM,%RH,118.008
10/12/17 11:54:01 PM,%RH,115.999
10/13/17 12:24:01 AM,%RH,115.184
10/13/17 12:54:01 AM,%RH,110.155
10/13/17 1:24:01 AM,%RH,113.534
10/13/17 1:54:01 AM,%RH,71.697
10/13/17 2:24:01 AM,%RH,70.58
10/13/17 2:54:01 AM,%RH,69.455
10/13/17 3:24:01 AM,%RH,64.315
10/13/17 3:54:01 AM,%RH,65.469
10/13/17 4:24:01 AM,%RH,63.736
10/13/17 4:54:01 AM,%RH,57.254
10/13/17 5:24:01 AM,%RH,56.655
10/13/17 5:54:01 AM,%RH,73.361
10/13/17 6:24:01 AM,%RH,74.463
10/13/17 6:54:01 AM,%RH,73.913
10/13/17 7:24:01 AM,%RH,73.361
10/13/17 7:54:01 AM,%RH,73.361
10/13/17 8:24:01 AM,%RH,74.463
