1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000002DAC7E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:24:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:24:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  48754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:24:01 AM,C,24.068
10/12/17 10:54:01 AM,C,30.565
10/12/17 11:24:01 AM,C,26.568
10/12/17 11:54:01 AM,C,24.068
10/12/17 12:24:01 PM,C,19.565
10/12/17 12:54:01 PM,C,19.565
10/12/17 1:24:01 PM,C,30.565
10/12/17 1:54:01 PM,C,30.565
10/12/17 2:24:01 PM,C,34.559
10/12/17 2:54:01 PM,C,36.056
10/12/17 3:24:01 PM,C,35.557
10/12/17 3:54:01 PM,C,34.559
10/12/17 4:24:01 PM,C,34.06
10/12/17 4:54:01 PM,C,32.563
10/12/17 5:24:01 PM,C,30.565
10/12/17 5:54:01 PM,C,28.567
10/12/17 6:24:01 PM,C,26.068
10/12/17 6:54:01 PM,C,23.568
10/12/17 7:24:01 PM,C,22.067
10/12/17 7:54:01 PM,C,21.067
10/12/17 8:24:01 PM,C,20.566
10/12/17 8:54:01 PM,C,20.066
10/12/17 9:24:01 PM,C,19.565
10/12/17 9:54:01 PM,C,19.064
10/12/17 10:24:01 PM,C,18.564
10/12/17 10:54:01 PM,C,18.063
10/12/17 11:24:01 PM,C,17.562
10/12/17 11:54:01 PM,C,17.562
10/13/17 12:24:01 AM,C,17.061
10/13/17 12:54:01 AM,C,16.56
10/13/17 1:24:01 AM,C,16.56
10/13/17 1:54:01 AM,C,16.059
10/13/17 2:24:01 AM,C,16.059
10/13/17 2:54:01 AM,C,15.558
10/13/17 3:24:01 AM,C,15.558
10/13/17 3:54:01 AM,C,15.057
10/13/17 4:24:01 AM,C,15.057
10/13/17 4:54:01 AM,C,15.057
10/13/17 5:24:01 AM,C,15.057
10/13/17 5:54:01 AM,C,14.556
10/13/17 6:24:01 AM,C,14.556
10/13/17 6:54:01 AM,C,14.055
10/13/17 7:24:01 AM,C,14.556
10/13/17 7:54:01 AM,C,15.558
10/13/17 8:24:01 AM,C,16.059
10/13/17 8:54:01 AM,C,19.565
10/13/17 9:24:01 AM,C,18.564
10/13/17 9:54:01 AM,C,19.064
