1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EB00000023E30C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:25:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:25:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  19399
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:25:01 AM,%RH,57.663
10/12/17 10:55:01 AM,%RH,57.663
10/12/17 11:25:01 AM,%RH,50.977
10/12/17 11:55:01 AM,%RH,49.742
10/12/17 12:25:01 PM,%RH,69.916
10/12/17 12:55:01 PM,%RH,69.347
10/12/17 1:25:01 PM,%RH,68.206
10/12/17 1:55:01 PM,%RH,68.777
10/12/17 2:25:01 PM,%RH,72.173
10/12/17 2:55:01 PM,%RH,72.734
10/12/17 3:25:01 PM,%RH,77.165
10/12/17 3:55:01 PM,%RH,79.884
10/12/17 4:25:01 PM,%RH,82.033
10/12/17 4:55:01 PM,%RH,84.157
10/12/17 5:25:01 PM,%RH,84.684
10/12/17 5:55:01 PM,%RH,63.581
10/12/17 6:25:01 PM,%RH,66.483
10/12/17 6:55:01 PM,%RH,61.232
10/12/17 7:25:01 PM,%RH,53.429
10/12/17 7:55:01 PM,%RH,40.924
10/12/17 8:25:01 PM,%RH,41.564
10/12/17 8:55:01 PM,%RH,41.564
10/12/17 9:25:01 PM,%RH,42.202
10/12/17 9:55:01 PM,%RH,42.839
10/12/17 10:25:01 PM,%RH,41.564
10/12/17 10:55:01 PM,%RH,40.924
10/12/17 11:25:01 PM,%RH,29.816
10/12/17 11:55:01 PM,%RH,18.269
10/13/17 12:25:01 AM,%RH,15.489
10/13/17 12:55:01 AM,%RH,12.683
10/13/17 1:25:01 AM,%RH,0.49
10/13/17 1:55:01 AM,%RH,-0.241
10/13/17 2:25:01 AM,%RH,-1.707
10/13/17 2:55:01 AM,%RH,-2.442
10/13/17 3:25:01 AM,%RH,-3.179
10/13/17 3:55:01 AM,%RH,-4.658
10/13/17 4:25:01 AM,%RH,-4.658
10/13/17 4:55:01 AM,%RH,-6.143
10/13/17 5:25:01 AM,%RH,-6.887
10/13/17 5:55:01 AM,%RH,-8.381
10/13/17 6:25:01 AM,%RH,-8.381
10/13/17 6:55:01 AM,%RH,-3.918
10/13/17 7:25:01 AM,%RH,2.674
10/13/17 7:55:01 AM,%RH,7
10/13/17 8:25:01 AM,%RH,8.43
10/13/17 8:55:01 AM,%RH,8.43
10/13/17 9:25:01 AM,%RH,62.996
10/13/17 9:55:01 AM,%RH,68.777
