1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EB00000023E30C41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:25:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:25:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  19399
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:25:01 AM,C,23.648
10/12/17 10:55:01 AM,C,29.146
10/12/17 11:25:01 AM,C,26.148
10/12/17 11:55:01 AM,C,24.148
10/12/17 12:25:01 PM,C,36.134
10/12/17 12:55:01 PM,C,36.632
10/12/17 1:25:01 PM,C,38.128
10/12/17 1:55:01 PM,C,38.626
10/12/17 2:25:01 PM,C,37.63
10/12/17 2:55:01 PM,C,37.131
10/12/17 3:25:01 PM,C,36.134
10/12/17 3:55:01 PM,C,34.637
10/12/17 4:25:01 PM,C,33.639
10/12/17 4:55:01 PM,C,31.144
10/12/17 5:25:01 PM,C,28.647
10/12/17 5:55:01 PM,C,25.149
10/12/17 6:25:01 PM,C,22.648
10/12/17 6:55:01 PM,C,21.147
10/12/17 7:25:01 PM,C,19.646
10/12/17 7:55:01 PM,C,19.145
10/12/17 8:25:01 PM,C,18.144
10/12/17 8:55:01 PM,C,17.643
10/12/17 9:25:01 PM,C,17.142
10/12/17 9:55:01 PM,C,16.641
10/12/17 10:25:01 PM,C,16.641
10/12/17 10:55:01 PM,C,16.14
10/12/17 11:25:01 PM,C,15.639
10/12/17 11:55:01 PM,C,15.138
10/13/17 12:25:01 AM,C,15.138
10/13/17 12:55:01 AM,C,14.637
10/13/17 1:25:01 AM,C,14.136
10/13/17 1:55:01 AM,C,14.136
10/13/17 2:25:01 AM,C,13.635
10/13/17 2:55:01 AM,C,13.635
10/13/17 3:25:01 AM,C,13.133
10/13/17 3:55:01 AM,C,13.133
10/13/17 4:25:01 AM,C,13.133
10/13/17 4:55:01 AM,C,12.632
10/13/17 5:25:01 AM,C,12.632
10/13/17 5:55:01 AM,C,12.131
10/13/17 6:25:01 AM,C,12.131
10/13/17 6:55:01 AM,C,12.131
10/13/17 7:25:01 AM,C,13.635
10/13/17 7:55:01 AM,C,17.142
10/13/17 8:25:01 AM,C,21.147
10/13/17 8:55:01 AM,C,23.648
10/13/17 9:25:01 AM,C,28.147
10/13/17 9:55:01 AM,C,31.144
10/13/17 10:25:01 AM,C,33.639
10/13/17 10:55:01 AM,C,35.635
10/13/17 11:25:01 AM,C,37.63
10/13/17 11:55:01 AM,C,38.626
10/13/17 12:25:01 PM,C,40.121
10/13/17 12:55:01 PM,C,40.62
10/13/17 1:25:01 PM,C,40.62
10/13/17 1:55:01 PM,C,40.121
10/13/17 2:25:01 PM,C,39.125
10/13/17 2:55:01 PM,C,38.128
10/13/17 3:25:01 PM,C,37.131
10/13/17 3:55:01 PM,C,35.635
10/13/17 4:25:01 PM,C,34.138
10/13/17 4:55:01 PM,C,33.14
10/13/17 5:25:01 PM,C,29.646
10/13/17 5:55:01 PM,C,25.648
10/13/17 6:25:01 PM,C,23.648
10/13/17 6:55:01 PM,C,21.647
10/13/17 7:25:01 PM,C,20.146
10/13/17 7:55:01 PM,C,19.145
10/13/17 8:25:01 PM,C,18.644
10/13/17 8:55:01 PM,C,18.144
10/13/17 9:25:01 PM,C,17.643
10/13/17 9:55:01 PM,C,17.142
10/13/17 10:25:01 PM,C,17.142
10/13/17 10:55:01 PM,C,16.641
10/13/17 11:25:01 PM,C,16.14
10/13/17 11:55:01 PM,C,15.639
10/14/17 12:25:01 AM,C,15.639
10/14/17 12:55:01 AM,C,15.138
10/14/17 1:25:01 AM,C,14.637
10/14/17 1:55:01 AM,C,14.637
10/14/17 2:25:01 AM,C,14.136
10/14/17 2:55:01 AM,C,14.136
10/14/17 3:25:01 AM,C,13.635
10/14/17 3:55:01 AM,C,13.635
10/14/17 4:25:01 AM,C,13.133
10/14/17 4:55:01 AM,C,13.133
10/14/17 5:25:01 AM,C,12.632
10/14/17 5:55:01 AM,C,12.632
10/14/17 6:25:01 AM,C,12.632
10/14/17 6:55:01 AM,C,13.133
10/14/17 7:25:01 AM,C,14.136
10/14/17 7:55:01 AM,C,16.14
10/14/17 8:25:01 AM,C,21.147
10/14/17 8:55:01 AM,C,24.148
10/14/17 9:25:01 AM,C,29.146
10/14/17 9:55:01 AM,C,31.643
10/14/17 10:25:01 AM,C,35.136
10/14/17 10:55:01 AM,C,37.63
10/14/17 11:25:01 AM,C,39.623
10/14/17 11:55:01 AM,C,41.118
10/14/17 12:25:01 PM,C,40.121
10/14/17 12:55:01 PM,C,38.128
10/14/17 1:25:01 PM,C,37.131
10/14/17 1:55:01 PM,C,37.131
10/14/17 2:25:01 PM,C,37.131
10/14/17 2:55:01 PM,C,33.639
10/14/17 3:25:01 PM,C,38.128
10/14/17 3:55:01 PM,C,37.63
10/14/17 4:25:01 PM,C,35.635
