1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E3000000216B1441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:23:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:23:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  48639
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:23:01 AM,%RH,60.543
10/12/17 10:53:01 AM,%RH,57.583
10/12/17 11:23:01 AM,%RH,50.96
10/12/17 11:53:01 AM,%RH,50.35
10/12/17 12:23:01 PM,%RH,64.635
10/12/17 12:53:01 PM,%RH,47.283
10/12/17 1:23:01 PM,%RH,49.127
10/12/17 1:53:01 PM,%RH,55.192
10/12/17 2:23:01 PM,%RH,44.185
10/12/17 2:53:01 PM,%RH,45.428
10/12/17 3:23:01 PM,%RH,48.514
10/12/17 3:53:01 PM,%RH,56.987
10/12/17 4:23:01 PM,%RH,79.84
10/12/17 4:53:01 PM,%RH,92.588
10/12/17 5:23:01 PM,%RH,90.513
10/12/17 5:53:01 PM,%RH,97.686
10/12/17 6:23:01 PM,%RH,100.187
10/12/17 6:53:01 PM,%RH,101.179
10/12/17 7:23:01 PM,%RH,102.166
10/12/17 7:53:01 PM,%RH,105.097
10/12/17 8:23:01 PM,%RH,107.505
10/12/17 8:53:01 PM,%RH,110.352
10/12/17 9:23:01 PM,%RH,110.823
10/12/17 9:53:01 PM,%RH,110.352
10/12/17 10:23:01 PM,%RH,107.982
10/12/17 10:53:01 PM,%RH,108.934
10/12/17 11:23:01 PM,%RH,97.686
10/12/17 11:53:01 PM,%RH,82.556
10/13/17 12:23:01 AM,%RH,82.015
10/13/17 12:53:01 AM,%RH,67.52
10/13/17 1:23:01 AM,%RH,64.054
10/13/17 1:53:01 AM,%RH,64.054
10/13/17 2:23:01 AM,%RH,64.635
10/13/17 2:53:01 AM,%RH,63.472
10/13/17 3:23:01 AM,%RH,64.054
10/13/17 3:53:01 AM,%RH,62.889
10/13/17 4:23:01 AM,%RH,62.304
10/13/17 4:53:01 AM,%RH,61.132
10/13/17 5:23:01 AM,%RH,75.431
10/13/17 5:53:01 AM,%RH,74.874
10/13/17 6:23:01 AM,%RH,77.094
10/13/17 6:53:01 AM,%RH,83.095
10/13/17 7:23:01 AM,%RH,83.095
10/13/17 7:53:01 AM,%RH,83.095
10/13/17 8:23:01 AM,%RH,82.015
10/13/17 8:53:01 AM,%RH,82.015
10/13/17 9:23:01 AM,%RH,94.642
10/13/17 9:53:01 AM,%RH,91.553
10/13/17 10:23:01 AM,%RH,85.24
10/13/17 10:53:01 AM,%RH,48.514
10/13/17 11:23:01 AM,%RH,64.635
10/13/17 11:53:01 AM,%RH,53.989
10/13/17 12:23:01 PM,%RH,41.055
10/13/17 12:53:01 PM,%RH,36.62
10/13/17 1:23:01 PM,%RH,37.258
10/13/17 1:53:01 PM,%RH,44.807
10/13/17 2:23:01 PM,%RH,31.477
10/13/17 2:53:01 PM,%RH,28.875
10/13/17 3:23:01 PM,%RH,28.222
10/13/17 3:53:01 PM,%RH,30.829
10/13/17 4:23:01 PM,%RH,52.781
10/13/17 4:53:01 PM,%RH,64.635
10/13/17 5:23:01 PM,%RH,58.178
10/13/17 5:53:01 PM,%RH,68.665
10/13/17 6:23:01 PM,%RH,73.196
10/13/17 6:53:01 PM,%RH,75.986
10/13/17 7:23:01 PM,%RH,79.294
10/13/17 7:53:01 PM,%RH,82.556
10/13/17 8:23:01 PM,%RH,84.17
10/13/17 8:53:01 PM,%RH,85.24
10/13/17 9:23:01 PM,%RH,87.892
10/13/17 9:53:01 PM,%RH,89.469
10/13/17 10:23:01 PM,%RH,88.945
10/13/17 10:53:01 PM,%RH,91.553
10/13/17 11:23:01 PM,%RH,91.553
10/13/17 11:53:01 PM,%RH,92.588
10/14/17 12:23:01 AM,%RH,93.617
10/14/17 12:53:01 AM,%RH,94.642
10/14/17 1:23:01 AM,%RH,94.642
10/14/17 1:53:01 AM,%RH,95.152
10/14/17 2:23:01 AM,%RH,95.662
10/14/17 2:53:01 AM,%RH,95.662
10/14/17 3:23:01 AM,%RH,96.676
10/14/17 3:53:01 AM,%RH,97.686
10/14/17 4:23:01 AM,%RH,98.189
10/14/17 4:53:01 AM,%RH,98.189
10/14/17 5:23:01 AM,%RH,98.69
10/14/17 5:53:01 AM,%RH,99.191
10/14/17 6:23:01 AM,%RH,98.69
10/14/17 6:53:01 AM,%RH,99.69
10/14/17 7:23:01 AM,%RH,98.69
10/14/17 7:53:01 AM,%RH,94.13
10/14/17 8:23:01 AM,%RH,93.103
10/14/17 8:53:01 AM,%RH,91.034
10/14/17 9:23:01 AM,%RH,62.889
10/14/17 9:53:01 AM,%RH,50.96
10/14/17 10:23:01 AM,%RH,42.311
10/14/17 10:53:01 AM,%RH,33.415
10/14/17 11:23:01 AM,%RH,41.683
10/14/17 11:53:01 AM,%RH,36.62
10/14/17 12:23:01 PM,%RH,28.222
10/14/17 12:53:01 PM,%RH,22.948
10/14/17 1:23:01 PM,%RH,30.179
10/14/17 1:53:01 PM,%RH,37.258
10/14/17 2:23:01 PM,%RH,36.62
10/14/17 2:53:01 PM,%RH,24.935
10/14/17 3:23:01 PM,%RH,20.949
10/14/17 3:53:01 PM,%RH,32.77
10/14/17 4:23:01 PM,%RH,43.561
10/14/17 4:53:01 PM,%RH,49.739
10/14/17 5:23:01 PM,%RH,46.666
10/14/17 5:53:01 PM,%RH,53.989
10/14/17 6:23:01 PM,%RH,57.583
10/14/17 6:53:01 PM,%RH,60.543
10/14/17 7:23:01 PM,%RH,64.635
10/14/17 7:53:01 PM,%RH,65.793
10/14/17 8:23:01 PM,%RH,68.093
