1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E3000000216B1441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu Oct 12 10:23:01 AEDT 2017
Mission Sample Count:  432
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 12 10:23:01 AEDT 2017
Total Mission Samples:  432
Total Device Samples:  48640
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/12/17 10:23:01 AM,C,23.136
10/12/17 10:53:01 AM,C,28.136
10/12/17 11:23:01 AM,C,26.637
10/12/17 11:53:01 AM,C,24.137
10/12/17 12:23:01 PM,C,43.119
10/12/17 12:53:01 PM,C,50.101
10/12/17 1:23:01 PM,C,49.603
10/12/17 1:53:01 PM,C,46.611
10/12/17 2:23:01 PM,C,52.594
10/12/17 2:53:01 PM,C,52.594
10/12/17 3:23:01 PM,C,50.101
10/12/17 3:53:01 PM,C,45.114
10/12/17 4:23:01 PM,C,32.634
10/12/17 4:53:01 PM,C,28.136
10/12/17 5:23:01 PM,C,29.136
10/12/17 5:53:01 PM,C,25.137
10/12/17 6:23:01 PM,C,23.136
10/12/17 6:53:01 PM,C,22.636
10/12/17 7:23:01 PM,C,21.636
10/12/17 7:53:01 PM,C,20.635
10/12/17 8:23:01 PM,C,20.135
10/12/17 8:53:01 PM,C,19.635
10/12/17 9:23:01 PM,C,19.134
10/12/17 9:53:01 PM,C,18.634
10/12/17 10:23:01 PM,C,18.134
10/12/17 10:53:01 PM,C,17.633
10/12/17 11:23:01 PM,C,17.633
10/12/17 11:53:01 PM,C,16.632
10/13/17 12:23:01 AM,C,16.632
10/13/17 12:53:01 AM,C,16.132
10/13/17 1:23:01 AM,C,16.132
10/13/17 1:53:01 AM,C,15.631
10/13/17 2:23:01 AM,C,15.631
10/13/17 2:53:01 AM,C,15.13
10/13/17 3:23:01 AM,C,15.13
10/13/17 3:53:01 AM,C,14.63
