Year,field,Transect,Location,replicate,locust,litter,Bareground,CoarseWoddyDebris,Crytpo,Dung,ground,shrub,mid-storey,sub-canopy,canpoy,isc,Predator Abundance,ground_day_temp,ground_day_humid,ground_night_temp,ground_night_humid,above_ground_day_temp,above_ground_day_humid,above_ground_night_temp,above_ground_night_humid,below_ground_day_temp,below_ground_day_humid,below_ground_night_temp,below_ground_night_humid,Plant Carb,Plant Protein,
2016,1,1,1,1,0,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,,,,,,,,,,,,,,0.17740896,0.12337899,
2016,1,1,1,2,0,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,,,,,,,,,,,,,,0.17740896,0.12337899,
2016,1,1,1,3,0,0.72,0.2,0.08,0,0,0.318181818,0.022727273,0.090909091,0.318181818,0.25,0.42,,,,,,,,,,,,,,0.17740896,0.12337899,
2016,1,2,2,1,0,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,,,,,,,,,,,,,,0.10630524,0.10977926,
2016,1,2,2,2,0.333333333,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,,,,,,,,,,,,,,0.10630524,0.10977926,
2016,1,2,2,3,0,0.7,0.3,0,0,0.02,0.513513514,0,0.027027027,0.243243243,0.216216216,0.44,,,,,,,,,,,,,,0.10630524,0.10977926,
2016,1,3,3,1,1.353846154,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,,,,,,,,,,,,,,0.10833136,0.10524841,
2016,1,3,3,2,0,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,,,,,,,,,,,,,,0.10833136,0.10524841,
2016,1,3,3,3,0.141176471,0.82,0.16,0,0.02,0,0.969230769,0.030769231,0,0,0,1,,,,,,,,,,,,,,0.10833136,0.10524841,
2016,1,4,4,1,2.913669065,0.98,0,0,0,0.02,1,0,0,0,0,1,,,,,,,,,,,,,,0.0752193,0.06611005,
2016,1,4,4,2,1.318681319,0.98,0,0,0,0.02,1,0,0,0,0,1,,,,,,,,,,,,,,0.0752193,0.06611005,
2016,1,4,4,3,1.23655914,0.98,0,0,0,0.02,1,0,0,0,0,1,,,,,,,,,,,,,,0.0752193,0.06611005,
2016,2,5,1,1,0,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,,30.29066148,74.77131284,22.56262086,83.66925244,28.59233229,45.24257849,20.41223457,61.47816872,27.96260388,89.74478639,24.20572904,92.89195419,0.10509697,0.11271302,
2016,2,5,1,2,0.095238095,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,,30.29066148,74.77131284,22.56262086,83.66925244,28.59233229,45.24257849,20.41223457,61.47816872,27.96260388,89.74478639,24.20572904,92.89195419,0.10509697,0.11271302,
2016,2,5,1,3,0,0.74,0.22,0,0,0.06,0.369565217,0,0.043478261,0.434782609,0.152173913,0.5,,30.29066148,74.77131284,22.56262086,83.66925244,28.59233229,45.24257849,20.41223457,61.47816872,27.96260388,89.74478639,24.20572904,92.89195419,0.10509697,0.11271302,
2016,2,6,2,1,4.105263158,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,,35.09113196,60.86549729,22.41447271,75.01444347,29.51371363,46.06112836,20.24924561,71.64526608,27.24549998,93.08285175,,,0.16827258,0.13934306,
2016,2,6,2,2,0.167938931,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,,35.09113196,60.86549729,22.41447271,75.01444347,29.51371363,46.06112836,20.24924561,71.64526608,27.24549998,93.08285175,,,0.16827258,0.13934306,
2016,2,6,2,3,0.264150943,0.64,0.22,0,0.06,0.08,0.346938776,0.306122449,0.06122449,0.285714286,0,0.56,,35.09113196,60.86549729,22.41447271,75.01444347,29.51371363,46.06112836,20.24924561,71.64526608,27.24549998,93.08285175,,,0.16827258,0.13934306,
2016,2,7,3,1,1.2,1,0,0,0,0,1,0,0,0,0,1,,32.64494423,62.72162549,21.76579424,79.6459465,32.11089954,37.48761062,18.13638889,82.29500292,26.23893031,87.62325481,24.42303411,94.75188986,0.0959736,0.08041955,
2016,2,7,3,2,0.068410463,1,0,0,0,0,1,0,0,0,0,1,,32.64494423,62.72162549,21.76579424,79.6459465,32.11089954,37.48761062,18.13638889,82.29500292,26.23893031,87.62325481,24.42303411,94.75188986,0.0959736,0.08041955,
2016,2,7,3,3,0.282258065,1,0,0,0,0,1,0,0,0,0,1,,32.64494423,62.72162549,21.76579424,79.6459465,32.11089954,37.48761062,18.13638889,82.29500292,26.23893031,87.62325481,24.42303411,94.75188986,0.0959736,0.08041955,
2016,2,8,4,1,0.739495798,0.98,0,0,0,0.02,1,0,0,0,0,1,,29.80980021,66.69352584,21.90776608,70.8877154,32.13671818,42.9439375,18.25096101,77.84883626,26.23893031,87.62325481,23.60615984,85.07537135,0.07358795,0.10164785,
2016,2,8,4,2,0.352941176,0.98,0,0,0,0.02,1,0,0,0,0,1,,29.80980021,66.69352584,21.90776608,70.8877154,32.13671818,42.9439375,18.25096101,77.84883626,26.23893031,87.62325481,23.60615984,85.07537135,0.07358795,0.10164785,
2016,2,8,4,3,0.131868132,0.98,0,0,0,0.02,1,0,0,0,0,1,,29.80980021,66.69352584,21.90776608,70.8877154,32.13671818,42.9439375,18.25096101,77.84883626,26.23893031,87.62325481,23.60615984,85.07537135,0.07358795,0.10164785,
2016,3,9,1,1,0,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,,,,,,,,,,,,,,0.09026906,0.1511576,
2016,3,9,1,2,0,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,,,,,,,,,,,,,,0.09026906,0.1511576,
2016,3,9,1,3,0.057471264,0.9,0.04,0.06,0,0,0.245508982,0.023952096,0.011976048,0.664670659,0.053892216,0.6,,,,,,,,,,,,,,0.09026906,0.1511576,
2016,3,10,2,1,1.583333333,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,,,,,,,,,,,,,,0.10707489,0.0771675,
2016,3,10,2,2,1.82,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,,,,,,,,,,,,,,0.10707489,0.0771675,
2016,3,10,2,3,0.611111111,0.88,0.1,0.02,0,0,0.433333333,0.016666667,0.083333333,0.066666667,0.4,0.46,,,,,,,,,,,,,,0.10707489,0.0771675,
2016,3,11,3,1,2.29787234,0.62,0.38,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.08380825,0.07794325,
2016,3,11,3,2,2.951456311,0.62,0.38,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.08380825,0.07794325,
2016,3,11,3,3,1.2,0.62,0.38,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.08380825,0.07794325,
2016,3,12,4,1,4.0625,0.66,0.34,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.20795147,0.09568334,
2016,3,12,4,2,4.918918919,0.66,0.34,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.20795147,0.09568334,
2016,3,12,4,3,4.78125,0.66,0.34,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,0.20795147,0.09568334,
2017,1,1,1,1,0,0.82,0.16,0.02,0,0,0,0,0,0,0,0,2,35.23213333,48.43124444,20.37224074,67.09600617,,,,,,,,,0.19667483,0.16102959,
2017,1,1,1,2,0,0.82,0.16,0.02,0,0,0,0,0,0,0,0,2,35.23213333,48.43124444,20.37224074,67.09600617,,,,,,,,,0.19667483,0.16102959,
2017,1,2,2,1,0,0.7,0.24,0.06,0,0,0,0,0,0,0,0,5,29.00373333,71.81062222,20.44134568,81.05129012,,,,,,,,,0.18325947,0.15943961,
2017,1,2,2,2,0,0.7,0.24,0.06,0,0,0,0,0,0,0,0,5,29.00373333,71.81062222,20.44134568,81.05129012,,,,,,,,,0.18325947,0.15943961,
