"","year","time","position","location","depth","Temp","Humid"
"1","2016","day","20 meters","bottom 3","above ground",32.1108995440579,37.4876106155219
"2","2016","day","20 meters","bottom 3","below ground",27.2454999801764,93.0828517494301
"3","2016","day","20 meters","bottom 3","ground",32.6449442265795,62.7216254901961
"4","2016","day","Edge","bottom 3","above ground",29.5137136321195,46.0611283552017
"5","2016","day","Edge","bottom 3","ground",35.0911319622586,60.8654972922502
"6","2016","day","Grassland","bottom 3","above ground",32.1367181845919,42.9439374980931
"7","2016","day","Grassland","bottom 3","below ground",26.2389303076532,87.6232548080346
"8","2016","day","Grassland","bottom 3","ground",29.8098002084922,66.6935258377829
"9","2016","day","Treestand","bottom 3","above ground",28.592332288699,45.2425784900285
"10","2016","day","Treestand","bottom 3","below ground",27.9626038822547,89.7447863924517
"11","2016","day","Treestand","bottom 3","ground",30.2906614821367,74.7713128360116
"12","2016","night","20 meters","bottom 3","above ground",18.1363888888889,82.2950029239766
"13","2016","night","20 meters","bottom 3","below ground",24.4230341130604,94.7518898635478
"14","2016","night","20 meters","bottom 3","ground",21.7657942386831,79.6459465020576
"15","2016","night","Edge","bottom 3","above ground",20.2492456140351,71.6452660818713
"16","2016","night","Edge","bottom 3","ground",22.4144727095517,75.0144434697856
"17","2016","night","Grassland","bottom 3","above ground",18.2509610136452,77.8488362573099
"18","2016","night","Grassland","bottom 3","below ground",23.6061598440546,85.0753713450292
"19","2016","night","Grassland","bottom 3","ground",21.9077660818713,70.8877153996101
"20","2016","night","Treestand","bottom 3","above ground",20.4122345679012,61.4781687242798
"21","2016","night","Treestand","bottom 3","below ground",24.2057290448343,92.8919541910331
"22","2016","night","Treestand","bottom 3","ground",22.5626208576998,83.6692524366472
"23","2017","day","edge","backaero",NA,23.2162025341131,94.2423606237817
"24","2017","day","edge","bottom 3",NA,23.883434502924,82.8719543859649
"25","2017","day","edge","foreman",NA,29.0037333333333,71.8106222222222
"26","2017","day","grassland","backaero",NA,26.7880196881092,75.0477557504873
"27","2017","day","grassland","bottom 3",NA,25.4043976608187,91.8250251461988
"28","2017","day","grassland","foreman",NA,31.2744148148148,52.1712666666667
"29","2017","day","treestand","backaero",NA,29.0635777777778,56.0324555555556
"30","2017","day","treestand","bottom 3",NA,26.6417861598441,75.0074986354776
"31","2017","day","treestand","foreman",NA,35.2321333333333,48.4312444444444
"32","2017","day","Twenty Meters","backaero",NA,29.5196076023392,49.9071247563353
"33","2017","day","Twenty Meters","bottom 3",NA,28.7824826546251,57.9498714395183
"34","2017","day","Twenty Meters","foreman",NA,30.0317333333333,68.3211407407407
"35","2017","night","edge","backaero",NA,19.5301234567901,96.1587592592593
"36","2017","night","edge","bottom 3",NA,19.4544320987654,64.8402901234568
"37","2017","night","edge","foreman",NA,20.4413456790123,81.0512901234568
"38","2017","night","grassland","backaero",NA,18.9623148148148,81.8371049382716
"39","2017","night","grassland","bottom 3",NA,18.2652098765432,95.4629320987654
"40","2017","night","grassland","foreman",NA,19.1155987654321,52.8926728395062
"41","2017","night","treestand","backaero",NA,18.7770185185185,77.5154444444445
"42","2017","night","treestand","bottom 3",NA,19.6802592592593,84.2813333333333
"43","2017","night","treestand","foreman",NA,20.3722407407407,67.0960061728395
"44","2017","night","Twenty Meters","backaero",NA,19.2680679012346,71.2533518518518
"45","2017","night","Twenty Meters","bottom 3",NA,20.5913095238095,72.045253968254
"46","2017","night","Twenty Meters","foreman",NA,19.9827654320988,82.3672592592593
